Unnamed: 0,SFO,NOR
First Downs,21,23
Rush-Yds-TDs,32-144-2,31-136-0
Cmp-Att-Yd-TD-INT,14-32-210-1-0,28-47-292-3-2
Sacked-Yards,4-24,2-5
Net Pass Yards,186,287
Total Yards,330,423
Fumbles-Lost,1-1,2-1
Turnovers,1,3
Penalties-Yards,2-15,6-43
Third Down Conv.,6-15,8-18
Fourth Down Conv.,1-1,2-2
Time of Possession,33:46,36:00
