#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,NOR 23,3,0:54,2,Interception
2,1,13:01,NOR 23,3,1:29,7,Punt
3,1,4:17,NOR 24,10,4:14,54,Field Goal
4,2,11:51,NOR 40,5,2:38,60,Touchdown
5,2,4:45,NOR 13,3,1:37,6,Punt
6,2,1:48,NOR 3,3,0:35,4,Punt
7,2,1:06,SFO 42,4,1:02,20,Interception
8,3,12:02,NOR 16,6,3:32,31,Punt
9,3,6:44,NOR 36,10,3:55,64,Touchdown
10,3,1:09,NOR 24,7,3:51,19,Punt
11,4,7:15,NOR 20,12,5:23,80,Touchdown
12,4,0:44,NOR 20,4,0:44,23,End of Half
13,5,15:00,NOR 20,6,3:41,31,Punt
14,5,7:43,NOR 9,5,2:25,6,Fumble
