Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Phil Dawson kicks off 70 yards, returned by Travaris Cadet for 28 yards (tackle by Dontae Johnson)",0.000,-0.480
1,14:55,1,10,NOR 23,0,0,Drew Brees pass incomplete short right intended for Kenny Stills,0.480,-0.070
1,14:51,2,10,NOR 23,0,0,Drew Brees pass complete short left to Jimmy Graham for 2 yards (tackle by Chris Culliver),-0.070,-0.070
1,14:16,2,10,NOR 23,0,0,Timeout #1 by San Francisco 49ers,-0.070,-0.490
1,14:16,3,8,NOR 25,0,0,Drew Brees pass incomplete deep right intended for Marques Colston is intercepted by Antoine Bethea at NOR-41 and returned for 22 yards,-0.490,-4.310
1,14:06,1,10,NOR 19,0,0,"Frank Gore left tackle for 5 yards (tackle by Curtis Lofton). Penalty on Kenny Vaccaro: Face Mask (15 Yards), 7 yards",4.310,5.600
1,13:44,1,7,NOR 7,0,0,Frank Gore left tackle for 3 yards (tackle by Brodrick Bunkley),5.600,5.340
1,13:05,2,4,NOR 4,6,0,"Frank Gore left end for 4 yards, touchdown",5.340,7.000
1,13:05,,,NOR 2,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,13:05,,,SFO 35,7,0,"Phil Dawson kicks off 69 yards, returned by Travaris Cadet for 27 yards (tackle by Corey Lemonier)",0.000,-0.480
1,12:56,1,10,NOR 23,7,0,Mark Ingram left guard for 3 yards (tackle by Chris Borland),0.480,0.340
1,12:28,2,7,NOR 26,7,0,Mark Ingram left guard for 4 yards (tackle by Justin Smith),0.340,0.170
1,11:46,3,3,NOR 30,7,0,Drew Brees pass incomplete short right intended for Brandin Cooks,0.170,-1.370
1,11:43,4,3,NOR 30,7,0,"Thomas Morstead punts 47 yards, returned by Bruce Ellington for -2 yards (tackle by Vinnie Sunseri)",-1.370,-0.340
1,11:32,1,10,SFO 21,7,0,Frank Gore left guard for 11 yards (tackle by Rafael Bush and Ramon Humber),0.340,1.070
1,10:50,1,10,SFO 32,7,0,Frank Gore right guard for no gain (tackle by Ramon Humber),1.070,0.530
1,10:09,2,10,SFO 32,7,0,Colin Kaepernick pass incomplete deep left intended for Anquan Boldin (defended by Corey White),0.530,-0.160
1,10:05,3,10,SFO 32,7,0,Colin Kaepernick pass complete short right to Anquan Boldin for 13 yards (tackle by Curtis Lofton),-0.160,1.930
1,9:24,1,10,SFO 45,7,0,Frank Gore left guard for 5 yards (tackle by Ramon Humber and Kenny Vaccaro),1.930,2.060
1,8:44,2,5,,7,0,Colin Kaepernick pass incomplete deep right intended for Vernon Davis,2.060,1.360
1,8:39,3,5,,7,0,Colin Kaepernick left end for 19 yards (tackle by Curtis Lofton),1.360,3.510
1,7:56,1,10,NOR 31,7,0,Frank Gore left guard for -2 yards (tackle by Ramon Humber),3.510,2.700
1,7:15,2,12,NOR 33,7,0,Colin Kaepernick pass complete short middle to Vernon Davis for 8 yards (tackle by Rafael Bush),2.700,3.070
1,6:30,3,4,NOR 25,7,0,Colin Kaepernick pass complete short middle to Michael Crabtree for 5 yards (tackle by Curtis Lofton),3.070,4.240
1,5:50,1,10,NOR 20,7,0,Frank Gore left guard for 2 yards (tackle by Ramon Humber and Curtis Lofton),4.240,3.960
1,5:12,2,8,NOR 18,7,0,"Penalty on John Jenkins: Encroachment, 5 yards (no play)",3.960,4.830
1,5:01,2,3,NOR 13,7,0,Frank Gore right guard for 4 yards (tackle by Rafael Bush),4.830,5.140
1,4:24,1,9,NOR 9,13,0,"Carlos Hyde left end for 9 yards, touchdown",5.140,7.000
1,4:24,,,NOR 2,14,0,Phil Dawson kicks extra point good,0.000,0.000
1,4:24,,,SFO 35,14,0,"Phil Dawson kicks off 70 yards, returned by Travaris Cadet for 29 yards (tackle by Chase Thomas)",0.000,-0.540
1,4:13,1,10,NOR 24,14,0,Mark Ingram right end for 3 yards (tackle by Aaron Lynch and Chris Borland),0.540,0.400
1,3:37,2,7,NOR 27,14,0,Drew Brees pass incomplete short middle intended for Travaris Cadet,0.400,-0.300
1,3:32,3,7,NOR 27,14,0,"Penalty on Jonathan Goodwin: False Start, 5 yards (no play)",-0.300,-0.960
1,3:32,3,12,NOR 22,14,0,Drew Brees pass complete deep right to Brandin Cooks for 40 yards (tackle by Tramaine Brock),-0.960,3.050
1,2:43,1,10,SFO 38,14,0,Drew Brees pass incomplete,3.050,2.510
1,2:39,2,10,SFO 38,14,0,Mark Ingram left tackle for 3 yards (tackle by Michael Wilhoite and Tony Jerod-Eddie),2.510,2.210
