Unnamed: 0,SFO,TAM
First Downs,22,13
Rush-Yds-TDs,40-187-0,12-39-0
Cmp-Att-Yd-TD-INT,19-29-203-2-0,18-34-179-2-1
Sacked-Yards,2-14,4-35
Net Pass Yards,189,144
Total Yards,376,183
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,8-62,4-32
Third Down Conv.,6-15,1-10
Fourth Down Conv.,0-0,0-2
Time of Possession,39:50,20:10
