Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA
1,4:22,3,7,SFO 29,7,0,Colin Kaepernick pass complete short left to Vernon Davis for 5 yards (tackle by Mark Barron),-0.160,-1.110
1,3:44,4,2,SFO 34,7,0,"Andy Lee punts 45 yards, returned by Eric Page for 9 yards (tackle by C.J. Spillman)",-1.110,-0.940
1,3:32,1,10,TAM 30,7,0,Mike Glennon pass complete short right to Bobby Rainey for 3 yards (tackle by Patrick Willis),0.940,0.800
1,3:02,2,7,TAM 33,7,0,Bobby Rainey left guard for 3 yards (tackle by Justin Smith),0.800,0.500
1,3:02,3,4,TAM 36,7,0,"Penalty on Ahmad Brooks: Neutral Zone Infraction, 5 yards (no play)",0.500,1.660
1,2:13,1,10,TAM 41,7,0,Bobby Rainey right guard for 3 yards (tackle by Tony Jerod-Eddie),1.660,1.530
1,1:35,2,7,TAM 44,7,0,Mike Glennon pass incomplete deep right intended for Skye Dawson,1.530,0.830
1,1:28,3,7,TAM 44,7,0,Mike Glennon pass complete short middle to Tim Wright for 5 yards (tackle by Patrick Willis),0.830,-0.130
1,0:45,4,2,TAM 49,7,0,Michael Koenen punts 36 yards,-0.130,0.220
1,0:35,1,10,SFO 15,7,0,Kendall Hunter left end for 15 yards (tackle by Dekoda Watson),-0.220,0.940
Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 30,7,0,Colin Kaepernick pass complete short right to Michael Crabtree for 12 yards (tackle by Johnthan Banks). Penalty on Dekoda Watson: Defensive Holding (Declined),0.940,1.730
2,14:36,1,10,SFO 42,7,0,Frank Gore up the middle for 3 yards (tackle by William Gholston),1.730,1.590
2,14:01,2,7,SFO 45,7,0,Colin Kaepernick up the middle for 6 yards (tackle by Mason Foster),1.590,1.690
2,13:31,3,1,TAM 49,7,0,Frank Gore up the middle for -1 yards (tackle by William Gholston and Lavonte David),1.690,-0.060
2,12:52,4,2,,7,0,"Andy Lee punts 37 yards, fair catch by Eric Page",-0.060,0.320
2,12:43,1,10,TAM 13,7,0,Mike Glennon pass incomplete short left intended for Tiquan Underwood,-0.320,-0.770
2,12:38,2,10,TAM 13,7,0,Bobby Rainey right tackle for 2 yards (tackle by Patrick Willis and Ray McDonald),-0.770,-1.180
2,11:56,3,8,TAM 15,7,0,"Penalty on Ray McDonald: Encroachment, 5 yards (no play)",-1.180,-0.590
2,11:43,3,3,TAM 20,7,0,Mike Glennon sacked by Justin Smith for -12 yards,-0.590,-2.490
2,11:10,4,15,TAM 8,7,0,"Michael Koenen punts 55 yards, returned by LaMichael James for 7 yards (tackle by Dekoda Watson)",-2.490,-1.860
2,10:57,1,10,SFO 44,7,0,Colin Kaepernick pass complete short middle to Bruce Miller for 5 yards (tackle by Mason Foster),1.860,1.990
2,10:17,2,5,SFO 49,7,0,Frank Gore right guard for 10 yards (tackle by Johnthan Banks),1.990,2.850
2,9:42,1,10,TAM 41,7,0,Frank Gore left guard for no gain (tackle by Dekoda Watson and Adrian Clayborn),2.850,2.310
2,8:59,2,10,TAM 41,7,0,"Colin Kaepernick pass complete short left to Garrett Celek for 10 yards (tackle by Darrelle Revis). Penalty on Anthony Davis: Illegal Formation, 5 yards (no play)",2.310,1.630
2,8:30,2,15,TAM 46,7,0,Colin Kaepernick pass incomplete deep middle intended for Vernon Davis,1.630,0.960
2,8:21,3,15,TAM 46,7,0,Colin Kaepernick pass complete short middle to Anquan Boldin for 25 yards (tackle by Keith Tandy),0.960,4.170
2,7:42,1,10,TAM 21,7,0,Colin Kaepernick pass incomplete short left intended for Bruce Miller,4.170,3.630
2,7:36,2,10,TAM 21,7,0,Frank Gore right guard for 2 yards (tackle by Lavonte David),3.630,3.180
2,6:56,3,8,TAM 19,7,0,Colin Kaepernick sacked by Gerald McCoy for -9 yards,3.180,1.590
2,6:19,4,17,TAM 28,10,0,Phil Dawson 47 yard field goal good,1.590,3.000
2,6:19,,,SFO 35,10,0,"Phil Dawson kicks off 74 yards, touchback",0.000,-0.280
2,6:12,1,10,TAM 20,10,0,Bobby Rainey right guard for 8 yards (tackle by Ahmad Brooks),0.280,0.810
2,5:40,2,2,TAM 28,10,0,Bobby Rainey right guard for 3 yards (tackle by Ahmad Brooks),0.810,1.000
2,5:09,1,10,TAM 31,10,0,Mike Glennon pass incomplete short right intended for Vincent Jackson (defended by Carlos Rogers),1.000,0.460
2,5:03,2,10,TAM 31,10,0,Bobby Rainey right guard for -1 yards (tackle by NaVorro Bowman and Demarcus Dobbs),0.460,-0.360
2,4:22,3,11,TAM 30,10,0,Mike Glennon pass complete short left to Chris Owusu for 7 yards (tackle by Tramaine Brock),-0.360,-0.910
2,3:47,4,4,TAM 37,10,0,"Michael Koenen punts 44 yards, fair catch by LaMichael James",-0.910,-0.150
2,3:39,1,10,SFO 19,10,0,Frank Gore up the middle for -1 yards (tackle by Gerald McCoy and William Gholston),0.150,-0.560
2,3:03,2,11,SFO 18,10,0,Colin Kaepernick pass complete short left to Michael Crabtree for 12 yards,-0.560,0.940
2,2:34,1,10,SFO 30,10,0,Frank Gore right tackle for 3 yards (tackle by Dashon Goldson),0.940,0.800
2,2:01,2,7,SFO 33,10,0,Colin Kaepernick pass complete short middle to Vernon Davis for 15 yards (tackle by Dashon Goldson). Penalty on Gerald McCoy: Defensive Offside (Declined),0.800,2.130
2,1:56,1,10,SFO 48,16,0,"Colin Kaepernick pass complete deep middle to Vernon Davis for 52 yards, touchdown",2.130,7.000
2,1:56,,,TAM 2,17,0,Phil Dawson kicks extra point good,0.000,0.000
2,1:56,,,SFO 35,17,0,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
2,1:47,1,10,TAM 20,17,0,Brian Leonard up the middle for 12 yards (tackle by Eric Reid),0.280,1.070
2,1:25,1,10,TAM 32,17,0,Mike Glennon pass complete short right to Tiquan Underwood for 9 yards (tackle by Patrick Willis),1.070,1.740
2,1:03,2,1,TAM 41,17,0,Mike Glennon pass complete short left to Chris Owusu for 6 yards (tackle by Carlos Rogers),1.740,1.740
2,0:59,2,1,TAM 41,17,0,Timeout #1 by Tampa Bay Buccaneers,1.740,2.060
2,0:59,1,10,TAM 47,17,0,Mike Glennon pass complete deep left to Tim Wright for 26 yards (tackle by Eric Reid),2.060,2.060
2,0:47,1,10,TAM 47,17,0,Timeout #2 by Tampa Bay Buccaneers,2.060,3.780
2,0:47,1,10,SFO 27,17,0,Mike Glennon pass incomplete short left intended for Tiquan Underwood,3.780,3.230
2,0:40,2,10,SFO 27,17,0,"Mike Glennon pass complete short left to Tim Wright for 4 yards (tackle by NaVorro Bowman). Penalty on Donte Whitner: Unnecessary Roughness, 12 yards",3.230,4.840
2,0:35,1,10,SFO 11,17,6,"Mike Glennon pass complete short middle to Vincent Jackson for 11 yards, touchdown",4.840,7.000
2,0:35,,,SFO 2,17,7,Rian Lindell kicks extra point good,0.000,0.000
2,0:35,,,TAM 35,17,7,"Michael Koenen kicks off 69 yards, returned by LaMichael James for 23 yards (tackle by Kelcie McCray)",0.000,-0.150
2,0:22,1,10,SFO 19,17,7,Frank Gore right guard for 3 yards (tackle by Akeem Spence),0.150,0.070
Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,17,7,"Michael Koenen kicks off no gain, returned by Anthony Dixon for 6 yards (tackle by Michael Hill)",0.000,0.740
3,14:55,1,10,SFO 27,17,7,Colin Kaepernick pass incomplete short left intended for Anquan Boldin (defended by Darrelle Revis),0.740,0.200
3,14:52,2,10,SFO 27,17,7,LaMichael James left end for 21 yards (tackle by Dekoda Watson),0.200,2.130
3,14:05,1,10,SFO 48,17,7,Frank Gore right end for -3 yards (tackle by Darrelle Revis and Gerald McCoy),2.130,1.180
3,13:26,2,13,SFO 45,17,7,"Colin Kaepernick pass incomplete deep left intended for Vernon Davis is intercepted by Lavonte David at TAM-31 and returned for 69 yards. Penalty on Gerald McCoy: Defensive Offside, 5 yards (no play)",1.180,1.850
3,13:03,2,8,,17,7,Colin Kaepernick pass incomplete short left intended for Michael Crabtree,1.850,1.160
3,12:58,3,8,,17,7,Colin Kaepernick pass incomplete deep left intended for Anquan Boldin,1.160,-0.060
3,12:52,4,8,,17,7,"Andy Lee punts 50 yards, touchback",-0.060,-0.280
3,12:41,1,10,TAM 20,17,7,"Bobby Rainey right end for 11 yards (tackle by Patrick Willis). Penalty on Davin Joseph: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,12:24,1,20,TAM 10,17,7,Bobby Rainey right tackle for 2 yards (tackle by NaVorro Bowman),-0.760,-1.360
3,11:50,2,18,TAM 12,17,7,Mike Glennon pass complete short left to Vincent Jackson for 11 yards (tackle by Tramaine Brock),-1.360,-0.560
3,11:05,3,7,TAM 23,17,7,"Mike Glennon pass incomplete short middle intended for Vincent Jackson. Penalty on Demar Dotson: Personal Foul, 12 yards",-0.560,-2.490
3,10:59,4,19,TAM 11,17,7,"Michael Koenen punts 42 yards, returned by LaMichael James for 9 yards (tackle by Brian Leonard)",-2.490,-2.650
3,10:50,1,10,TAM 44,17,7,Frank Gore left guard for 6 yards (tackle by Johnthan Banks),2.650,2.920
3,10:12,2,4,TAM 38,17,7,Colin Kaepernick pass incomplete short left intended for Anquan Boldin (defended by William Gholston),2.920,2.210
3,10:07,3,4,TAM 38,17,7,Colin Kaepernick pass complete short left to Anquan Boldin for 7 yards (tackle by Leonard Johnson),2.210,3.510
3,9:26,1,10,TAM 31,17,7,Frank Gore left end for 10 yards (tackle by William Gholston),3.510,4.170
3,8:53,1,10,TAM 21,17,7,Colin Kaepernick pass incomplete short middle intended for Anquan Boldin (defended by Mark Barron),4.170,3.630
3,8:46,2,10,TAM 21,17,7,LaMichael James left end for 1 yard (tackle by Adam Hayward),3.630,3.630
3,8:05,2,10,TAM 21,17,7,Timeout #1 by Tampa Bay Buccaneers,3.630,3.070
3,8:05,3,9,TAM 20,17,7,"Penalty on Vernon Davis: False Start, 5 yards (no play)",3.070,2.410
3,8:05,3,14,TAM 25,17,7,Colin Kaepernick pass incomplete short right intended for Anquan Boldin (defended by Dashon Goldson),2.410,1.800
3,7:56,4,14,TAM 25,20,7,Phil Dawson 43 yard field goal good,1.800,3.000
3,7:56,,,SFO 35,20,7,"Phil Dawson kicks off 74 yards, touchback",0.000,-0.280
3,7:50,1,10,TAM 20,20,7,Mike Glennon sacked by Aldon Smith for -7 yards,0.280,-1.280
3,7:19,2,17,TAM 13,20,7,Bobby Rainey left guard for 3 yards (tackle by Aldon Smith and Tony Jerod-Eddie),-1.280,-1.690
3,6:39,3,14,TAM 16,20,7,Mike Glennon pass incomplete short middle intended for Brian Leonard (defended by Ray McDonald),-1.690,-2.390
3,6:33,4,14,TAM 16,20,7,"Michael Koenen punts 56 yards, returned by LaMichael James for 9 yards (tackle by Keith Tandy)",-2.390,-1.400
3,6:20,1,10,SFO 37,20,7,Colin Kaepernick pass complete short right to Anquan Boldin for 11 yards (tackle by Dekoda Watson and Darrelle Revis),1.400,2.130
3,5:38,1,10,SFO 48,20,7,Colin Kaepernick pass incomplete deep left intended for Vernon Davis,2.130,1.580
3,5:32,2,10,SFO 48,20,7,Frank Gore up the middle for 1 yard (tackle by Daniel Te'o-Nesheim and Dekoda Watson),1.580,1.020
3,4:50,3,9,SFO 49,20,7,Colin Kaepernick pass complete short left to Mario Manningham for 2 yards (tackle by Darrelle Revis),1.020,0.000
3,4:08,4,7,TAM 49,20,7,Andy Lee punts 41 yards,0.000,0.380
3,3:55,1,10,TAM 8,20,7,Mike Glennon pass complete deep left to Vincent Jackson for 16 yards (tackle by Eric Reid),-0.380,0.540
3,3:21,1,10,TAM 24,20,7,Mike Glennon pass complete short left to Tim Wright for 7 yards (tackle by Tramaine Brock),0.540,0.940
3,2:53,2,3,TAM 31,20,7,Mike Glennon pass complete short left to Tiquan Underwood for 6 yards (tackle by Tramaine Brock),0.940,1.400
3,2:26,1,10,TAM 37,20,7,Mike Glennon pass complete short left to Tim Wright for 8 yards,1.400,1.940
3,2:07,2,2,TAM 45,20,7,Bobby Rainey up the middle for 3 yards (tackle by Corey Lemonier),1.940,2.130
3,1:27,1,10,TAM 48,20,7,Mike Glennon pass complete short right to Vincent Jackson for 11 yards,2.130,2.850
3,1:02,1,10,SFO 41,20,7,Mike Glennon pass incomplete short left intended for Vincent Jackson,2.850,2.310
3,0:56,2,10,SFO 41,20,7,Mike Glennon pass complete short middle to Vincent Jackson for 9 yards (tackle by Tramaine Brock),2.310,2.810
3,0:15,3,1,SFO 32,20,7,Mike Glennon pass complete short right to Chris Owusu for 8 yards (tackle by Carlos Rogers and Donte Whitner),2.810,3.970
Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 24,20,13,"Mike Glennon pass complete deep right to Tim Wright for 24 yards, touchdown",3.970,7.000
4,15:00,,,SFO 2,20,14,Rian Lindell kicks extra point good,0.000,0.000
4,15:00,,,TAM 35,20,14,"Michael Koenen kicks off 72 yards, touchback",0.000,-0.280
4,14:54,1,10,SFO 20,20,14,Frank Gore left guard for 5 yards (tackle by Akeem Spence and William Gholston),0.280,0.410
4,14:26,2,5,SFO 25,20,14,Frank Gore left tackle for 6 yards (tackle by Derek Landri),0.410,1.000
4,13:46,1,10,SFO 31,20,14,"Colin Kaepernick pass incomplete deep middle intended for Michael Crabtree. Penalty on William Gholston: Defensive Offside, 5 yards, Penalty on Michael Crabtree: Unsportsmanlike Conduct, 15 yards (no play)",1.000,0.340
4,13:37,1,20,SFO 21,20,14,Kendall Hunter left end for 2 yards (tackle by Akeem Spence and Mason Foster),0.340,-0.620
4,12:55,2,18,SFO 23,20,14,Colin Kaepernick pass complete short middle to Bruce Miller for 6 yards (tackle by Lavonte David),-0.620,-0.490
4,12:09,3,12,SFO 29,20,14,Colin Kaepernick pass complete short right to Michael Crabtree for 14 yards (tackle by Dashon Goldson and Mason Foster),-0.490,1.800
4,11:29,1,10,SFO 43,20,14,Frank Gore right tackle for 5 yards (tackle by Darrelle Revis),1.800,1.930
4,10:51,2,5,SFO 48,20,14,Kendall Hunter left end for 7 yards,1.930,2.590
4,10:05,1,10,TAM 45,20,14,Colin Kaepernick pass incomplete short middle intended for Mario Manningham (defended by William Gholston),2.590,2.040
4,10:01,2,10,TAM 45,20,14,Frank Gore right guard for 12 yards (tackle by Keith Tandy),2.040,3.380
4,9:17,1,10,TAM 33,20,14,Frank Gore up the middle for 1 yard (tackle by Dekoda Watson and William Gholston),3.380,2.970
4,8:32,2,9,TAM 32,20,14,Colin Kaepernick pass complete short right to Michael Crabtree for 3 yards (tackle by Lavonte David),2.970,2.680
4,7:46,3,6,TAM 29,20,14,Colin Kaepernick right end for 10 yards (tackle by Leonard Johnson),2.680,2.680
4,7:05,3,6,TAM 29,20,14,Timeout #1 by San Francisco 49ers,2.680,4.310
4,7:05,1,10,TAM 19,20,14,"Colin Kaepernick pass complete short right to Bruce Miller for 10 yards (tackle by Keith Tandy). Bruce Miller fumbles (forced by Keith Tandy), ball out of bounds at TAM-9",4.310,4.310
4,6:34,1,10,TAM 19,20,14,Timeout #2 by San Francisco 49ers,4.310,5.140
4,6:34,1,9,TAM 9,20,14,Anquan Boldin right guard for no gain (tackle by William Gholston),5.140,4.380
4,5:56,2,9,TAM 9,20,14,Frank Gore left guard for 4 yards (tackle by William Gholston),4.380,4.260
4,5:13,3,5,TAM 5,20,14,Colin Kaepernick pass complete short right to Vernon Davis for 2 yards (tackle by Dekoda Watson),4.260,3.040
4,4:31,4,3,TAM 3,23,14,Phil Dawson 21 yard field goal good,3.040,3.000
4,4:31,,,SFO 35,29,14,"Phil Dawson kicks off 74 yards, returned by Eric Page for 16 yards. Eric Page fumbles, recovered by Kendall Hunter at TAM-2 and returned for 2 yards, touchdown",0.000,7.000
4,4:21,,,TAM 2,30,14,Phil Dawson kicks extra point good,0.000,0.000
4,4:21,,,SFO 35,30,14,"Phil Dawson kicks off 56 yards, returned by Spencer Larsen for 17 yards (tackle by Kendall Hunter)",0.000,-0.670
4,4:13,1,10,TAM 26,30,14,Mike Glennon pass incomplete short middle intended for Tiquan Underwood (defended by Donte Whitner),0.670,0.130
4,4:07,2,10,TAM 26,30,14,Mike Glennon pass incomplete deep middle intended for Tim Wright,0.130,-0.560
4,4:03,3,10,TAM 26,30,14,Mike Glennon pass incomplete,-0.560,-1.630
4,3:56,4,10,TAM 26,30,14,Mike Glennon pass incomplete short right intended for Eric Page (defended by Tramaine Brock),-1.630,-3.840
4,3:44,1,10,TAM 26,30,14,Kendall Hunter up the middle for 2 yards (tackle by Keith Tandy),3.840,3.570
4,2:57,2,8,TAM 24,30,14,Kendall Hunter right guard for 6 yards (tackle by Lavonte David and Dashon Goldson),3.570,3.570
4,2:57,2,8,TAM 24,30,14,Timeout #2 by Tampa Bay Buccaneers,3.570,3.750
4,2:57,3,2,TAM 18,30,14,Kendall Hunter right guard for 1 yard (tackle by Dekoda Watson),3.750,3.750
4,2:53,3,2,TAM 18,30,14,Timeout #3 by Tampa Bay Buccaneers,3.750,3.750
4,2:53,3,2,TAM 18,30,14,Timeout #3 by San Francisco 49ers,3.750,2.460
4,2:53,4,1,TAM 17,33,14,Phil Dawson 35 yard field goal good,2.460,3.000
4,2:53,,,SFO 35,33,14,"Phil Dawson kicks off 51 yards, returned by Erik Lorig for 6 yards (tackle by Anthony Dixon)",0.000,-0.280
4,2:44,1,10,TAM 20,33,14,Mike Glennon pass incomplete short middle intended for Chris Owusu,0.280,-0.270
4,2:39,2,10,TAM 20,33,14,Mike Glennon sacked by Patrick Willis for -16 yards,-0.270,-3.290
4,2:13,3,26,TAM 4,33,14,Mike Glennon sacked by Aldon Smith for 0 yards,-3.290,-2.490
4,2:00,4,26,TAM 4,33,14,Mike Glennon pass incomplete deep middle intended for Chris Owusu is intercepted by Eric Reid at TAM-22,-2.490,-4.110
4,1:53,1,10,TAM 22,33,14,Colt McCoy kneels for -1 yards,4.110,3.430
4,1:12,2,11,TAM 23,33,14,Colt McCoy kneels for -1 yards,3.430,2.610
4,0:31,3,12,TAM 24,33,14,Colt McCoy kneels for -1 yards,2.610,1.800
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
