Quarter,Time,Tm,Detail,BAL,MIA
2.0,1:47,Dolphins,DeVante Parker 38 yard pass from Ryan Tannehill (Andrew Franks kick),0,7
,1:27,Dolphins,Derrick Shelby 22 yard interception return (Jay Ajayi run),0,15
,0:29,Ravens,Justin Tucker 38 yard field goal,3,15
3.0,11:44,Ravens,Javorius Allen 41 yard pass from Matt Schaub (Justin Tucker kick),10,15
4.0,10:17,Ravens,Justin Tucker 31 yard field goal,13,15
