Quarter,Time,Down,ToGo,Location,BAL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIA 20,0,0,Lamar Miller left guard for 8 yards (tackle by Elvis Dumervil),0.280,0.810
1,14:31,2,2,MIA 28,0,0,Lamar Miller right end for no gain (tackle by Lardarius Webb),0.810,0.100
1,14:00,3,2,MIA 28,0,0,Lamar Miller left guard for 1 yard (tackle by Brandon Williams),0.100,-1.440
1,13:17,4,1,MIA 29,0,0,"Matt Darr punts 59 yards, returned by Kaelin Clay for 17 yards (tackle by Zach Vigil)",-1.440,-0.870
1,13:04,1,10,BAL 29,0,0,Javorius Allen left guard for 4 yards (tackle by Olivier Vernon),0.870,0.870
1,12:20,2,6,BAL 33,0,0,Matt Schaub pass incomplete short right intended for Chris Givens,0.870,0.170
1,12:20,3,6,BAL 33,0,0,Matt Schaub pass incomplete short right intended for Chris Givens (defended by Brent Grimes). Penalty on John Urschel: Offensive Holding (Declined),0.170,-1.180
1,12:15,4,6,BAL 33,0,0,"Sam Koch punts 67 yards, returned by Brent Grimes for 15 yards (tackle by Albert McClellan)",-1.180,0.220
1,12:02,1,10,MIA 15,0,0,Ryan Tannehill pass incomplete short right intended for Lamar Miller,-0.220,-0.710
1,11:58,2,10,MIA 15,0,0,Lamar Miller right tackle for 5 yards (tackle by Daryl Smith),-0.710,-0.760
1,11:27,3,5,MIA 20,0,0,Lamar Miller left guard for 7 yards (tackle by Za'Darius Smith),-0.760,0.740
1,10:46,1,10,MIA 27,0,0,Ryan Tannehill pass incomplete deep right intended for Jarvis Landry,0.740,0.200
1,10:39,2,10,MIA 27,0,0,Lamar Miller left end for 17 yards (tackle by Zach Orr),0.200,1.860
1,9:58,1,10,MIA 44,0,0,Ryan Tannehill pass incomplete short left intended for DeVante Parker,1.860,1.320
1,9:52,2,10,MIA 44,0,0,Lamar Miller middle for 4 yards (tackle by Daryl Smith),1.320,1.160
1,9:13,3,6,MIA 48,0,0,Ryan Tannehill pass incomplete deep middle intended for Jordan Cameron. Penalty on Billy Turner: Illegal Use of Hands (Declined),1.160,-0.190
1,9:07,4,6,MIA 48,0,0,"Matt Darr punts 38 yards, out of bounds",-0.190,0.280
1,8:59,1,10,BAL 14,0,0,Javorius Allen right tackle for 4 yards (tackle by Jordan Phillips and Jelani Jenkins),-0.280,-0.210
1,8:22,2,6,BAL 18,0,0,Javorius Allen left guard for no gain (tackle by Ndamukong Suh),-0.210,-0.920
1,7:43,3,6,BAL 18,0,0,Matt Schaub pass complete short left to Crockett Gillmore for 7 yards (tackle by Michael Thomas and Koa Misi),-0.920,0.610
1,7:01,1,10,BAL 25,0,0,Matt Schaub pass complete short right to Kamar Aiken for 11 yards (tackle by Brent Grimes),0.610,1.330
1,6:27,1,10,BAL 36,0,0,Terrance West right end for 3 yards (tackle by Michael Thomas),1.330,1.200
1,5:54,2,7,BAL 39,0,0,Matt Schaub pass complete short right to Kamar Aiken for 9 yards (tackle by Reshad Jones),1.200,2.130
1,5:16,1,10,BAL 48,0,0,"Matt Schaub pass complete deep left to Daniel Brown for 52 yards. Penalty on Daniel Brown: Offensive Pass Interference, 10 yards (no play)",2.130,1.470
1,5:03,1,20,BAL 38,0,0,Javorius Allen middle for 6 yards (tackle by Reshad Jones and Olivier Vernon),1.470,1.040
1,4:20,2,14,BAL 44,0,0,"Penalty on Olivier Vernon: Defensive Offside, 5 yards (no play)",1.040,1.720
1,3:56,2,9,BAL 49,0,0,Matt Schaub pass incomplete short left intended for Chris Givens (defended by Bobby McCain),1.720,1.020
1,3:48,3,9,BAL 49,0,0,Matt Schaub sacked by Olivier Vernon for -9 yards,1.020,-0.720
1,3:08,4,18,BAL 40,0,0,"Sam Koch punts 40 yards, fair catch by Jarvis Landry",-0.720,-0.280
1,3:00,1,10,MIA 20,0,0,Jay Ajayi middle for 4 yards (tackle by C.J. Mosley),0.280,0.270
1,2:27,2,6,MIA 24,0,0,Ryan Tannehill pass incomplete deep left intended for Jarvis Landry,0.270,-0.430
1,2:21,3,6,MIA 24,0,0,Ryan Tannehill pass complete short left to DeVante Parker for 11 yards (tackle by Kendrick Lewis),-0.430,1.270
1,1:57,1,10,MIA 35,0,0,Ryan Tannehill for 11 yards (tackle by C.J. Mosley),1.270,1.990
1,1:31,1,10,MIA 46,0,0,Ryan Tannehill pass complete short middle to Damien Williams for 5 yards (tackle by Daryl Smith),1.990,2.130
1,1:05,2,5,BAL 49,0,0,Damien Williams right guard for 1 yard (tackle by Daryl Smith),2.130,1.550
1,0:44,3,4,BAL 48,0,0,Ryan Tannehill pass incomplete short right intended for Kenny Stills,1.550,0.070
1,0:40,4,4,BAL 48,0,0,"Matt Darr punts 37 yards, returned by Lardarius Webb for 7 yards (tackle by Michael Thomas)",0.070,-0.040
1,0:31,1,10,BAL 18,0,0,Javorius Allen right tackle for 3 yards (tackle by Jelani Jenkins),0.040,0.010
Quarter,Time,Down,ToGo,Location,BAL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,BAL 21,0,0,Matt Schaub pass complete short right to Javorius Allen for 7 yards (tackle by Reshad Jones),0.010,0.810
2,14:18,1,10,BAL 28,0,0,Matt Schaub pass complete short right to Nick Boyle for 2 yards (tackle by Reshad Jones),0.810,0.530
2,13:42,2,8,BAL 30,0,0,Matt Schaub pass complete deep left to Jeremy Butler for 22 yards (tackle by Michael Thomas and Kelvin Sheppard),0.530,2.390
2,12:59,1,10,MIA 48,0,0,Terrance West middle for 8 yards (tackle by Reshad Jones),2.390,2.930
2,12:18,2,2,MIA 40,0,0,Matt Schaub pass complete short middle to Kamar Aiken for 4 yards (tackle by Kelvin Sheppard),2.930,3.180
2,11:47,1,10,MIA 36,0,0,Javorius Allen right tackle for 2 yards (tackle by Derrick Shelby),3.180,2.910
2,10:59,2,8,MIA 34,0,0,Matt Schaub pass incomplete deep right intended for Jeremy Butler,2.910,2.210
2,10:53,3,8,MIA 34,0,0,"Matt Schaub pass incomplete short right intended for Javorius Allen. Penalty on Jelani Jenkins: Defensive Offside, 5 yards (no play)",2.210,2.870
2,10:49,3,3,MIA 29,0,0,Javorius Allen left guard for 5 yards (tackle by Shamiel Gary),2.870,3.970
2,10:10,1,10,MIA 24,0,0,Matt Schaub pass complete short middle to Javorius Allen for 8 yards (tackle by Shamiel Gary and Kelvin Sheppard),3.970,4.650
2,9:36,2,2,MIA 16,0,0,Terrance West left guard for 5 yards (tackle by Derrick Shelby),4.650,4.840
2,8:55,1,10,MIA 11,0,0,Javorius Allen left tackle for 7 yards (tackle by Kelvin Sheppard),4.840,5.470
2,8:14,2,3,MIA 4,0,0,Javorius Allen left guard for 2 yards (tackle by Shamiel Gary),5.470,5.120
2,7:30,3,1,MIA 2,0,0,Javorius Allen right tackle for no gain (tackle by Jordan Phillips and Reshad Jones),5.120,3.250
2,6:56,4,1,MIA 2,0,0,Matt Schaub middle for no gain (tackle by Jordan Phillips),3.250,0.380
2,6:44,1,10,MIA 2,0,0,Lamar Miller right guard for 3 yards (tackle by Courtney Upshaw),-0.380,-0.560
2,6:15,2,7,MIA 5,0,0,Lamar Miller right end for 6 yards (tackle by Daryl Smith),-0.560,-0.370
2,5:28,3,1,MIA 11,0,0,Lamar Miller middle for 22 yards (tackle by Will Hill),-0.370,1.140
2,4:51,1,10,MIA 33,0,0,Ryan Tannehill pass complete short right to Jordan Cameron for 4 yards (tackle by Shareece Wright),1.140,1.130
2,4:28,2,6,MIA 37,0,0,Ryan Tannehill pass complete short right to Dion Sims for 4 yards (tackle by Zach Orr),1.130,1.130
2,3:48,2,6,MIA 37,0,0,Timeout #1 by Baltimore Ravens,1.130,0.960
2,3:48,3,2,MIA 41,0,0,"Penalty on Jordan Cameron: False Start, 5 yards (no play)",0.960,0.960
2,3:48,3,2,MIA 41,0,0,Timeout #1 by Miami Dolphins,0.960,0.300
2,3:48,3,7,MIA 36,0,0,Ryan Tannehill pass complete short middle to Lamar Miller for 5 yards (tackle by Zach Orr),0.300,-0.650
2,3:11,4,2,MIA 41,0,0,"Matt Darr punts 44 yards, returned by Kaelin Clay for 10 yards (tackle by Walt Aikens)",-0.650,-0.610
2,3:01,1,10,BAL 25,0,0,Matt Schaub pass incomplete short right intended for Nick Boyle,0.610,0.060
2,2:53,2,10,BAL 25,0,0,Matt Schaub pass complete short right to Terrance West for 5 yards (tackle by Neville Hewitt),0.060,0.060
2,2:29,2,10,BAL 25,0,0,Timeout #2 by Baltimore Ravens,0.060,0.040
2,2:29,3,5,BAL 30,0,0,Matt Schaub pass complete short middle to Nick Boyle for 6 yards (tackle by Michael Thomas),0.040,1.330
2,2:00,1,10,BAL 36,0,0,Matt Schaub pass incomplete short left intended for Chris Givens is intercepted by Reshad Jones at BAL-40 and returned for 2 yards,1.330,-3.050
2,1:54,1,10,BAL 38,0,6,"Ryan Tannehill pass complete deep middle to DeVante Parker for 38 yards, touchdown",3.050,7.000
2,1:54,,,BAL 38,0,7,Andrew Franks kicks extra point good,0.000,0.000
2,1:54,,,MIA 35,0,7,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
2,1:47,1,10,BAL 20,0,7,Matt Schaub pass complete short left to Javorius Allen for 11 yards (tackle by Jelani Jenkins),0.280,1.000
2,1:41,1,10,BAL 31,0,7,Matt Schaub pass complete short middle to Javorius Allen for 6 yards (tackle by Brice McCain),1.000,1.270
2,1:34,2,4,BAL 37,0,13,"Matt Schaub pass incomplete short middle intended for Javorius Allen is intercepted by Derrick Shelby at BAL-22 and returned for 22 yards, touchdown",1.270,-7.000
2,1:27,,,BAL 37,0,13,"Andrew Franks kicks extra point no good. Penalty on Anthony Levine: Defensive Offside, 5 yards (no play)",0.000,-1.000
2,1:27,,,BAL 37,0,13,"Andrew Franks kicks extra point no good, blocked by Lawrence Guy. Penalty on Lawrence Guy: Defensive Offside, 1 yards (no play)",0.000,-1.000
2,1:27,2,,BAL 37,0,15,"Two Point Attempt: Jay Ajayi left end, conversion succeeds",2.990,1.000
2,1:27,,,MIA 35,0,15,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
2,1:27,1,10,BAL 20,0,15,Matt Schaub pass complete deep left to Chris Givens for 36 yards (tackle by Bobby McCain),0.280,2.650
2,1:20,1,10,MIA 44,0,15,Matt Schaub pass complete short middle to Javorius Allen for 4 yards (tackle by Reshad Jones),2.650,2.650
2,0:54,2,6,MIA 40,0,15,Matt Schaub pass complete deep left to Chris Givens for 20 yards (tackle by Bobby McCain),2.650,4.240
2,0:49,1,10,MIA 20,0,15,Matt Schaub pass incomplete deep middle intended for Kamar Aiken (defended by Brice McCain),4.240,3.690
2,0:45,2,10,MIA 20,0,15,Matt Schaub pass incomplete short left intended for Kamar Aiken,3.690,3.010
2,0:40,3,10,MIA 20,0,15,Matt Schaub pass incomplete short right intended for Kyle Juszczyk,3.010,2.120
2,0:33,4,10,MIA 20,3,15,Justin Tucker 38 yard field goal good,2.120,3.000
2,0:33,,,BAL 35,3,15,"Justin Tucker kicks off 64 yards, returned by Damien Williams for 20 yards (tackle by Albert McClellan)",0.000,-0.340
