Unnamed: 0,BAL,MIA
First Downs,22,8
Rush-Yds-TDs,26-94-0,26-137-0
Cmp-Att-Yd-TD-INT,32-46-308-1-2,9-19-86-1-0
Sacked-Yards,3-27,1-4
Net Pass Yards,281,82
Total Yards,375,219
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,5-36,5-31
Third Down Conv.,5-14,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,38:09,21:51
