Quarter,Time,Tm,Detail,LAC,NYG
1.0,8:53,Giants,"Safety, Fumble O.B. in end zone",0,2
,2:16,Giants,Orleans Darkwa 23 yard rush (Aldrick Rosas kick),0,9
2.0,13:01,Chargers,Melvin Gordon 6 yard pass from Philip Rivers (Nick Novak kick),7,9
,0:06,Chargers,Nick Novak 20 yard field goal,10,9
3.0,6:46,Giants,Roger Lewis 29 yard pass from Eli Manning (Aldrick Rosas kick),10,16
,0:40,Chargers,Hunter Henry 25 yard pass from Philip Rivers (Nick Novak kick),17,16
4.0,13:31,Giants,Odell Beckham Jr. 48 yard pass from Eli Manning (pass failed),17,22
,4:50,Chargers,Nick Novak 31 yard field goal,20,22
,2:58,Chargers,Melvin Gordon 10 yard pass from Philip Rivers (Nick Novak kick),27,22
