Quarter,Time,Down,ToGo,Location,LAC,NYG,Detail,EPB,EPA
1,6:38,4,8,LAC 47,0,2,"Brad Wing punts 37 yards, fair catch by Travis Benjamin",0.130,0.380
1,6:32,1,10,LAC 10,0,2,Melvin Gordon middle for 2 yards (tackle by Damon Harrison and B.J. Goodson),-0.380,-0.630
1,5:56,2,8,LAC 12,0,2,Philip Rivers pass incomplete short right intended for Austin Ekeler,-0.630,-1.190
1,5:47,3,8,LAC 12,0,2,Philip Rivers pass complete short left to Melvin Gordon for 7 yards (tackle by Landon Collins),-1.190,-2.140
1,4:48,4,1,LAC 19,0,2,"Drew Kaser punts 62 yards, returned by Dwayne Harris for 17 yards (tackle by Adrian Phillips)",-2.140,-1.330
1,4:35,1,10,NYG 36,0,2,Odell Beckham right end for 8 yards (tackle by Tre Boston),1.330,1.870
1,4:08,2,2,NYG 44,0,2,Eli Manning pass complete short right to Odell Beckham for 13 yards (tackle by Trevor Williams). Penalty on Trevor Williams: Defensive Holding (Declined),1.870,2.720
1,3:38,1,10,LAC 43,0,2,Orleans Darkwa right tackle for 15 yards (tackle by Tre Boston and Jahleel Addae),2.720,3.710
1,3:05,1,10,LAC 28,0,2,Orleans Darkwa middle for 5 yards (tackle by Hayes Pullard and Corey Liuget),3.710,3.840
1,2:24,2,5,LAC 23,0,8,"Orleans Darkwa right tackle for 23 yards, touchdown",3.840,7.000
1,2:16,,,LAC 15,0,9,Aldrick Rosas kicks extra point good,0.000,0.000
1,2:16,,,NYG 35,0,9,"Aldrick Rosas kicks off 64 yards, returned by Desmond King for 22 yards (tackle by Kerry Wynn)",0.000,-0.480
1,2:08,1,10,LAC 23,0,9,Philip Rivers pass complete short left to Travis Benjamin for 6 yards (tackle by Janoris Jenkins),0.480,0.740
1,1:46,2,4,LAC 29,0,9,"Philip Rivers pass complete short middle to Tyrell Williams for 22 yards (tackle by Landon Collins and Dominique Rodgers-Cromartie). Penalty on B.J. Goodson: Unsportsmanlike Conduct, 15 yards",0.740,3.310
1,1:16,1,10,NYG 34,0,9,Melvin Gordon right end for 11 yards (tackle by Darian Thompson and Janoris Jenkins),3.310,4.040
1,0:35,1,10,NYG 23,0,9,Melvin Gordon middle for 1 yard (tackle by Kerry Wynn),4.040,3.630
1,0:04,2,9,NYG 22,0,9,"Penalty on Russell Okung: False Start, 5 yards (no play)",3.630,2.960
Quarter,Time,Down,ToGo,Location,LAC,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,NYG 27,0,9,"Philip Rivers pass incomplete short middle intended for Melvin Gordon. Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (no play)",2.960,3.630
2,14:57,2,9,NYG 22,0,9,"Philip Rivers left end for 8 yards (tackle by B.J. Goodson). Philip Rivers fumbles (forced by B.J. Goodson), ball out of bounds at NYG-14",3.630,4.280
2,14:18,3,1,NYG 14,0,9,Melvin Gordon middle for 8 yards (tackle by Eli Apple and Darian Thompson),4.280,5.830
2,13:37,1,6,NYG 6,0,9,Melvin Gordon middle for no gain (tackle by Landon Collins),5.830,4.950
2,13:07,2,6,NYG 6,6,9,"Philip Rivers pass complete short right to Melvin Gordon for 6 yards, touchdown",4.950,7.000
2,13:01,,,NYG 15,7,9,Nick Novak kicks extra point good,0.000,0.000
2,13:01,,,LAC 35,7,9,"Nick Novak kicks off 65 yards, returned by Dwayne Harris for 16 yards (tackle by Michael Davis)",0.000,0.140
2,12:50,1,10,NYG 16,7,9,"Penalty on LAC: Defensive 12 On-field, 5 yards (no play)",-0.140,0.740
2,12:50,1,5,NYG 21,7,9,Wayne Gallman for 14 yards (tackle by Adrian Phillips),0.740,1.270
2,12:26,1,10,NYG 35,7,9,"Eli Manning pass incomplete deep left intended for Odell Beckham. Penalty on Trevor Williams: Illegal Use of Hands, 5 yards (no play)",1.270,1.600
2,12:18,1,10,NYG 40,7,9,Wayne Gallman right tackle for 8 yards (tackle by Hayes Pullard and Joey Bosa),1.600,2.130
2,11:42,2,2,NYG 48,7,9,Wayne Gallman left tackle for 1 yard (tackle by Trevor Williams and Darius Philon),2.130,1.550
2,11:15,3,1,NYG 49,7,9,Wayne Gallman left tackle for -2 yards (tackle by Brandon Mebane and Joey Bosa),1.550,-0.260
2,10:47,4,3,NYG 47,7,9,"Brad Wing punts 41 yards, fair catch by Travis Benjamin",-0.260,0.350
2,10:37,1,10,LAC 12,7,9,Austin Ekeler left guard for -2 yards (tackle by Damon Harrison and Dalvin Tomlinson),-0.350,-0.930
2,9:59,2,12,LAC 10,7,9,Philip Rivers pass incomplete short right intended for Austin Ekeler,-0.930,-1.650
2,9:52,3,12,LAC 10,7,9,Philip Rivers pass incomplete short right intended for Keenan Allen,-1.650,-2.490
2,9:47,4,12,LAC 10,7,9,"Drew Kaser punts 51 yards, returned by Dwayne Harris for 6 yards (tackle by Michael Davis). Penalty on Nordly Capi: Running Into the Kicker (Declined)",-2.490,-1.930
2,9:33,1,10,NYG 45,7,9,Eli Manning pass incomplete short middle intended for Sterling Shepard,1.930,1.380
2,9:29,2,10,NYG 45,7,9,Eli Manning pass incomplete short left intended for Orleans Darkwa,1.380,0.700
2,9:24,3,10,NYG 45,7,9,Eli Manning pass complete short left to Brandon Marshall for 12 yards (tackle by Casey Hayward). Penalty on Trevor Williams: Defensive Holding (Declined),0.700,2.720
2,8:54,1,10,LAC 43,7,9,Shane Vereen left guard for 5 yards (tackle by Hayes Pullard and Joey Bosa),2.720,2.850
2,8:20,2,5,LAC 38,7,9,Eli Manning pass incomplete deep left intended for Brandon Marshall,2.850,2.150
2,8:12,3,5,LAC 38,7,9,Eli Manning pass incomplete deep left intended for Odell Beckham,2.150,0.720
2,8:06,4,5,LAC 38,7,9,Brad Wing punts 35 yards,0.720,0.380
2,7:57,1,10,LAC 3,7,9,Melvin Gordon left tackle for no gain (tackle by Jason Pierre-Paul and Dominique Rodgers-Cromartie),-0.380,-0.780
2,7:16,2,10,LAC 3,7,9,Philip Rivers pass incomplete short right intended for Tyrell Williams,-0.780,-1.420
2,7:08,3,10,LAC 3,7,9,Philip Rivers pass incomplete short left intended for Keenan Allen,-1.420,-2.490
2,7:02,4,10,LAC 3,7,9,"Drew Kaser punts 51 yards, returned by Dwayne Harris for 15 yards (tackle by Nick Dzubnar)",-2.490,-2.980
2,6:52,1,10,LAC 39,7,9,Eli Manning pass incomplete short right intended for Orleans Darkwa,2.980,2.440
2,6:46,2,10,LAC 39,7,9,Eli Manning pass incomplete deep right intended for Evan Engram,2.440,1.750
2,6:40,3,10,LAC 39,7,9,"Penalty on Bobby Hart: False Start, 5 yards (no play)",1.750,1.090
2,6:40,3,15,LAC 44,7,9,Eli Manning pass complete short left to Wayne Gallman for 8 yards (tackle by Brandon Mebane and Melvin Ingram),1.090,0.880
2,6:05,4,7,LAC 36,7,9,"Brad Wing punts 36 yards, touchback",0.880,-0.280
2,5:49,1,10,LAC 20,7,9,"Philip Rivers pass incomplete. Penalty on Spencer Pulley: Offensive Holding (Declined), Penalty on Philip Rivers: Intentional Grounding, 16 yards",0.280,-1.950
2,5:36,2,26,LAC 4,7,9,Philip Rivers pass complete short left to Travis Benjamin for 12 yards (tackle by Ross Cockrell),-1.950,-1.690
2,5:02,3,14,LAC 16,7,9,Philip Rivers pass complete short middle to Antonio Gates for 11 yards (tackle by Darian Thompson and Keenan Robinson),-1.690,-1.570
2,4:26,4,3,LAC 27,7,9,"Drew Kaser punts 54 yards, out of bounds",-1.570,-0.150
2,4:17,1,10,NYG 19,7,9,Wayne Gallman right tackle for 3 yards (tackle by Adrian Phillips and Hayes Pullard),0.150,0.070
2,3:51,2,7,NYG 22,7,9,"Penalty on Wayne Gallman: False Start, 5 yards (no play)",0.070,-0.720
2,3:30,2,12,NYG 17,7,9,Eli Manning pass complete short middle to Wayne Gallman for 7 yards (tackle by Jahleel Addae and Damion Square),-0.720,-0.420
2,3:00,3,5,NYG 24,7,9,Eli Manning pass incomplete short middle intended for Roger Lewis (defended by Casey Hayward),-0.420,-1.770
2,2:53,4,5,NYG 24,7,9,"Brad Wing punts 41 yards, returned by Travis Benjamin for 9 yards (tackle by Jerell Adams). Penalty on Eli Apple: Illegal Shift, 5 yards",-1.770,-2.190
2,2:42,1,10,LAC 49,7,9,Philip Rivers pass complete short right to Hunter Henry for 6 yards (tackle by Eli Apple),2.190,2.460
2,2:10,2,4,NYG 45,7,9,Melvin Gordon left end for 5 yards (tackle by Darian Thompson),2.460,2.920
2,2:00,1,10,NYG 40,7,9,Philip Rivers pass incomplete short left intended for Austin Ekeler,2.920,2.370
2,1:55,2,10,NYG 40,7,9,Philip Rivers pass incomplete short right intended for Keenan Allen,2.370,1.680
2,1:52,3,10,NYG 40,7,9,Philip Rivers pass complete short left to Hunter Henry for 11 yards (tackle by Landon Collins),1.680,3.640
2,1:23,1,10,NYG 29,7,9,Philip Rivers pass incomplete deep middle intended for Travis Benjamin,3.640,3.100
2,1:17,2,10,NYG 29,7,9,Philip Rivers pass complete short middle to Melvin Gordon for 8 yards (tackle by Jay Bromley),3.100,0.000
2,0:43,,,,,,Timeout #1 by New York Giants,0.000,-3.470
2,0:43,3,2,NYG 21,7,9,Melvin Gordon left end for 15 yards (tackle by Darian Thompson and Romeo Okwara),3.470,5.830
2,0:33,1,6,NYG 6,7,9,Philip Rivers pass incomplete short right intended for Hunter Henry (defended by Avery Moss),5.830,4.950
2,0:28,2,6,NYG 6,7,9,"Philip Rivers pass incomplete short middle intended for Keenan Allen. Penalty on Jason Pierre-Paul: Defensive Offside, 2 yards (no play)",4.950,5.340
2,0:22,2,4,NYG 4,7,9,Austin Ekeler right guard for 2 yards (tackle by Janoris Jenkins and Damon Harrison),5.340,0.000
2,0:16,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-4.950
2,0:16,3,2,NYG 2,7,9,Philip Rivers pass incomplete short left intended for Keenan Allen. Penalty on Keenan Allen: Illegal Touch Pass (Declined),4.950,3.250
2,0:09,4,2,NYG 2,10,9,Nick Novak 20 yard field goal good,3.250,3.000
2,0:06,,,LAC 35,10,9,"Nick Novak kicks off 57 yards, muffed catch by Dwayne Harris, recovered by Dwayne Harris at NYG-6, and returned for 13 yards",0.000,1.270
Quarter,Time,Down,ToGo,Location,LAC,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,10,9,"Nick Novak kicks off 67 yards, returned by Dwayne Harris for 25 yards (tackle by Rayshawn Jenkins)",0.000,-0.480
3,14:55,1,10,NYG 23,10,9,Orleans Darkwa middle for 5 yards (tackle by Kyle Emanuel),0.480,0.610
3,14:28,2,5,NYG 28,10,9,Eli Manning pass incomplete short middle intended for Orleans Darkwa,0.610,-0.100
3,14:19,3,5,NYG 28,10,9,Eli Manning sacked by Melvin Ingram for -13 yards,-0.100,-2.440
3,13:49,4,18,NYG 15,10,9,"Brad Wing punts 53 yards, returned by Travis Benjamin for 19 yards (tackle by Jerell Adams)",-2.440,-2.320
3,13:35,1,10,NYG 49,10,9,Philip Rivers pass complete short left to Keenan Allen for 18 yards (tackle by B.J. Goodson),2.320,3.510
3,12:58,1,10,NYG 31,10,9,Travis Benjamin right end for 14 yards (tackle by Darian Thompson),3.510,4.440
3,12:27,1,10,NYG 17,10,9,Melvin Gordon middle for 7 yards (tackle by B.J. Goodson),4.440,5.100
3,11:58,2,3,NYG 10,10,9,Melvin Gordon middle for 1 yard (tackle by Jonathan Casillas),5.100,4.570
3,11:35,3,2,NYG 9,10,9,"Penalty on Melvin Gordon: False Start, 5 yards (no play)",4.570,3.500
3,11:05,3,7,NYG 14,10,9,Philip Rivers pass incomplete deep middle intended for Keenan Allen is intercepted by Darian Thompson at NYG--2,3.500,-0.280
3,10:56,1,10,NYG 20,10,9,"Eli Manning pass complete short right to Shane Vereen for 10 yards (tackle by Hayes Pullard). Penalty on Roger Lewis: Offensive Holding, 10 yards",0.280,0.280
3,10:39,1,10,NYG 20,10,9,Eli Manning pass complete short middle to Odell Beckham for 6 yards (tackle by Jatavis Brown),0.280,0.540
3,10:05,2,4,NYG 26,10,9,Orleans Darkwa right guard for 6 yards (tackle by Darius Philon and Kyle Emanuel),0.540,1.070
3,9:27,1,10,NYG 32,10,9,Eli Manning pass complete short left to Odell Beckham for 15 yards (tackle by Casey Hayward),1.070,2.060
3,8:50,1,10,NYG 47,10,9,Wayne Gallman right tackle for 4 yards (tackle by Damion Square and Joey Bosa),2.060,2.060
3,8:18,2,6,LAC 49,10,9,Eli Manning pass complete short right to Odell Beckham for 15 yards (tackle by Casey Hayward),2.060,3.310
3,7:41,1,10,LAC 34,10,9,Eli Manning pass incomplete deep right intended for Evan Engram,3.310,2.770
3,7:34,2,10,LAC 34,10,9,Eli Manning pass complete short middle to Wayne Gallman for 5 yards (tackle by Jahleel Addae),2.770,2.740
3,6:53,3,5,LAC 29,10,15,"Eli Manning pass complete deep left to Roger Lewis for 29 yards, touchdown",2.740,7.000
3,6:46,,,LAC 15,10,16,Aldrick Rosas kicks extra point good,0.000,0.000
3,6:46,,,NYG 35,10,16,"Aldrick Rosas kicks off 64 yards, returned by Desmond King for 41 yards (tackle by Roger Lewis). Penalty on Tenny Palepoi: Illegal Block Above the Waist, 8 yards",0.000,0.380
3,6:35,1,10,LAC 8,10,16,Melvin Gordon left end for 9 yards (tackle by Eli Apple),-0.380,0.050
3,6:03,2,1,LAC 17,10,16,"Melvin Gordon middle for 26 yards (tackle by Darian Thompson). Penalty on Kenny Wiggins: Offensive Holding, 8 yards (no play)",0.050,-0.710
3,5:34,2,9,LAC 9,10,16,Philip Rivers pass incomplete,-0.710,-1.300
3,5:28,3,9,LAC 9,10,16,Philip Rivers pass complete short left to Antonio Gates for 12 yards (tackle by Eli Apple),-1.300,0.340
3,4:55,1,10,LAC 21,10,16,Philip Rivers pass incomplete short left intended for Hunter Henry,0.340,-0.200
3,4:44,2,10,LAC 21,10,16,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",-0.200,-1.010
3,4:44,2,15,LAC 16,10,16,Philip Rivers pass incomplete short left intended for Melvin Gordon,-1.010,-1.780
3,4:40,3,15,LAC 16,10,16,Philip Rivers pass complete short right to Keenan Allen for 16 yards (tackle by Janoris Jenkins),-1.780,1.070
3,3:57,1,10,LAC 32,10,16,Melvin Gordon left tackle for -1 yards (tackle by B.J. Goodson and Ross Cockrell),1.070,0.390
3,3:20,2,11,LAC 31,10,16,Philip Rivers pass complete short left to Melvin Gordon for 22 yards (tackle by Landon Collins),0.390,2.460
3,2:35,1,10,NYG 47,10,16,Austin Ekeler left tackle for no gain (tackle by Jason Pierre-Paul and Kerry Wynn),2.460,1.910
3,2:01,2,10,NYG 47,10,16,Philip Rivers pass complete short middle to Austin Ekeler for 4 yards (tackle by Landon Collins),1.910,1.750
3,1:32,3,6,NYG 43,10,16,Philip Rivers pass complete deep middle to Keenan Allen for 18 yards (tackle by Darian Thompson),1.750,3.910
3,0:51,1,10,NYG 25,16,16,"Philip Rivers pass complete deep left to Hunter Henry for 25 yards, touchdown",3.910,7.000
3,0:40,,,NYG 15,17,16,Nick Novak kicks extra point good,0.000,0.000
3,0:40,,,LAC 35,17,16,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
3,0:40,1,10,NYG 25,17,16,Eli Manning pass complete short left to Rhett Ellison for 9 yards (tackle by Adrian Phillips and Melvin Ingram),0.610,1.280
3,0:03,2,1,NYG 34,17,16,Wayne Gallman right end for 5 yards (tackle by Jahleel Addae and Desmond King),1.280,1.530
Quarter,Time,Down,ToGo,Location,LAC,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 39,17,16,Wayne Gallman left tackle for 15 yards (tackle by Tre Boston),1.530,2.520
4,14:25,1,10,LAC 46,17,16,Wayne Gallman middle for -2 yards (tackle by Melvin Ingram),2.520,1.710
4,13:41,2,12,LAC 48,17,16,"Eli Manning pass complete deep right to Odell Beckham for 48 yards. Penalty on Eli Manning: Delay of Game, 5 yards (no play)",1.710,0.000
4,13:31,,,LAC 2,17,16,"Penalty on Eli Manning: Delay of Game, 5 yards (no play)",0.000,0.000
4,13:31,,,LAC 7,17,16,"Two Point Attempt: Eli Manning pass incomplete intended for Odell Beckham, conversion fails",0.000,-1.000
4,13:31,,,NYG 35,17,16,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
4,13:31,1,10,LAC 25,17,16,Melvin Gordon left guard for 14 yards (tackle by Dominique Rodgers-Cromartie and Darian Thompson),0.610,1.530
4,12:58,1,10,LAC 39,17,16,"Philip Rivers pass incomplete deep middle intended for Tyrell Williams. Penalty on Michael Schofield: Offensive Holding, 10 yards (no play)",1.530,0.870
4,12:48,1,20,LAC 29,17,16,"Philip Rivers pass complete short right to Tyrell Williams for 1 yard (tackle by Ross Cockrell). Penalty on Eli Apple: Defensive Holding, 5 yards (no play)",0.870,1.200
4,12:23,1,10,LAC 34,17,16,"Melvin Gordon left end for 3 yards (tackle by Landon Collins and Dalvin Tomlinson). Penalty on Sean McGrath: Unnecessary Roughness, 15 yards",1.200,-0.960
4,11:53,2,22,LAC 22,17,16,Philip Rivers pass incomplete deep left intended for Keenan Allen (defended by Janoris Jenkins),-0.960,-1.620
4,11:45,3,22,LAC 22,17,16,Philip Rivers pass complete short middle to Austin Ekeler for 10 yards (tackle by Devon Kennard),-1.620,-1.240
4,11:09,4,12,LAC 32,17,16,"Drew Kaser punts 68 yards, touchback",-1.240,-0.280
4,11:00,1,10,NYG 20,17,16,Wayne Gallman middle for 6 yards (tackle by Hayes Pullard and Darius Philon),0.280,0.540
4,10:35,2,4,NYG 26,17,16,Eli Manning pass complete short left to Wayne Gallman for -2 yards (tackle by Jahleel Addae),0.540,-0.430
4,9:50,3,6,NYG 24,17,16,Eli Manning sacked by Darius Philon for -11 yards,-0.430,-2.490
4,9:17,4,17,NYG 13,17,16,"Brad Wing punts 55 yards, returned by Travis Benjamin for 7 yards (tackle by Nordly Capi)",-2.490,-1.530
4,9:05,1,10,LAC 39,17,16,Philip Rivers pass complete short right to Melvin Gordon for 5 yards (tackle by Jason Pierre-Paul),1.530,1.660
4,8:30,2,5,LAC 44,17,16,Melvin Gordon right end for 16 yards (tackle by Landon Collins),1.660,2.920
4,8:01,1,10,NYG 40,17,16,Melvin Gordon left tackle for 3 yards (tackle by Damon Harrison and Darian Thompson),2.920,2.780
4,7:16,2,7,NYG 37,17,16,Philip Rivers pass complete short right to Austin Ekeler for 14 yards (tackle by Darian Thompson),2.780,4.040
4,6:40,1,10,NYG 23,17,16,Austin Ekeler right tackle for no gain (tackle by Eli Apple and Keenan Robinson),4.040,3.500
4,5:58,2,10,NYG 23,17,16,Philip Rivers pass incomplete short right intended for Keenan Allen,3.500,2.810
4,5:51,3,10,NYG 23,17,16,Philip Rivers pass complete short right to Keenan Allen for 15 yards (tackle by Darian Thompson),2.810,5.370
4,5:07,1,8,NYG 8,17,16,Philip Rivers pass incomplete short middle intended for Keenan Allen,5.370,4.570
4,5:02,2,8,NYG 8,17,16,Philip Rivers pass incomplete short middle intended for Hunter Henry (defended by Darian Thompson),4.570,3.580
4,4:58,3,8,NYG 8,17,16,Philip Rivers pass incomplete short middle intended for Antonio Gates,3.580,2.950
4,4:54,4,8,NYG 8,17,16,"Penalty on Drew Kaser: Delay of Game, 5 yards (no play)",2.950,2.570
4,4:54,4,13,NYG 13,17,22,Nick Novak 31 yard field goal good,2.570,-3.000
4,4:50,,,LAC 35,17,22,"Nick Novak kicks off 65 yards, returned by Odell Beckham for 20 yards (tackle by Nigel Harris)",0.000,-0.280
4,4:44,1,10,NYG 20,17,22,Shane Vereen middle for 3 yards (tackle by Hayes Pullard),0.280,0.140
4,4:07,2,7,NYG 23,17,22,Eli Manning pass incomplete short left intended for Odell Beckham,0.140,-0.560
4,4:00,3,7,NYG 23,17,22,"Eli Manning sacked by Melvin Ingram for -12 yards. Eli Manning fumbles (forced by Melvin Ingram), recovered by Melvin Ingram at NYG-11 (tackle by D.J. Fluker)",-0.560,-4.840
4,3:46,1,10,NYG 11,17,22,Melvin Gordon left tackle for 1 yard (tackle by Jason Pierre-Paul and B.J. Goodson),4.840,4.320
4,3:09,2,9,NYG 10,17,22,Philip Rivers pass incomplete short middle intended for Hunter Henry,4.320,3.300
4,3:04,3,9,NYG 10,20,22,"Philip Rivers pass complete short right to Melvin Gordon for 10 yards, touchdown",3.300,7.000
4,2:58,,,NYG 15,26,22,Nick Novak kicks extra point good,0.000,0.000
4,2:58,,,LAC 35,27,22,"Nick Novak kicks off 61 yards, returned by Shane Vereen for 20 yards (tackle by Nigel Harris)",0.000,-0.540
4,2:53,1,10,NYG 24,27,22,Shane Vereen right tackle for 4 yards (tackle by Desmond King),0.540,0.540
4,2:28,2,6,NYG 28,27,22,Eli Manning pass incomplete short middle intended for Evan Engram (defended by Corey Liuget),0.540,-0.160
4,2:23,3,6,NYG 28,27,22,Eli Manning pass complete short middle to Jerell Adams for 11 yards (tackle by Adrian Phillips),-0.160,1.530
4,2:02,1,10,NYG 39,27,22,Eli Manning pass complete short middle to Shane Vereen for 7 yards (tackle by Jatavis Brown),1.530,1.930
4,1:58,2,3,NYG 46,27,22,Shane Vereen right guard for 1 yard (tackle by Chris McCain),1.930,1.360
4,1:36,3,2,NYG 47,27,22,Shane Vereen left guard for 5 yards (tackle by Jatavis Brown and Kyle Emanuel),1.360,0.000
4,1:27,,,,,,Timeout #1 by New York Giants,0.000,-2.390
4,1:27,1,10,LAC 48,27,22,"Eli Manning pass complete short middle to Rhett Ellison for 8 yards (tackle by Trevor Williams and Corey Liuget). Penalty on Bobby Hart: Illegal Use of Hands, 10 yards (no play)",2.390,1.730
4,1:20,1,20,NYG 42,27,22,Eli Manning pass complete short middle to Shane Vereen for 4 yards (tackle by Adrian Phillips),1.730,1.040
4,1:00,2,16,NYG 46,27,22,Eli Manning pass complete short middle to Shane Vereen for 6 yards (tackle by Jatavis Brown),1.040,0.000
4,0:53,,,,,,Timeout #2 by New York Giants,0.000,-1.160
4,0:53,3,10,LAC 48,27,22,Eli Manning pass incomplete short left intended for Shane Vereen. Penalty on D.J. Fluker: Offensive Holding (Declined),1.160,0.070
4,0:49,4,10,LAC 48,27,22,Eli Manning pass incomplete short middle intended for Evan Engram is intercepted by Tre Boston at LAC-33 and returned for 15 yards,0.070,-2.130
4,0:40,1,10,LAC 48,27,22,Philip Rivers kneels for -2 yards,2.130,0.000
4,0:38,,,,,,Timeout #3 by New York Giants,0.000,-1.310
4,0:38,2,12,LAC 46,27,22,Philip Rivers kneels for -1 yards,1.310,0.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
