Unnamed: 0,LAC,NYG
First Downs,21,18
Rush-Yds-TDs,29-124-0,25-152-1
Cmp-Att-Yd-TD-INT,21-44-258-3-1,21-36-225-2-1
Sacked-Yards,0-0,5-42
Net Pass Yards,258,183
Total Yards,382,335
Fumbles-Lost,2-0,2-1
Turnovers,1,2
Penalties-Yards,11-87,10-67
Third Down Conv.,8-18,5-15
Fourth Down Conv.,0-0,0-1
Time of Possession,31:45,28:15
