Unnamed: 0,MIN,WAS
First Downs,20,23
Rush-Yds-TDs,38-241-2,24-141-0
Cmp-Att-Yd-TD-INT,12-18-152-2-0,26-41-284-2-1
Sacked-Yards,2-4,3-28
Net Pass Yards,148,256
Total Yards,389,397
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,4-40,8-64
Third Down Conv.,4-11,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,29:34,30:26
