Quarter,Time,Tm,Detail,MIN,WAS
1.0,7:11,Vikings,Ryan Longwell 36 yard field goal,3,0
2.0,14:56,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),10,0
,10:46,Redskins,Donte' Stallworth 5 yard pass from Rex Grossman (Graham Gano kick),10,7
,1:02,Redskins,Graham Gano 26 yard field goal,10,10
3.0,10:40,Redskins,Graham Gano 53 yard field goal,10,13
,9:23,Vikings,Joe Webb 9 yard rush (Ryan Longwell kick),17,13
,5:57,Redskins,Jabar Gaffney 4 yard pass from Rex Grossman (Graham Gano kick),17,20
,2:41,Vikings,Kyle Rudolph 17 yard pass from Joe Webb (Ryan Longwell kick failed),23,20
4.0,12:41,Redskins,Graham Gano 25 yard field goal,23,23
,10:06,Vikings,Percy Harvin 8 yard pass from Joe Webb (Ryan Longwell kick),30,23
,4:05,Vikings,Ryan Longwell 23 yard field goal,33,23
,1:25,Redskins,Graham Gano 47 yard field goal,33,26
