Unnamed: 0,MIN,CHI
First Downs,10,24
Rush-Yds-TDs,16-96-0,31-138-0
Cmp-Att-Yd-TD-INT,18-28-158-1-1,31-43-330-3-2
Sacked-Yards,2-11,0-0
Net Pass Yards,147,330
Total Yards,243,468
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,2-18,7-60
Third Down Conv.,2-11,10-17
Fourth Down Conv.,2-2,2-3
Time of Possession,21:22,38:38
