Quarter,Time,Tm,Detail,PHI,GNB
1.0,7:53,Eagles,Jake Elliott 52 yard field goal,3,0
2.0,8:29,Packers,Davante Adams 1 yard pass from Aaron Rodgers (Mason Crosby kick),3,7
,0:57,Packers,Robert Tonyan 25 yard pass from Aaron Rodgers (Mason Crosby kick),3,14
3.0,7:39,Packers,Davante Adams 9 yard pass from Aaron Rodgers (Mason Crosby kick failed),3,20
4.0,11:19,Packers,Mason Crosby 40 yard field goal,3,23
,7:52,Eagles,Greg Ward 32 yard pass from Jalen Hurts (Jake Elliott kick),10,23
,6:30,Eagles,Jalen Reagor 73 yard punt return (Jake Elliott kick failed),16,23
,2:36,Packers,Aaron Jones 77 yard rush (Mason Crosby kick),16,30
