Unnamed: 0,PHI,GNB
First Downs,17,20
Rush-Yds-TDs,25-117-0,25-149-1
Cmp-Att-Yd-TD-INT,11-27-188-1-1,25-34-295-3-0
Sacked-Yards,7-27,2-7
Net Pass Yards,161,288
Total Yards,278,437
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,4-40,5-30
Third Down Conv.,4-13,5-12
Fourth Down Conv.,1-1,1-1
Time of Possession,28:21,31:39
