Unnamed: 0,KAN,NWE
First Downs,21,27
Rush-Yds-TDs,34-221-2,20-97-1
Cmp-Att-Yd-TD-INT,16-25-149-3-2,39-55-410-4-1
Sacked-Yards,3-21,4-11
Net Pass Yards,128,399
Total Yards,349,496
Fumbles-Lost,1-1,2-0
Turnovers,3,1
Penalties-Yards,1-5,12-100
Third Down Conv.,6-11,8-17
Fourth Down Conv.,0-0,0-0
Time of Possession,27:01,37:39
