Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Morten Andersen kicks off 66 yards, returned by Deion Branch for 31 yards (tackle by William Bartee)",0.000,1.270
1,14:54,1,10,NWE 35,0,0,Tom Brady pass complete to Deion Branch for 3 yards (tackle by William Bartee),1.270,1.130
1,14:20,2,7,NWE 38,0,0,Tom Brady pass complete to Donald Hayes for 2 yards (tackle by Greg Wesley),1.130,0.700
1,13:46,3,5,NWE 40,0,0,Tom Brady pass complete to Deion Branch for 11 yards (tackle by William Bartee),0.700,2.320
1,13:23,1,10,KAN 49,0,0,"Penalty on Mike Compton: False Start, 5 yards (no play)",2.320,1.990
1,13:16,1,15,NWE 46,0,0,Tom Brady pass incomplete intended for Donald Hayes,1.990,1.110
1,13:12,2,15,NWE 46,0,0,Tom Brady pass complete to Deion Branch for 6 yards (tackle by Ray Crockett),1.110,1.220
1,12:24,3,9,KAN 48,0,0,"Tom Brady pass complete to Deion Branch for 14 yards (tackle by Eric Warfield). Penalty on Deion Branch: Offensive Pass Interference, 10 yards (no play)",1.220,-0.100
1,12:03,3,19,NWE 42,0,0,Tom Brady pass incomplete intended for David Patten (defended by Greg Wesley),-0.100,-0.590
1,11:58,4,19,NWE 42,0,0,"Ken Walter punts 46 yards, fair catch by Dante Hall",-0.590,0.350
1,11:50,1,10,KAN 12,0,0,Priest Holmes left end for -2 yards (tackle by Steve Martin and Richard Seymour),-0.350,-0.930
1,11:15,2,12,KAN 10,0,0,Priest Holmes right end for 12 yards (tackle by Ted Johnson),-0.930,0.410
1,10:32,1,10,KAN 22,0,0,Trent Green sacked by Tebucky Jones and Anthony Pleasant for -8 yards,0.410,-1.330
1,9:53,2,18,KAN 14,0,0,Priest Holmes right guard for -3 yards (tackle by Richard Seymour),-1.330,-2.710
1,9:11,3,21,KAN 11,0,0,"Priest Holmes middle for 4 yards (tackle by Willie McGinest and Anthony Pleasant). Penalty on Otis Smith: Encroachment, 5 yards (no play)",-2.710,-1.870
1,8:48,3,16,KAN 16,0,0,Trent Green pass complete to Priest Holmes for 2 yards (tackle by Victor Green and Ben Kelly),-1.870,-2.240
1,8:08,4,14,KAN 18,0,0,"Dan Stryzinski punts 54 yards, returned by Troy Brown for 13 yards (tackle by Scott Fujita). Penalty on Matt Chatham: Offensive Holding, 10 yards",-2.240,-1.000
1,7:58,1,10,NWE 31,0,0,Tom Brady pass incomplete intended for Troy Brown,1.000,0.460
1,7:54,2,10,NWE 31,0,0,"Tom Brady pass complete to Cam Cleeland for 3 yards (tackle by Mike Maslowski). Penalty on Kenyatta Jones: Offensive Holding, 10 yards (no play)",0.460,-0.890
1,7:44,2,20,NWE 21,0,0,Tom Brady sacked by Eric Hicks for -1 yards,-0.890,-1.680
1,7:14,3,21,NWE 20,0,0,Tom Brady pass incomplete intended for Troy Brown,-1.680,-2.030
1,7:08,4,21,NWE 20,0,0,"Ken Walter punts 49 yards, returned by Dante Hall for no gain. Penalty on Larry Izzo: Ineligible Downfield Kick, 5 yards (no play)",-2.030,-2.440
1,7:00,4,26,NWE 15,0,0,"Ken Walter punts 46 yards, returned by Dante Hall for 3 yards (tackle by Larry Izzo)",-2.440,-1.730
1,6:51,1,10,KAN 42,0,0,Trent Green pass complete to Priest Holmes for 9 yards (tackle by Mike Vrabel),1.730,2.400
1,6:26,2,1,NWE 49,0,0,Priest Holmes right guard for 3 yards (tackle by Ted Johnson and Bobby Hamilton),2.400,2.520
1,5:50,1,10,NWE 46,0,0,Priest Holmes left tackle for 4 yards (tackle by Rick Lyle and Ted Johnson),2.520,2.520
1,5:08,2,6,NWE 42,0,0,Trent Green left end for 3 yards (tackle by Matt Chatham),2.520,2.210
1,4:26,3,3,NWE 39,0,0,Dante Hall left end for 13 yards (tackle by Ted Johnson),2.210,3.840
1,3:45,1,10,NWE 26,0,0,Priest Holmes right tackle for -1 yards (tackle by Bobby Hamilton),3.840,3.160
1,3:07,2,11,NWE 27,0,0,Priest Holmes middle for 6 yards (tackle by Bobby Hamilton and Victor Green),3.160,3.270
1,2:24,3,5,NWE 21,0,0,Trent Green pass incomplete intended for Johnnie Morton,3.270,2.110
1,2:19,4,5,NWE 21,3,0,Morten Andersen 39 yard field goal good,2.110,3.000
1,2:19,,,KAN 30,3,0,"Morten Andersen kicks off 68 yards, returned by Deion Branch for 52 yards (tackle by Shaunard Harts). Penalty on Mike Vrabel: Unnecessary Roughness, 15 yards",0.000,1.530
1,2:04,1,10,NWE 39,3,0,Antowain Smith middle for 2 yards (tackle by Eddie Freeman),1.530,1.260
1,1:32,2,8,NWE 41,3,0,Antowain Smith left tackle for 1 yard (tackle by Jason Belser and Derrick Ransom),1.260,0.700
1,0:52,3,7,NWE 42,3,0,Tom Brady pass incomplete intended for Troy Brown is intercepted by Mike Maslowski at KAN-49 and returned for 25 yards,0.700,-3.840
1,0:43,1,10,NWE 26,3,0,Priest Holmes left guard for 5 yards (tackle by Bobby Hamilton and Lawyer Milloy),3.840,3.970
1,0:03,2,5,NWE 21,3,0,Priest Holmes left tackle for 7 yards (tackle by Lawyer Milloy),3.970,4.650
Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 14,9,0,"Trent Green pass complete to Eddie Kennison for 14 yards, touchdown",4.650,7.000
2,15:00,,,NWE 14,10,0,Morten Andersen kicks extra point good,0.000,0.000
2,15:00,,,KAN 30,10,0,"Morten Andersen kicks off 58 yards, returned by Deion Branch for 15 yards (tackle by Gary Stills)",0.000,0.740
2,14:52,1,10,NWE 27,10,0,Tom Brady pass incomplete intended for Daniel Graham,0.740,0.200
2,14:47,2,10,NWE 27,10,0,Kevin Faulk right end for -1 yards (tackle by Gary Stills and Duane Clemons),0.200,-0.620
2,14:05,3,11,NWE 26,10,0,Tom Brady pass complete to Troy Brown for 2 yards (tackle by Mike Maslowski and Glenn Cadrez),-0.620,-1.500
2,13:36,4,9,NWE 28,10,0,Ken Walter punts 27 yards,-1.500,-1.930
2,13:26,1,10,KAN 45,10,0,Trent Green pass complete to Bill Baber for 7 yards (tackle by Ted Johnson and Mike Vrabel),1.930,2.330
2,12:48,2,3,NWE 48,10,0,Priest Holmes right end for 1 yard (tackle by Bobby Hamilton),2.330,1.750
2,12:23,3,2,NWE 47,10,0,Trent Green sacked by Mike Vrabel for -9 yards,1.750,-0.460
2,11:52,4,11,KAN 44,10,0,"Penalty on Scott Fujita: False Start, 5 yards (no play)",-0.460,-0.780
2,11:44,4,16,KAN 39,10,0,"Dan Stryzinski punts 31 yards, out of bounds. Penalty on Ty Law: Unnecessary Roughness, 15 yards",-0.780,0.220
2,11:37,1,10,NWE 15,10,0,Tom Brady pass complete to Marc Edwards for 7 yards (tackle by Mike Maslowski),-0.220,0.350
2,10:54,2,3,NWE 22,10,0,Tom Brady pass complete to David Patten for 13 yards (tackle by Eric Warfield),0.350,1.270
2,10:20,1,10,NWE 35,10,0,Tom Brady pass complete to Troy Brown for 5 yards (tackle by Ray Crockett),1.270,1.400
2,9:47,2,5,NWE 40,10,0,Tom Brady pass complete to Troy Brown for 16 yards (tackle by William Bartee and Mike Maslowski),1.400,2.650
2,9:02,1,10,KAN 44,10,0,Tom Brady pass complete to Donald Hayes for 8 yards (tackle by William Bartee),2.650,3.190
2,8:28,2,2,KAN 36,10,0,Antowain Smith right end for 3 yards (tackle by Mike Maslowski),3.190,3.380
2,7:50,1,10,KAN 33,10,0,Tom Brady pass complete to Troy Brown for 10 yards (tackle by Ray Crockett and Mike Maslowski),3.380,4.040
2,7:02,1,10,KAN 23,10,6,"Tom Brady pass complete to Kevin Faulk for 23 yards, touchdown",4.040,7.000
2,7:02,1,,KAN 23,10,6,"Two Point Attempt: Ken Walter middle, conversion fails",1.000,-1.000
2,7:02,,,NWE 30,10,6,"Adam Vinatieri kicks off 68 yards, returned by Dante Hall for 35 yards (tackle by Larry Izzo)",0.000,1.400
2,6:50,1,10,KAN 37,10,6,Trent Green pass incomplete intended for Eddie Kennison is intercepted by Otis Smith at NWE-23 and returned for -1 yards,1.400,-0.410
2,6:38,1,10,NWE 22,10,6,Tom Brady pass complete to Marc Edwards for 6 yards (tackle by Derrick Ransom and Marvcus Patton),0.410,0.680
2,5:57,2,4,NWE 28,10,6,Antowain Smith middle for 2 yards (tackle by Duane Clemons and Jason Belser),0.680,0.230
2,5:27,3,2,NWE 30,10,6,Tom Brady pass complete to Troy Brown for 5 yards (tackle by Ray Crockett),0.230,1.270
2,4:53,1,10,NWE 35,10,6,Tom Brady pass complete to Troy Brown for 9 yards (tackle by Marvcus Patton and William Bartee),1.270,1.940
2,4:16,2,1,NWE 44,10,6,Marc Edwards middle for 1 yard (tackle by Duane Clemons),1.940,1.930
2,3:33,1,10,NWE 45,10,6,Tom Brady pass complete to David Patten for 9 yards (tackle by Corey Harris and Jason Belser),1.930,2.600
2,3:02,2,1,KAN 46,10,6,"Kevin Faulk left end for no gain, lateral to Tom Brady for no gain. Tom Brady fumbles, recovered by Tom Brady at 50",2.600,1.880
2,2:29,3,1,KAN 46,10,6,Marc Edwards middle for 3 yards (tackle by Duane Clemons),1.880,2.720
2,2:15,1,10,KAN 43,10,6,Tom Brady pass incomplete,2.720,2.180
2,2:11,2,10,KAN 43,10,6,Tom Brady pass incomplete intended for Troy Brown,2.180,1.490
2,2:07,3,10,KAN 43,10,6,Tom Brady pass complete to David Patten for 4 yards (tackle by William Bartee),1.490,0.660
