Quarter,Time,Tm,Detail,KAN,NWE
1,2:15,Chiefs,Morten Andersen 39 yard field goal,3,0
2,14:56,Chiefs,Eddie Kennison 14 yard pass from Trent Green (Morten Andersen kick),10,0
,6:57,Patriots,Kevin Faulk 23 yard pass from Tom Brady,10,6
,0:05,Patriots,Adam Vinatieri 37 yard field goal,10,9
3,13:00,Chiefs,Priest Holmes 3 yard pass from Trent Green (Morten Andersen kick),17,9
,7:45,Patriots,Troy Brown 9 yard pass from Tom Brady (Antowain Smith run),17,17
4,14:55,Patriots,Daniel Graham 18 yard pass from Tom Brady (Adam Vinatieri kick),17,24
,13:23,Patriots,David Patten 38 yard pass from Tom Brady (Adam Vinatieri kick),17,31
,9:23,Chiefs,Eddie Kennison 15 yard pass from Trent Green (Morten Andersen kick),24,31
,6:10,Patriots,Antowain Smith 42 yard rush (Adam Vinatieri kick),24,38
,4:37,Chiefs,Priest Holmes 6 yard rush (Morten Andersen kick),31,38
,0:00,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),38,38
OT,10:20,Patriots,Adam Vinatieri 35 yard field goal,38,41
