Unnamed: 0,TEN,PHI
First Downs,13,22
Rush-Yds-TDs,32-209-1,30-123-0
Cmp-Att-Yd-TD-INT,8-22-101-1-0,32-61-267-1-1
Sacked-Yards,3-17,0-0
Net Pass Yards,84,267
Total Yards,293,390
Fumbles-Lost,2-1,5-2
Turnovers,1,3
Penalties-Yards,2-15,8-64
Third Down Conv.,4-13,10-23
Fourth Down Conv.,0-1,1-3
Time of Possession,23:38,36:22
