Quarter,Time,Down,ToGo,Location,TEN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 65 yards, returned by Bobby Wade for 24 yards (tackle by Quintin Mikell)",0.000,0.870
1,14:54,1,10,TEN 29,0,0,Travis Henry right tackle for 2 yards (tackle by Darwin Walker),0.870,0.600
1,14:15,2,8,TEN 31,0,0,Travis Henry right end for -3 yards (tackle by Shawn Barber),0.600,-0.490
1,13:33,3,11,TEN 28,0,0,Vince Young pass complete short right to Brandon Jones for 13 yards (tackle by Lito Sheppard),-0.490,1.660
1,12:52,1,10,TEN 41,0,0,Travis Henry middle for 43 yards (tackle by Sheldon Brown),1.660,4.510
1,12:08,1,10,PHI 16,0,0,LenDale White middle for 2 yards (tackle by Mike Patterson),4.510,4.210
1,11:31,2,8,PHI 14,6,0,"Vince Young pass complete short middle to Ben Troupe for 14 yards, touchdown",4.210,7.000
1,11:31,,,PHI 2,7,0,Rob Bironas kicks extra point good,0.000,0.000
1,11:31,,,TEN 30,7,0,"Rob Bironas kicks off 63 yards, returned by Reno Mahe for 25 yards (tackle by Colby Bockwoldt). Penalty on Jason Short: Unnecessary Roughness, 15 yards",0.000,-0.060
1,11:17,1,10,PHI 17,7,0,Donovan McNabb pass complete short left to Brian Westbrook for 6 yards (tackle by Lamont Thompson),-0.060,0.350
1,10:53,2,4,PHI 23,7,0,Brian Westbrook right guard for 6 yards (tackle by Keith Bulluck),0.350,0.870
1,10:15,1,10,PHI 29,7,0,Donovan McNabb pass incomplete deep middle intended for Reggie Brown,0.870,0.330
1,10:07,2,10,PHI 29,7,0,Brian Westbrook left tackle for 3 yards (tackle by Tony Brown and Kyle Vanden Bosch),0.330,0.040
1,9:31,3,7,PHI 32,7,0,Donovan McNabb pass incomplete short left intended for Reggie Brown,0.040,-1.240
1,9:27,4,7,PHI 32,7,0,"Dirk Johnson punts 54 yards, returned by Adam Jones for 4 yards (tackle by Quintin Mikell)",-1.240,-0.040
1,9:16,1,10,TEN 18,7,0,Travis Henry right end for -3 yards (tackle by Joselio Hanson),0.040,-0.930
1,8:53,2,13,TEN 15,7,0,"Vince Young pass complete short left to Drew Bennett for no gain. Drew Bennett fumbles (forced by Matt McCoy), recovered by Mike Patterson at TEN-12 (tackle by Benji Olson)",-0.930,-4.780
1,8:43,1,10,TEN 12,7,0,Donovan McNabb pass complete right to Brian Westbrook for 9 yards (tackle by Peter Sirmon),4.780,5.790
1,8:20,2,1,TEN 3,7,0,Brian Westbrook middle for -2 yards (tackle by Tony Brown),5.790,4.610
1,7:37,3,3,TEN 5,7,0,"Donovan McNabb pass incomplete short right intended for Brian Westbrook (defended by Peter Sirmon). Penalty on Peter Sirmon: Defensive Holding, 3 yards (no play)",4.610,6.740
1,7:31,1,2,TEN 2,7,0,Correll Buckhalter middle for 1 yard (tackle by Tony Brown),6.740,5.910
1,6:59,2,1,TEN 1,7,0,"Penalty on Scott Young: False Start, 4 yards (no play)",5.910,5.150
1,6:43,2,5,TEN 5,7,0,Donovan McNabb pass complete short right to Brian Westbrook for 4 yards (tackle by Chris Hope and Peter Sirmon),5.150,5.170
,,,,,,,"TEN challenged the ruling, and the original play was overturned.",,
1,6:24,3,1,TEN 1,7,0,Donovan McNabb pass incomplete short left intended for L.J. Smith is intercepted by Stephen Tulloch at TEN--5,5.170,-0.280
1,6:17,1,10,TEN 20,7,0,Vince Young pass incomplete short right intended for Brandon Jones (defended by Lito Sheppard),0.280,-0.270
1,6:13,2,10,TEN 20,7,0,"Travis Henry left end for 8 yards (tackle by Darren Howard). Penalty on Darwin Walker: Defensive Offside, 5 yards (no play)",-0.270,0.410
1,5:53,2,5,TEN 25,7,0,Travis Henry for 8 yards (tackle by Dhani Jones),0.410,1.140
1,5:18,1,10,TEN 33,7,0,Vince Young pass incomplete short left intended for Travis Henry (defended by Dhani Jones),1.140,0.590
1,5:15,2,10,TEN 33,7,0,Travis Henry right end for 4 yards (tackle by Jeremiah Trotter and Matt McCoy),0.590,0.430
1,4:37,3,6,TEN 37,7,0,Vince Young pass incomplete short left intended for Bobby Wade (defended by Brian Dawkins),0.430,-0.910
1,4:32,4,6,TEN 37,7,0,"Craig Hentrich punts 50 yards, returned by Reno Mahe for 16 yards (tackle by LeVar Woods)",-0.910,-0.870
1,4:17,1,10,PHI 29,7,0,Donovan McNabb pass complete deep middle to Donte' Stallworth for 40 yards (tackle by Lamont Thompson),0.870,3.510
1,3:36,1,10,TEN 31,7,0,Donovan McNabb pass complete short middle to Brian Westbrook for 5 yards (tackle by David Thornton),3.510,3.640
1,3:03,2,5,TEN 26,7,0,Brian Westbrook for 2 yards (tackle by Vincent Fuller),3.640,3.200
1,2:43,3,3,TEN 24,7,0,Donovan McNabb pass incomplete short left intended for Greg Lewis (defended by Peter Sirmon),3.200,1.970
1,2:39,4,3,TEN 24,7,3,David Akers 42 yard field goal good,1.970,3.000
1,2:39,,,PHI 30,7,3,"David Akers kicks off 64 yards, returned by Bobby Wade for 18 yards (tackle by Dedrick Roper)",0.000,0.540
1,2:26,1,10,TEN 24,7,3,LenDale White middle for 3 yards (tackle by Mike Patterson),0.540,0.400
1,1:43,2,7,TEN 27,7,3,LenDale White left guard for 1 yard (tackle by Jeremiah Trotter),0.400,-0.160
1,1:00,3,6,TEN 28,7,3,Vince Young pass incomplete short middle intended for Ben Troupe (defended by Shawn Barber),-0.160,-1.500
1,0:55,4,6,TEN 28,7,3,"Craig Hentrich punts 46 yards, returned by Reno Mahe for 13 yards (tackle by LeVar Woods)",-1.500,-1.530
1,0:43,1,10,PHI 39,7,3,Brian Westbrook right tackle for no gain (tackle by Albert Haynesworth),1.530,0.990
1,0:11,2,10,PHI 39,7,3,Donovan McNabb pass incomplete short left intended for L.J. Smith (defended by Keith Bulluck),0.990,0.300
1,0:06,3,10,PHI 39,7,3,Donovan McNabb pass complete short right to Donte' Stallworth for 14 yards (tackle by Lamont Thompson),0.300,2.460
Quarter,Time,Down,ToGo,Location,TEN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 47,7,3,Donovan McNabb pass incomplete short left intended for Donte' Stallworth,2.460,1.910
2,14:57,2,10,TEN 47,7,3,Donovan McNabb pass incomplete deep right intended for Donte' Stallworth (defended by Calvin Lowry),1.910,1.220
2,14:48,3,10,TEN 47,7,3,Jeff Garcia pass complete short left to L.J. Smith for 5 yards (tackle by Vincent Fuller and Cortland Finnegan),1.220,0.460
2,14:13,4,5,TEN 42,7,3,"Dirk Johnson punts 30 yards, fair catch by Adam Jones",0.460,0.350
2,14:05,1,10,TEN 12,7,3,Vince Young pass incomplete deep left intended for Drew Bennett (defended by Lito Sheppard),-0.350,-0.780
2,14:00,2,10,TEN 12,7,3,Vince Young pass incomplete short right intended for Drew Bennett (defended by Lito Sheppard),-0.780,-1.420
2,13:56,3,10,TEN 12,7,3,Vince Young pass complete short right to Travis Henry for 8 yards (tackle by Jeremiah Trotter),-1.420,-2.030
2,13:16,4,2,TEN 20,7,3,"Craig Hentrich punts 54 yards, returned by Reno Mahe for 12 yards (tackle by Stephen Tulloch). Penalty on Matt Schobel: Illegal Block Above the Waist, 10 yards",-2.030,-0.540
2,13:02,1,10,PHI 24,7,3,Jeff Garcia pass complete short left to Brian Westbrook for -4 yards (tackle by Keith Bulluck),0.540,-0.540
2,12:21,2,14,PHI 20,7,3,"Jeff Garcia for no gain. Jeff Garcia fumbles, recovered by Jeff Garcia at PHI-19",-0.540,-1.430
2,11:49,3,15,PHI 19,7,3,Jeff Garcia pass complete short left to Brian Westbrook for 5 yards (tackle by Cortland Finnegan),-1.430,-1.770
2,11:14,4,10,PHI 24,7,3,"Dirk Johnson punts 38 yards, fair catch by Adam Jones",-1.770,-1.470
2,11:06,1,10,TEN 38,7,3,Vince Young pass incomplete deep left intended for Travis Henry,1.470,0.920
2,10:57,2,10,TEN 38,7,3,Vince Young middle for 11 yards (tackle by Brian Dawkins),0.920,2.190
2,10:20,1,10,TEN 49,7,3,Travis Henry left end for -2 yards (tackle by Trent Cole),2.190,1.380
2,9:37,2,12,TEN 47,7,3,Vince Young right tackle for -2 yards (tackle by Darwin Walker),1.380,0.430
2,9:01,3,14,TEN 45,7,3,Vince Young for 20 yards (tackle by Brian Dawkins),0.430,3.250
2,8:43,1,10,PHI 35,7,3,Vince Young pass incomplete short right intended for Bobby Wade (defended by Shawn Barber),3.250,2.700
2,8:37,2,10,PHI 35,7,3,Travis Henry left guard for 3 yards (tackle by Matt McCoy),2.700,2.410
2,7:57,3,7,PHI 32,7,3,Vince Young pass incomplete short left intended for Bo Scaife (defended by Lito Sheppard),2.410,1.240
2,7:52,4,7,PHI 32,7,3,Vince Young pass incomplete short left intended for Drew Bennett (defended by Will Peterson),1.240,-1.070
2,7:47,1,10,PHI 32,7,3,Brian Westbrook right guard for 4 yards (tackle by Robaire Smith),1.070,1.070
2,7:15,2,6,PHI 36,7,3,Brian Westbrook middle for 1 yard (tackle by Chris Hope),1.070,0.500
