#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:25,PHI 17,5,2:09,15,Punt
2,1,8:43,TEN 12,5,2:26,11,Interception
3,1,4:17,PHI 29,5,1:42,47,Field Goal
4,1,0:43,PHI 39,6,1:38,19,Punt
5,2,13:02,PHI 24,3,1:56,0,Punt
6,2,7:47,PHI 32,9,3:44,48,Field Goal
7,3,15:00,PHI 47,6,2:29,12,Punt
8,3,12:20,PHI 40,6,3:25,10,Punt
9,3,8:55,PHI 30,3,1:00,3,Punt
10,3,5:35,PHI 49,12,4:27,22,Downs
11,4,14:53,PHI 20,11,5:42,80,Touchdown
12,4,6:21,PHI 2,10,2:37,47,Downs
13,4,3:15,PHI 10,12,2:55,31,Fumble
14,4,0:20,,0,0:12,0,Fumble
