Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 66 yards, returned by J.J. Arrington for 23 yards (tackle by Ronald Bartell). Penalty on David Macklin: Illegal Block Above the , 10 yards",0.000,-0.380
1,14:54,1,10,ARI 10,0,0,Edgerrin James left end for 4 yards (tackle by La'Roi Glover),-0.380,-0.460
1,14:12,2,6,ARI 14,0,0,Matt Leinart pass complete short left to Larry Fitzgerald for 5 yards (tackle by Fakhir Brown and Pisa Tinoisamoa),-0.460,-0.370
1,13:33,3,1,ARI 19,0,0,Marcel Shipp left tackle for 3 yards (tackle by Will Witherspoon),-0.370,0.410
1,13:04,1,10,ARI 22,0,0,Edgerrin James left tackle for 9 yards (tackle by Brandon Green),0.410,1.080
1,12:24,2,1,ARI 31,0,0,Edgerrin James left guard for 9 yards (tackle by Leonard Little),1.080,1.600
1,11:42,1,10,ARI 40,0,0,Matt Leinart pass complete deep right to Anquan Boldin for 20 yards (tackle by Ronald Bartell),1.600,2.920
1,11:17,1,10,STL 40,0,0,Edgerrin James right guard for 3 yards (tackle by Pisa Tinoisamoa),2.920,2.780
1,10:39,2,7,STL 37,0,0,Matt Leinart pass complete short left to Fred Wakefield for 5 yards (tackle by Fakhir Brown),2.780,2.740
1,9:52,3,2,STL 32,0,0,Matt Leinart pass complete short right to Troy Walters for 5 yards (tackle by Tye Hill),2.740,3.780
1,9:10,1,10,STL 27,0,0,Matt Leinart pass complete deep middle to Larry Fitzgerald for 18 yards (tackle by O.J. Atogwe). Penalty on La'Roi Glover: Defensive Offside (Declined),3.780,5.140
1,8:49,1,9,STL 9,0,0,Edgerrin James middle for 7 yards (tackle by Corey Chavous),5.140,5.720
1,8:13,2,2,STL 2,0,0,Marcel Shipp middle for 1 yard (tackle by Will Witherspoon and La'Roi Glover),5.720,5.170
1,7:42,3,1,STL 1,6,0,"Marcel Shipp middle for 1 yard, touchdown",5.170,7.000
1,,,,STL 2,7,0,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 30,7,0,"Neil Rackers kicks off 73 yards, returned by Willie Ponder for 30 yards (tackle by Aaron Francisco)",0.000,0.740
1,7:32,1,10,STL 27,7,0,Marc Bulger pass complete short left to Torry Holt for 13 yards (tackle by David Macklin),0.740,1.600
1,7:14,1,10,STL 40,7,0,Steven Jackson right tackle for 6 yards (tackle by Orlando Huff and Antonio Smith),1.600,1.860
1,6:41,2,4,STL 46,7,0,Steven Jackson right tackle for 3 yards (tackle by Gabe Watson),1.860,1.550
1,6:05,3,1,STL 49,7,0,Steven Jackson left guard for 3 yards (tackle by Gabe Watson),1.550,2.390
1,5:35,1,10,ARI 48,7,0,Steven Jackson middle for 9 yards (tackle by Aaron Francisco),2.390,3.060
1,4:54,2,1,ARI 39,7,0,Marc Bulger sacked by Chike Okeafor for -6 yards,3.060,1.550
1,4:18,3,7,ARI 45,7,0,Marc Bulger pass complete short right to Torry Holt for 16 yards (tackle by Gerald Hayes),1.550,3.640
1,3:42,1,10,ARI 29,7,0,Marc Bulger pass complete short left to Joe Klopfenstein for 7 yards (tackle by David Macklin),3.640,4.050
1,2:59,2,3,ARI 22,7,0,Steven Jackson right tackle for 5 yards (tackle by Gerald Hayes and Chike Okeafor),4.050,4.440
1,2:19,1,10,ARI 17,7,0,Stephen Davis right guard for 4 yards (tackle by Adrian Wilson),4.440,4.500
1,1:48,2,6,ARI 13,7,0,Marc Bulger pass incomplete short right intended for Stephen Davis,4.500,3.680
1,1:41,3,6,ARI 13,7,0,Steven Jackson right tackle for 4 yards (tackle by Darnell Dockett),3.680,2.950
1,1:07,4,2,ARI 9,7,3,Jeff Wilkins 27 yard field goal good,2.950,3.000
1,,,,STL 30,7,3,"Jeff Wilkins kicks off 70 yards, touchback",0.000,0.280
1,1:02,1,10,ARI 20,7,3,Edgerrin James right guard for 6 yards (tackle by Corey Chavous),0.280,0.540
1,0:28,2,4,ARI 26,7,3,Edgerrin James right tackle for -1 yards (tackle by Tye Hill),0.540,-0.300
Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,ARI 25,7,3,Matt Leinart pass incomplete short middle intended for Anquan Boldin,-0.300,-1.700
2,14:57,4,5,ARI 25,7,3,"Scott Player punts 58 yards, returned by Shaun McDonald for 7 yards (tackle by Aaron Francisco)",-1.700,-0.540
2,14:45,1,10,STL 24,7,3,"Penalty on Alex Barron: False Start, 5 yards (no play)",0.540,0.130
2,14:45,1,15,STL 19,7,3,Marc Bulger pass incomplete deep left intended for Torry Holt,0.130,-0.740
