Unnamed: 0,ARI,STL
First Downs,24,26
Rush-Yds-TDs,37-137-3,23-107-0
Cmp-Att-Yd-TD-INT,15-24-186-1-0,27-45-314-2-3
Sacked-Yards,1-7,4-27
Net Pass Yards,179,287
Total Yards,316,394
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,11-107,10-126
Third Down Conv.,7-13,5-13
Fourth Down Conv.,0-1,1-2
Time of Possession,31:41,28:19
