Quarter,Time,Tm,Detail,MIN,GNB
1.0,12:50,Packers,Jamaal Williams 15 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,3:18,Packers,Geronimo Allison 12 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,14:16,Packers,Aaron Jones 2 yard rush (Mason Crosby kick),0,21
,14:00,Vikings,Dalvin Cook 75 yard rush (Dan Bailey kick),7,21
,0:51,Vikings,Dan Bailey 31 yard field goal,10,21
3.0,9:12,Vikings,Stefon Diggs 45 yard pass from Kirk Cousins (Dan Bailey kick failed),16,21
