Unnamed: 0,MIN,GNB
First Downs,15,20
Rush-Yds-TDs,27-198-1,33-144-1
Cmp-Att-Yd-TD-INT,14-32-230-1-2,22-34-209-2-0
Sacked-Yards,1-7,2-18
Net Pass Yards,223,191
Total Yards,421,335
Fumbles-Lost,5-2,2-2
Turnovers,4,2
Penalties-Yards,8-100,6-35
Third Down Conv.,4-13,5-15
Fourth Down Conv.,0-0,0-1
Time of Possession,25:54,34:06
