Quarter,Time,Down,ToGo,Location,NWE,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,KAN 25,0,0,Clyde Edwards-Helaire up the middle for 6 yards (tackle by Byron Cowart and Chase Winovich),0.610,0.870
1,14:25,2,4,KAN 31,0,0,Patrick Mahomes pass complete short right to Sammy Watkins for 8 yards (tackle by Jonathan Jones),0.870,1.530
1,13:46,1,10,KAN 39,0,0,Patrick Mahomes pass incomplete deep right intended for Sammy Watkins,1.530,0.990
1,13:40,2,10,KAN 39,0,0,Clyde Edwards-Helaire right guard for 5 yards (tackle by Adam Butler and Chase Winovich),0.990,0.960
1,13:00,3,5,KAN 44,0,0,Patrick Mahomes pass complete deep right to Tyreek Hill for 22 yards (tackle by Jonathan Jones),0.960,3.310
1,12:18,1,10,NWE 34,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 17 yards (tackle by J.C. Jackson),3.310,4.440
1,11:37,1,10,NWE 17,0,0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 11 yards (tackle by Adrian Phillips),4.440,5.830
1,11:04,1,6,NWE 6,0,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,5.830,4.950
1,10:58,2,6,NWE 6,0,0,Clyde Edwards-Helaire up the middle for 1 yard (tackle by Lawrence Guy),4.950,4.260
1,10:16,3,5,NWE 5,0,0,Patrick Mahomes pass incomplete short left intended for Sammy Watkins,4.260,3.010
1,10:11,4,5,NWE 5,0,3,Harrison Butker 23 yard field goal good,3.010,3.000
1,10:08,,,KAN 35,0,3,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,10:08,1,10,NWE 25,0,3,Damien Harris right guard for 2 yards (tackle by Mike Pennel and Anthony Hitchens),0.610,0.330
1,9:33,2,8,NWE 27,0,3,Brian Hoyer pass incomplete deep right intended for Ryan Izzo,0.330,-0.360
1,9:28,3,8,NWE 27,0,3,Brian Hoyer pass complete short left to Damiere Byrd for 7 yards (tackle by Rashad Fenton),-0.360,-1.110
1,8:51,4,1,NWE 34,0,3,"Jake Bailey punts 51 yards, fair catch by Mecole Hardman at KC-15",-1.110,0.220
1,8:42,1,10,KAN 15,0,3,Clyde Edwards-Helaire left end for 3 yards (tackle by Ja'Whaun Bentley and Anfernee Jennings),-0.220,-0.280
1,8:07,2,7,KAN 18,0,3,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 2 yards (tackle by John Simon),-0.280,-0.760
1,7:24,3,5,KAN 20,0,3,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,-0.760,-2.030
1,7:18,4,5,KAN 20,0,3,"Tommy Townsend punts 65 yards, returned by Gunner Olszewski for 12 yards (tackle by Damien Wilson)",-2.030,-0.740
1,7:07,1,10,NWE 27,0,3,Brian Hoyer pass complete short right to Damiere Byrd for 6 yards (tackle by Charvarius Ward),0.740,1.010
1,6:31,2,4,NWE 33,0,3,Isaiah Zuber left end for 8 yards (tackle by Daniel Sorensen),1.010,1.660
1,6:03,1,10,NWE 41,0,3,Damien Harris left guard for 5 yards (tackle by Frank Clark),1.660,1.800
1,5:31,2,5,NWE 46,0,3,Damien Harris right tackle for 2 yards (tackle by Willie Gay and Mike Pennel),1.800,1.360
1,4:51,3,3,NWE 48,0,3,Brian Hoyer pass incomplete short right intended for Damiere Byrd,1.360,-0.190
1,4:45,4,3,NWE 48,0,3,"Jake Bailey punts 48 yards, muffed catch by Tyreek Hill",-0.190,0.380
1,4:38,1,10,KAN 4,0,3,"Penalty on Mecole Hardman: False Start, 2 yards (no play)",-0.380,-0.460
1,4:38,1,12,KAN 2,0,3,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 14 yards (tackle by Jason McCourty and Ja'Whaun Bentley),-0.460,-0.140
1,3:58,1,10,KAN 16,0,3,Patrick Mahomes pass complete short left to Sammy Watkins for 21 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),-0.140,1.400
1,3:16,1,10,KAN 37,0,3,Patrick Mahomes pass complete deep left to Travis Kelce for 24 yards (tackle by Kyle Dugger),1.400,2.980
1,2:36,1,10,NWE 39,0,3,Clyde Edwards-Helaire left guard for 13 yards (tackle by Devin McCourty and Jason McCourty),2.980,3.840
1,2:00,1,10,NWE 26,0,3,"Penalty on Eric Fisher: False Start, 5 yards (no play)",3.840,3.510
1,1:43,1,15,NWE 31,0,3,Patrick Mahomes left end for 1 yard (tackle by Ja'Whaun Bentley),3.510,2.760
1,1:11,2,14,NWE 30,0,3,Patrick Mahomes pass incomplete short left intended for Darrel Williams (defended by Ja'Whaun Bentley),2.760,2.080
1,1:02,3,14,NWE 30,0,3,Patrick Mahomes left end for 9 yards (tackle by Devin McCourty),2.080,2.110
1,0:18,4,5,NWE 21,0,6,Harrison Butker 39 yard field goal good,2.110,3.000
1,0:13,,,KAN 35,0,6,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,0:13,1,10,NWE 25,0,6,Brian Hoyer pass deep right intended for Ryan Izzo is intercepted by Juan Thornhill at NE-43 and returned for 20 yards,0.610,-4.040
1,0:03,1,10,NWE 23,0,6,Patrick Mahomes pass incomplete short middle intended for Sammy Watkins,4.040,3.500
Quarter,Time,Down,ToGo,Location,NWE,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,NWE 23,0,6,"Patrick Mahomes pass complete short left to Sammy Watkins for 8 yards (tackle by Stephon Gilmore). Sammy Watkins fumbles (forced by Stephon Gilmore), recovered by J.C. Jackson at NE-15",3.500,0.220
2,14:51,1,10,NWE 15,0,6,Damien Harris left end for 2 yards (tackle by Frank Clark),-0.220,-0.440
2,14:11,2,8,NWE 17,0,6,Brian Hoyer pass complete short right to James White for 13 yards (tackle by Tershawn Wharton),-0.440,0.940
2,13:31,1,10,NWE 30,0,6,Brian Hoyer pass incomplete short left intended for Damiere Byrd (defended by Rashad Fenton),0.940,0.390
2,13:26,2,10,NWE 30,0,6,Rex Burkhead right guard for 3 yards (tackle by Mike Pennel and Charvarius Ward),0.390,0.100
2,12:46,3,7,NWE 33,0,6,Brian Hoyer pass complete short middle to Gunner Olszewski for 11 yards (tackle by Juan Thornhill),0.100,1.860
2,12:28,1,10,NWE 44,0,6,Damien Harris left end for 4 yards (tackle by Damien Wilson),1.860,1.860
2,11:58,2,6,NWE 48,0,6,Damien Harris right end for 10 yards (tackle by Tyrann Mathieu),1.860,2.790
2,11:40,1,10,KAN 42,0,6,Brian Hoyer pass complete short left to James White for no gain (tackle by Frank Clark),2.790,2.240
2,10:58,2,10,KAN 42,0,6,Rex Burkhead up the middle for 18 yards (tackle by Tyrann Mathieu),2.240,3.970
2,10:21,1,10,KAN 24,0,6,Rex Burkhead left end for -1 yards (tackle by Rashad Fenton),3.970,3.300
2,9:46,2,11,KAN 25,0,6,Brian Hoyer pass incomplete short right,3.300,2.610
2,9:40,3,11,KAN 25,0,6,Brian Hoyer pass incomplete short left intended for N'Keal Harry (defended by Rashad Fenton),2.610,1.800
2,9:36,4,11,KAN 25,3,6,Nick Folk 43 yard field goal good,1.800,3.000
2,9:31,,,NWE 35,3,6,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,9:31,1,10,KAN 25,3,6,Patrick Mahomes pass complete short middle to Mecole Hardman for 5 yards (tackle by Terrence Brooks),0.610,0.740
2,9:03,2,5,KAN 30,3,6,Clyde Edwards-Helaire left guard for 4 yards (tackle by Shilique Calhoun and Deatrich Wise),0.740,0.560
2,8:29,3,1,KAN 34,3,6,Darrel Williams up the middle for 2 yards (tackle by Jonathan Jones and Byron Cowart),0.560,1.330
2,7:50,1,10,KAN 36,3,6,Clyde Edwards-Helaire right guard for 1 yard (tackle by Ja'Whaun Bentley),1.330,0.930
2,7:06,2,9,KAN 37,3,6,Patrick Mahomes pass complete short right to Deon Yelder for 5 yards (tackle by Jonathan Jones),0.930,0.890
2,6:22,3,4,KAN 42,3,6,Patrick Mahomes sacked by Chase Winovich for -7 yards,0.890,-1.040
2,5:44,4,11,KAN 35,3,6,"Tommy Townsend punts 65 yards, touchback.. Penalty on Antonio Hamilton: Unsportsmanlike Conduct, 15 yards",-1.040,-1.270
2,5:36,1,10,NWE 35,3,6,Rex Burkhead left guard for 2 yards (tackle by Mike Pennel),1.270,0.990
2,5:00,2,8,NWE 37,3,6,Brian Hoyer pass complete short right to James White for 8 yards (tackle by Charvarius Ward),0.990,1.930
2,4:27,1,10,NWE 45,3,6,Damien Harris left end for 1 yard (tackle by Willie Gay),1.930,1.520
2,3:46,2,9,NWE 46,3,6,Brian Hoyer pass complete short middle to N'Keal Harry for 8 yards (tackle by Charvarius Ward),1.520,1.880
2,3:13,3,1,KAN 46,3,6,"Penalty on Isaiah Wynn: False Start, 5 yards (no play)",1.880,1.220
2,2:46,3,6,NWE 49,3,6,Brian Hoyer pass complete short left to N'Keal Harry for 9 yards (tackle by Rashad Fenton),1.220,2.790
2,2:08,1,10,KAN 42,3,6,Damien Harris up the middle for 2 yards (tackle by Derrick Nnadi),2.790,2.510
2,2:00,2,8,KAN 40,3,6,Damien Harris right tackle for 3 yards (tackle by Derrick Nnadi),2.510,2.210
2,1:24,3,5,KAN 37,3,6,James White right guard for 6 yards (tackle by Ben Niemann),2.210,3.510
2,0:51,1,10,KAN 31,3,6,Damien Harris left end for 2 yards (tackle by Juan Thornhill),3.510,3.240
2,0:45,,,,,,Timeout #1 by New England Patriots,,
2,0:45,2,8,KAN 29,3,6,Brian Hoyer pass complete short left to James White for 15 yards (tackle by Daniel Sorensen),3.240,4.650
2,0:39,,,,,,Timeout #2 by New England Patriots,,
2,0:39,1,10,KAN 14,3,6,Damien Harris right guard for 5 yards (tackle by Mike Pennel),4.650,4.900
2,0:33,,,,,,Timeout #3 by New England Patriots,,
2,0:33,2,5,KAN 9,3,6,Brian Hoyer pass complete short left to James White for -4 yards (tackle by Daniel Sorensen),4.900,3.260
2,0:10,3,9,KAN 13,3,6,Brian Hoyer sacked by Frank Clark for -13 yards,3.260,1.740
Quarter,Time,Down,ToGo,Location,NWE,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,3,6,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NWE 25,3,6,Damien Harris right end for 6 yards (tackle by Mike Pennel),0.610,0.870
3,14:25,2,4,NWE 31,3,6,Brian Hoyer pass incomplete short left intended for N'Keal Harry (defended by Rashad Fenton),0.870,0.170
3,14:20,3,4,NWE 31,3,6,Brian Hoyer pass incomplete deep left intended for Damiere Byrd,0.170,-1.310
3,14:14,4,4,NWE 31,3,6,Jake Bailey punts 58 yards downed by Justin Bethel,-1.310,0.370
3,14:02,1,10,KAN 11,3,6,Clyde Edwards-Helaire up the middle for 5 yards (tackle by Lawrence Guy),-0.370,-0.300
3,13:24,2,5,KAN 16,3,6,Patrick Mahomes pass complete short left to Mecole Hardman for 10 yards (tackle by Stephon Gilmore),-0.300,0.670
3,12:40,1,10,KAN 26,3,6,Patrick Mahomes pass complete short right to Sammy Watkins for 6 yards (tackle by J.C. Jackson),0.670,0.940
3,12:01,2,4,KAN 32,3,6,Clyde Edwards-Helaire up the middle for -1 yards (tackle by Lawrence Guy and Adrian Phillips),0.940,0.100
3,11:22,3,5,KAN 31,3,6,Patrick Mahomes pass incomplete short left intended for Travis Kelce,0.100,-1.310
3,11:17,4,5,KAN 31,3,6,"Tommy Townsend punts 53 yards, fair catch by Gunner Olszewski at NE-16",-1.310,0.140
3,11:09,1,10,NWE 16,3,6,Brian Hoyer pass complete short middle to Rex Burkhead for 5 yards (tackle by Anthony Hitchens),-0.140,0.150
3,10:33,2,5,NWE 21,3,6,Rex Burkhead up the middle for -1 yards (tackle by Daniel Sorensen and Tershawn Wharton),0.150,-0.820
3,9:54,3,6,NWE 20,3,6,Brian Hoyer left end for 8 yards (tackle by Alex Okafor),-0.820,0.810
3,9:09,1,10,NWE 28,3,6,Brian Hoyer pass incomplete short left intended for Damiere Byrd,0.810,0.260
3,9:04,2,10,NWE 28,3,6,Rex Burkhead right guard for 4 yards (tackle by Tanoh Kpassagnon),0.260,0.100
3,8:24,3,6,NWE 32,3,6,Brian Hoyer pass complete short right to Julian Edelman for 8 yards (tackle by Daniel Sorensen),0.100,1.600
3,7:53,1,10,NWE 40,3,6,Rex Burkhead left end for 4 yards (tackle by Derrick Nnadi and Mike Pennel),1.600,1.590
3,7:16,2,6,NWE 44,3,6,Brian Hoyer pass complete short left to Julian Edelman for 19 yards (tackle by Juan Thornhill),1.590,3.120
3,6:37,1,10,KAN 37,3,6,Brian Hoyer pass complete short right to James White for no gain (tackle by Juan Thornhill),3.120,2.570
3,5:59,2,10,KAN 37,3,6,Brian Hoyer pass complete deep left to Damiere Byrd for 25 yards (tackle by Tyrann Mathieu),2.570,4.780
3,5:24,1,10,KAN 12,3,6,Rex Burkhead right end for 7 yards (tackle by Tyrann Mathieu),4.780,5.410
3,4:59,2,3,KAN 5,3,6,Rex Burkhead left guard for no gain (tackle by Mike Pennel),5.410,4.610
3,4:17,3,3,KAN 5,3,6,"Penalty on Jakob Johnson: False Start, 5 yards (no play)",4.610,3.480
3,4:01,3,8,KAN 10,3,6,"Brian Hoyer sacked by Taco Charlton for -5 yards. Brian Hoyer fumbles (forced by Taco Charlton), recovered by Ben Niemann at KC-15",3.480,0.220
3,3:52,1,10,KAN 15,3,6,Patrick Mahomes pass complete deep right to Tyreek Hill for 19 yards (tackle by Jason McCourty),-0.220,1.200
3,3:15,1,10,KAN 34,3,6,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,1.200,0.660
3,3:08,2,10,KAN 34,3,6,Patrick Mahomes pass complete deep right to Travis Kelce for 45 yards (tackle by Jason McCourty),0.660,4.170
3,2:22,1,10,NWE 21,3,6,Clyde Edwards-Helaire left end for 11 yards (tackle by Kyle Dugger),4.170,4.910
3,1:35,1,10,NWE 10,3,6,Patrick Mahomes left end for 4 yards (tackle by John Simon),4.910,4.950
3,0:56,2,6,NWE 6,3,6,Patrick Mahomes pass incomplete short left intended for Travis Kelce,4.950,4.040
3,0:49,3,6,NWE 6,3,12,"Patrick Mahomes pass complete short middle to Tyreek Hill for 6 yards, touchdown",4.040,7.000
3,0:42,,,NWE 15,3,13,Harrison Butker kicks extra point good,0.000,0.000
3,0:42,,,KAN 35,3,13,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,0:42,1,10,NWE 25,3,13,Damien Harris left guard for 9 yards (tackle by Anthony Hitchens),0.610,1.280
