Quarter,Time,Tm,Detail,NWE,KAN
1.0,10:08,Chiefs,Harrison Butker 23 yard field goal,0,3
,0:13,Chiefs,Harrison Butker 39 yard field goal,0,6
2.0,9:31,Patriots,Nick Folk 43 yard field goal,3,6
3.0,0:42,Chiefs,Tyreek Hill 6 yard pass from Patrick Mahomes (Harrison Butker kick),3,13
4.0,13:45,Patriots,N'Keal Harry 4 yard pass from Jarrett Stidham (Nick Folk kick),10,13
,8:57,Chiefs,Mecole Hardman 6 yard pass from Patrick Mahomes (Harrison Butker kick failed),10,19
,8:48,Chiefs,Tyrann Mathieu 25 yard interception return (Harrison Butker kick),10,26
