Quarter,Time,Tm,Detail,TAM,NOR
1.0,11:41,Saints,Alvin Kamara 5 yard rush (Wil Lutz kick),0,7
,9:41,Buccaneers,DeSean Jackson 58 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),7,7
,4:25,Saints,Wil Lutz 36 yard field goal,7,10
,1:58,Buccaneers,Ryan Fitzpatrick 3 yard rush (Chandler Catanzaro kick),14,10
2.0,14:54,Saints,Ted Ginn Jr. 28 yard pass from Drew Brees (Wil Lutz kick),14,17
,11:12,Buccaneers,Chandler Catanzaro 33 yard field goal,17,17
,4:42,Buccaneers,Chris Godwin 9 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),24,17
,4:27,Buccaneers,Justin Evans 34 yard fumble return (Chandler Catanzaro kick),31,17
,0:55,Saints,Michael Thomas 6 yard pass from Drew Brees (Wil Lutz kick),31,24
3.0,11:24,Buccaneers,Chandler Catanzaro 36 yard field goal,34,24
,2:58,Buccaneers,Mike Evans 50 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),41,24
4.0,12:19,Buccaneers,DeSean Jackson 36 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),48,24
,8:54,Saints,Alvin Kamara 1 yard rush (Alvin Kamara run),48,32
,3:31,Saints,Alvin Kamara 7 yard pass from Drew Brees (Ted Ginn Jr. pass from Drew Brees),48,40
