Unnamed: 0,TAM,NOR
First Downs,26,26
Rush-Yds-TDs,34-112-1,13-43-2
Cmp-Att-Yd-TD-INT,21-28-417-4-0,37-45-439-3-0
Sacked-Yards,0-0,1-7
Net Pass Yards,417,432
Total Yards,529,475
Fumbles-Lost,1-0,2-2
Turnovers,0,2
Penalties-Yards,7-70,8-77
Third Down Conv.,8-13,4-9
Fourth Down Conv.,0-0,1-1
Time of Possession,32:09,27:51
