Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Nick Rose kicks off 49 yards, muffed catch by James Develin",0.000,-0.060
1,14:59,1,10,NWE 17,0,0,Tom Brady pass complete short right to James White for 8 yards (tackle by Brandon Mebane),-0.060,0.620
1,14:16,2,2,NWE 25,0,0,Sony Michel right guard for -1 yards (tackle by Adrian Phillips and Kyle Emanuel),0.620,-0.370
1,13:40,3,3,NWE 24,0,0,Tom Brady pass complete short right to Julian Edelman for 6 yards (tackle by Desmond King),-0.370,0.940
1,13:11,1,10,NWE 30,0,0,Sony Michel up the middle for -1 yards (tackle by Derwin James),0.940,0.260
1,12:37,2,11,NWE 29,0,0,Tom Brady pass complete short right to Sony Michel for 9 yards (tackle by Darius Philon),0.260,0.760
1,11:58,3,2,NWE 38,0,0,Tom Brady pass complete short left to James White for 10 yards (tackle by Jahleel Addae and Rayshawn Jenkins),0.760,2.130
1,11:20,1,10,NWE 48,0,0,Tom Brady pass complete short middle to James White for 17 yards (tackle by Rayshawn Jenkins and Adrian Phillips),2.130,3.250
1,11:02,1,10,LAC 35,0,0,Sony Michel right end for 11 yards (tackle by Jahleel Addae and Derwin James),3.250,3.970
1,10:28,1,10,LAC 24,0,0,Sony Michel left end for 5 yards (tackle by Justin Jones),3.970,4.120
1,9:46,2,5,LAC 19,0,0,Tom Brady pass incomplete short right intended for Julian Edelman,4.120,3.410
1,9:43,3,5,LAC 19,0,0,Tom Brady pass complete short middle to James White for 6 yards (tackle by Jahleel Addae and Desmond King),3.410,4.710
1,9:08,1,10,LAC 13,0,0,Sony Michel right end for no gain (tackle by Hayes Pullard),4.710,4.050
1,8:34,2,10,LAC 13,0,0,Tom Brady pass complete short right to James White for 4 yards (tackle by Jahleel Addae),4.050,3.880
1,7:56,3,6,LAC 9,0,0,"Tom Brady pass incomplete short right intended for Rob Gronkowski. Penalty on Casey Hayward: Defensive Pass Interference, 8 yards (no play)",3.880,6.970
1,7:52,1,1,LAC 1,0,6,"Sony Michel up the middle for 1 yard, touchdown",6.970,7.000
1,7:49,,,LAC 15,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,7:49,,,NWE 35,0,7,"Stephen Gostkowski kicks off 49 yards, returned by Justin Jackson for no gain (tackle by Nate Ebner)",0.000,1.140
1,7:44,1,10,LAC 33,0,7,Melvin Gordon right end for no gain (tackle by Kyle Van Noy),1.140,0.590
1,6:59,2,10,LAC 33,0,7,Philip Rivers pass incomplete deep middle intended for Mike Williams,0.590,-0.100
1,6:52,3,10,LAC 33,0,7,"Penalty on LAC: Delay of Game, 5 yards (no play)",-0.100,-0.760
1,6:52,3,15,LAC 28,0,7,Philip Rivers pass complete deep right to Mike Williams for 18 yards (tackle by Jason McCourty),-0.760,1.990
1,6:30,1,10,LAC 46,0,7,Philip Rivers pass complete short middle to Austin Ekeler for 3 yards (tackle by Stephon Gilmore),1.990,1.860
1,5:47,2,7,LAC 49,0,7,Melvin Gordon left tackle for 8 yards (tackle by Elandon Roberts and Devin McCourty),1.860,2.720
1,5:03,1,10,NWE 43,6,7,"Philip Rivers pass complete deep right to Keenan Allen for 43 yards, touchdown",2.720,7.000
1,4:56,,,NWE 15,7,7,Michael Badgley kicks extra point good,0.000,0.000
1,4:56,,,LAC 35,7,7,"Nick Rose kicks off 55 yards, returned by Cordarrelle Patterson for no gain (tackle by Desmond King)",0.000,1.140
1,4:51,1,10,NWE 33,7,7,Tom Brady pass incomplete short left intended for James White,1.140,0.590
1,4:49,2,10,NWE 33,7,7,Sony Michel up the middle for 12 yards (tackle by Rayshawn Jenkins and Kyle Emanuel),0.590,1.930
1,4:15,1,10,NWE 45,7,7,Tom Brady pass complete short right to James White for -3 yards (tackle by Jahleel Addae),1.930,0.980
1,3:34,2,13,NWE 42,7,7,Tom Brady pass complete short right to Julian Edelman for 14 yards (tackle by Derwin James),0.980,2.650
1,2:55,1,10,LAC 44,7,7,Sony Michel up the middle for 2 yards (tackle by Kyle Emanuel and Isaac Rochell),2.650,2.380
1,2:19,2,8,LAC 42,7,7,Tom Brady pass complete deep middle to Julian Edelman for 28 yards (tackle by Rayshawn Jenkins),2.380,4.650
1,1:42,1,10,LAC 14,7,13,"Sony Michel right tackle for 14 yards, touchdown",4.650,7.000
1,1:35,,,LAC 15,7,14,Stephen Gostkowski kicks extra point good,0.000,0.000
1,1:35,,,NWE 35,7,14,"Stephen Gostkowski kicks off 60 yards, returned by Desmond King for no gain (tackle by Patrick Chung and Rex Burkhead)",0.000,0.610
1,1:27,1,10,LAC 25,7,14,Melvin Gordon left guard for 1 yard (tackle by Elandon Roberts),0.610,0.200
1,0:47,2,9,LAC 26,7,14,Philip Rivers pass incomplete deep middle intended for Mike Williams,0.200,-0.490
1,0:42,3,9,LAC 26,7,14,Philip Rivers pass incomplete short right,-0.490,-1.630
1,0:34,4,9,LAC 26,7,14,"Donnie Jones punts 38 yards, returned by Julian Edelman for 6 yards (tackle by Jeff Richards)",-1.630,-1.730
1,0:24,1,10,NWE 42,7,14,Tom Brady pass incomplete short left intended for Julian Edelman (defended by Melvin Ingram),1.730,1.190
1,0:22,2,10,NWE 42,7,14,Tom Brady pass complete short left to Julian Edelman for 11 yards (tackle by Desmond King),1.190,2.460
Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 47,7,14,Tom Brady pass complete short left to Julian Edelman for 17 yards (tackle by Jahleel Addae),2.460,3.580
2,14:25,1,10,LAC 30,7,14,Tom Brady pass incomplete short right intended for Chris Hogan,3.580,3.030
2,14:23,2,10,LAC 30,7,14,Tom Brady pass complete short middle to Phillip Dorsett for 11 yards (tackle by Rayshawn Jenkins),3.030,4.310
2,13:49,1,10,LAC 19,7,14,Sony Michel up the middle for 4 yards (tackle by Damion Square),4.310,4.350
2,13:15,2,6,LAC 15,7,14,Tom Brady pass complete short left to Chris Hogan for 5 yards (tackle by Casey Hayward),4.350,4.690
2,12:45,3,1,LAC 10,7,14,"Penalty on Chris Hogan: False Start, 5 yards (no play)",4.690,3.580
2,12:22,3,6,LAC 15,7,20,"Tom Brady pass complete short left to Phillip Dorsett for 15 yards, touchdown",3.580,7.000
2,12:17,,,LAC 15,7,21,Stephen Gostkowski kicks extra point good,0.000,0.000
2,12:17,,,NWE 35,7,21,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,12:17,1,10,LAC 25,7,21,Philip Rivers pass complete short left to Melvin Gordon for 11 yards (tackle by Patrick Chung),0.610,1.330
2,11:47,1,10,LAC 36,7,21,Melvin Gordon right guard for 8 yards (tackle by Devin McCourty and Patrick Chung),1.330,1.870
2,11:01,2,2,LAC 44,7,21,Philip Rivers pass incomplete deep left intended for Mike Williams,1.870,1.160
2,10:55,3,2,LAC 44,7,21,"Penalty on LAC: Delay of Game, 5 yards (no play)",1.160,0.500
2,10:55,3,7,LAC 39,7,21,Philip Rivers pass complete short middle to Mike Williams for 10 yards (tackle by J.C. Jackson),0.500,2.190
2,10:14,1,10,LAC 49,7,21,Melvin Gordon up the middle for no gain (tackle by Kyle Van Noy),2.190,1.650
2,9:31,2,10,LAC 49,7,21,Philip Rivers pass incomplete short right,1.650,0.960
2,9:25,3,10,LAC 49,7,21,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Devin McCourty),0.960,-0.130
2,9:19,4,10,LAC 49,7,21,"Donnie Jones punts 38 yards, fair catch by Julian Edelman at NE-13",-0.130,0.320
2,9:12,1,10,NWE 13,7,21,Tom Brady pass complete short left to James White for 25 yards (tackle by Rayshawn Jenkins),-0.320,1.470
2,8:40,1,10,NWE 38,7,21,Sony Michel up the middle for 6 yards (tackle by Brandon Mebane),1.470,1.730
2,8:04,2,4,NWE 44,7,21,Sony Michel left guard for 2 yards (tackle by Justin Jones and Adrian Phillips),1.730,1.290
2,7:29,3,2,NWE 46,7,21,"Tom Brady pass incomplete deep right intended for Chris Hogan (defended by Michael Davis). Penalty on Desmond King: Defensive Holding, 5 yards (no play)",1.290,2.320
2,7:20,1,10,LAC 49,7,21,Sony Michel right tackle for 40 yards (tackle by Derwin James),2.320,5.140
2,6:40,1,9,LAC 9,7,21,Rex Burkhead up the middle for 3 yards (tackle by Damion Square and Adrian Phillips),5.140,4.950
2,6:09,2,6,LAC 6,7,27,"Rex Burkhead left tackle for 6 yards, touchdown",4.950,7.000
2,6:04,,,LAC 15,7,28,Stephen Gostkowski kicks extra point good,0.000,0.000
2,6:04,,,NWE 35,7,28,"Stephen Gostkowski kicks off 61 yards, returned by Desmond King for no gain (tackle by Keion Crossen)",0.000,0.340
2,5:59,1,10,LAC 21,7,28,Philip Rivers pass complete deep left to Tyrell Williams for 26 yards (tackle by Jason McCourty),0.340,2.060
2,5:22,1,10,LAC 47,7,28,Melvin Gordon up the middle for no gain (tackle by John Simon and Lawrence Guy),2.060,1.520
2,4:40,2,10,LAC 47,7,28,Philip Rivers pass incomplete deep right intended for Tyrell Williams (defended by Stephon Gilmore),1.520,0.830
2,4:33,,,,,,Timeout #1 by Los Angeles Chargers,,
2,4:33,3,10,LAC 47,7,28,Philip Rivers pass incomplete short right intended for Melvin Gordon,0.830,-0.260
2,4:28,4,10,LAC 47,7,28,"Donnie Jones punts 41 yards, returned by Julian Edelman for 9 yards (tackle by Uchenna Nwosu and Nick Dzubnar)",-0.260,-0.340
2,4:16,1,10,NWE 21,7,28,Tom Brady pass incomplete deep right intended for Phillip Dorsett,0.340,-0.200
