Unnamed: 0,MIA,SFO
First Downs,15,16
Rush-Yds-TDs,26-49-0,24-77-1
Cmp-Att-Yd-TD-INT,17-33-159-2-1,23-38-181-0-0
Sacked-Yards,1-8,8-34
Net Pass Yards,151,147
Total Yards,200,224
Fumbles-Lost,1-1,5-3
Turnovers,2,3
Penalties-Yards,7-50,6-58
Third Down Conv.,3-14,5-16
Fourth Down Conv.,0-0,0-0
Time of Possession,27:28,32:32
