Quarter,Time,Tm,Detail,MIA,SFO
1.0,8:54,Dolphins,Chris Chambers 25 yard pass from A.J. Feeley (Olindo Mare kick),7,0
2.0,3:01,49ers,Todd Peterson 19 yard field goal,7,3
4.0,14:45,49ers,Derek Smith 46 yard defensive fumble return (Todd Peterson kick),7,10
,10:35,Dolphins,Randy McMichael 15 yard pass from A.J. Feeley (Olindo Mare kick),14,10
,7:17,Dolphins,Olindo Mare 50 yard field goal,17,10
,3:10,Dolphins,Derrick Pope 1 yard defensive fumble return (Olindo Mare kick),24,10
,0:37,49ers,Maurice Hicks 1 yard rush (Todd Peterson kick),24,17
