Unnamed: 0,NWE,SEA
First Downs,29,22
Rush-Yds-TDs,25-67-2,30-154-0
Cmp-Att-Yd-TD-INT,30-44-397-1-1,21-28-288-5-1
Sacked-Yards,1-0,2-13
Net Pass Yards,397,275
Total Yards,464,429
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,2-12,9-68
Third Down Conv.,7-12,3-7
Fourth Down Conv.,1-1,0-0
Time of Possession,28:41,31:19
