Quarter,Time,Tm,Detail,NWE,SEA
1.0,13:39,Patriots,Devin McCourty 43 yard interception return (Nick Folk kick),7,0
,5:27,Seahawks,Tyler Lockett 4 yard pass from Russell Wilson (Jason Myers kick),7,7
2.0,13:59,Patriots,Cam Newton 1 yard rush (Nick Folk kick),14,7
,6:57,Seahawks,D.K. Metcalf 54 yard pass from Russell Wilson (Jason Myers kick),14,14
3.0,10:12,Patriots,Nick Folk 25 yard field goal,17,14
,7:04,Seahawks,David Moore 38 yard pass from Russell Wilson (Jason Myers kick),17,21
,2:00,Seahawks,Freddie Swain 21 yard pass from Russell Wilson (Jason Myers kick),17,28
4.0,14:14,Patriots,Jakob Johnson 1 yard pass from Cam Newton (run failed),23,28
,4:32,Seahawks,Chris Carson 18 yard pass from Russell Wilson (Jason Myers kick),23,35
,2:16,Patriots,Cam Newton 1 yard rush (Nick Folk kick),30,35
