Unnamed: 0,MIN,CAR
First Downs,14,20
Rush-Yds-TDs,23-135-0,31-83-0
Cmp-Att-Yd-TD-INT,12-19-139-2-2,25-32-204-0-0
Sacked-Yards,2-9,5-55
Net Pass Yards,130,149
Total Yards,265,232
Fumbles-Lost,1-0,2-1
Turnovers,2,1
Penalties-Yards,7-37,6-80
Third Down Conv.,1-8,5-14
Fourth Down Conv.,1-2,2-3
Time of Possession,21:31,38:29
