Quarter,Time,Down,ToGo,Location,MIN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,"Kirk Cousins pass complete short left to Justin Jefferson for no gain (tackle by Sam Franklin). Penalty on Ezra Cleveland: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.610,0.280
1,14:55,1,15,MIN 20,0,0,Alexander Mattison up the middle for 12 yards (tackle by Vonn Bell),0.280,1.010
1,14:02,2,3,MIN 32,0,0,Kirk Cousins pass complete short left to Justin Jefferson for 6 yards (tackle by C.J. Henderson),1.010,1.470
1,13:51,1,10,MIN 38,0,0,Alexander Mattison up the middle for 6 yards (tackle by Donte Jackson),1.470,1.730
1,12:55,2,4,MIN 44,0,0,Alexander Mattison left tackle for 7 yards (tackle by Sam Franklin),1.730,2.320
1,12:15,1,10,CAR 49,0,0,"Kirk Cousins pass incomplete deep middle intended for Jordan Addison. Penalty on Sam Franklin: Defensive Pass Interference, 45 yards (accepted) (no play)",2.320,6.280
1,12:09,1,4,CAR 4,0,0,Alexander Mattison right end for 2 yards (tackle by Yetur Gross-Matos),6.280,5.720
1,11:29,2,2,CAR 2,0,0,"Kirk Cousins pass complete short left to Justin Jefferson for no gain. Penalty on Josh Oliver: Offensive Holding, 10 yards (accepted) (no play)",5.720,3.860
1,11:24,2,12,CAR 12,0,0,Alexander Mattison right guard for 7 yards (tackle by Kamu Grugier-Hill and Vonn Bell),3.860,4.260
1,10:42,3,5,CAR 5,0,6,"Kirk Cousins pass short left intended for K.J. Osborn is intercepted by Sam Franklin at CAR-1 and returned for 99 yards, touchdown",4.260,-7.000
1,10:27,,,MIN 15,0,7,Eddy Pineiro kicks extra point good,0.000,0.000
1,10:27,,,CAR 35,0,7,"Eddy Pineiro kicks off 64 yards, returned by Ty Chandler for 22 yards (tackle by DJ Johnson and Laviska Shenault)",0.000,0.480
1,10:21,1,10,MIN 23,0,7,Alexander Mattison left end for 2 yards (tackle by C.J. Henderson),0.480,0.200
1,9:40,2,8,MIN 25,0,7,Alexander Mattison right guard for 2 yards (tackle by DeShawn Williams),0.200,-0.230
1,9:14,3,6,MIN 27,0,7,Kirk Cousins pass complete short left to Alexander Mattison for 3 yards (tackle by Troy Hill and Justin Houston),-0.230,-1.370
1,8:33,4,3,MIN 30,0,7,"Ryan Wright punts 52 yards, returned by Ihmir Smith-Marsette for 13 yards (tackle by Troy Dye)",-1.370,-1.000
1,8:22,1,10,CAR 31,0,7,Bryce Young pass complete short left to Adam Thielen for 6 yards (tackle by Josh Metellus),1.000,1.270
1,7:50,2,4,CAR 37,0,7,Laviska Shenault right guard for 7 yards (tackle by Jordan Hicks and Jaquelin Roy),1.270,1.860
1,7:03,1,10,CAR 44,0,7,Chuba Hubbard right tackle for 7 yards (tackle by Jordan Hicks),1.860,2.260
1,6:27,2,3,MIN 49,0,7,Miles Sanders up the middle for 1 yard (tackle by Jordan Hicks and Harrison Smith),2.260,1.690
1,5:59,3,2,MIN 48,0,7,Miles Sanders left guard for 1 yard (tackle by D.J. Wonnum),1.690,0.130
1,5:16,4,1,MIN 47,0,7,Chuba Hubbard up the middle for 6 yards (tackle by Jordan Hicks and Harrison Smith),0.130,2.850
1,4:34,1,10,MIN 41,0,7,Bryce Young pass complete short left to Adam Thielen for 22 yards (tackle by Camryn Bynum),2.850,4.310
1,3:51,1,10,MIN 19,0,7,Adam Thielen left end for 6 yards (tackle by Camryn Bynum),4.310,4.720
1,3:03,2,4,MIN 13,0,7,Chuba Hubbard left tackle for 5 yards (tackle by Danielle Hunter),4.720,5.370
1,2:24,1,8,MIN 8,0,7,Chuba Hubbard up the middle for 2 yards (tackle by Ivan Pace and Harrison Phillips),5.370,4.950
1,1:41,2,6,MIN 6,0,7,Bryce Young pass incomplete short left intended for Ian Thomas (defended by Josh Metellus),4.950,4.040
1,1:36,3,6,MIN 6,0,7,"Bryce Young pass incomplete short middle. Penalty on Byron Murphy: Defensive Holding, 3 yards (accepted) (no play)",4.040,6.510
1,1:30,1,3,MIN 3,0,7,Miles Sanders left tackle for no gain (tackle by Dean Lowry and Marcus Davenport),6.510,5.530
1,0:53,2,3,MIN 3,0,7,Miles Sanders right tackle for no gain (tackle by Jonathan Bullard),5.530,4.720
1,0:15,3,3,MIN 3,0,7,"Penalty on Terrace Marshall: False Start, 5 yards (accepted) (no play)",4.720,3.580
Quarter,Time,Down,ToGo,Location,MIN,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,MIN 8,0,7,Bryce Young pass incomplete short left intended for Terrace Marshall (defended by D.J. Wonnum),3.580,2.950
2,14:59,4,8,MIN 8,0,10,Eddy Pineiro 26 yard field goal good,2.950,3.000
2,14:56,,,CAR 35,0,10,"Eddy Pineiro kicks off 62 yards, returned by Ty Chandler for 33 yards (tackle by Jammie Robinson)",0.000,1.330
2,14:48,1,10,MIN 36,0,10,Kirk Cousins pass complete short left to Cam Akers for 2 yards (tackle by Jeremy Chinn),1.330,1.060
2,14:21,2,8,MIN 38,0,10,Cam Akers right guard for 6 yards (tackle by Derrick Brown and Kamu Grugier-Hill),1.060,1.160
2,13:39,3,2,MIN 44,0,10,Kirk Cousins pass incomplete short left intended for Justin Jefferson,1.160,-0.460
2,13:33,4,2,MIN 44,0,10,Kirk Cousins pass complete short right to Justin Jefferson for 5 yards (tackle by C.J. Henderson),-0.460,2.190
2,13:02,1,10,MIN 49,0,10,Cam Akers left tackle for 8 yards (tackle by Frankie Luvu and Derrick Brown),2.190,2.730
2,12:30,2,2,CAR 43,0,10,Kirk Cousins pass complete short right to T.J. Hockenson for 8 yards (tackle by Jeremy Chinn),2.730,3.250
2,12:02,1,10,CAR 35,0,10,Kirk Cousins pass complete deep middle to Justin Jefferson for 22 yards (tackle by D'Shawn Jamison and Vonn Bell),3.250,4.710
2,11:14,1,10,CAR 13,0,10,Cam Akers up the middle for 9 yards (tackle by Sam Franklin and Vonn Bell),4.710,5.730
2,10:31,2,1,CAR 4,0,10,"Kirk Cousins aborted snap, recovered by Kirk Cousins at CAR-4 Kirk Cousins for no gain (tackle by Jeremy Chinn)",5.730,5.010
2,9:49,,,,,,Timeout #1 by Minnesota Vikings,,
2,9:49,3,1,CAR 4,6,10,"Kirk Cousins pass complete short right to Justin Jefferson for 4 yards, touchdown",5.010,7.000
2,9:43,,,CAR 15,7,10,Greg Joseph kicks extra point good,0.000,0.000
2,9:43,,,MIN 35,7,10,"Greg Joseph kicks off 65 yards, touchback.. Penalty on Brian Asamoah: Illegal Formation, 5 yards (accepted)",0.000,0.940
2,9:43,1,10,CAR 30,7,10,Bryce Young pass incomplete short middle intended for Adam Thielen,0.940,0.390
2,9:39,2,10,CAR 30,7,10,Bryce Young pass complete short right to Terrace Marshall for 6 yards (tackle by Camryn Bynum),0.390,0.500
2,8:55,,,,,,Timeout #1 by Carolina Panthers,,
2,8:55,3,4,CAR 36,7,10,Bryce Young pass complete short middle to Hayden Hurst for 7 yards (tackle by Camryn Bynum and Josh Metellus),0.500,1.800
2,8:19,1,10,CAR 43,7,10,Miles Sanders left guard for 3 yards (tackle by Jordan Hicks and Jonathan Bullard),1.800,1.660
