Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 68 yards, returned by Kene Nwangwu for 25 yards (tackle by Eric Stokes)",0.000,0.410
1,14:54,1,10,MIN 22,0,0,Kirk Cousins pass complete short left to Johnny Mundt for 12 yards (tackle by Jaire Alexander),0.410,1.200
1,14:16,1,10,MIN 34,0,0,Dalvin Cook up the middle for no gain (tackle by Rashan Gary and De'Vondre Campbell),1.200,0.660
1,13:37,2,10,MIN 34,0,0,Dalvin Cook up the middle for 5 yards (tackle by Jarran Reed),0.660,0.630
1,12:55,3,5,MIN 39,0,0,Kirk Cousins pass complete short middle to Justin Jefferson for 20 yards (tackle by De'Vondre Campbell),0.630,2.850
1,12:18,1,10,GNB 41,0,0,Kirk Cousins pass complete short middle to Johnny Mundt for 5 yards (tackle by Kingsley Enagbare),2.850,2.980
1,11:35,2,5,GNB 36,0,0,Kirk Cousins pass complete short right to Justin Jefferson for 22 yards (tackle by Adrian Amos),2.980,4.650
1,10:54,1,10,GNB 14,0,0,Kirk Cousins pass incomplete short right intended for Irv Smith,4.650,4.000
1,10:50,2,10,GNB 14,0,0,Kirk Cousins pass complete short right to Ben Ellefson for 2 yards (tackle by Quay Walker),4.000,3.430
1,10:05,3,8,GNB 12,0,0,Kirk Cousins pass complete short right to Adam Thielen for 7 yards (tackle by Quay Walker),3.430,3.030
1,9:21,4,1,GNB 5,0,6,"Kirk Cousins pass complete short right to Justin Jefferson for 5 yards, touchdown",3.030,7.000
1,9:17,,,GNB 15,0,7,Greg Joseph kicks extra point good,0.000,0.000
1,9:17,,,MIN 35,0,7,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,9:17,1,10,GNB 25,0,7,Aaron Rodgers pass incomplete deep right intended for Christian Watson,0.610,0.060
1,9:10,2,10,GNB 25,0,7,Aaron Jones right end for 10 yards (tackle by Jordan Hicks),0.060,1.270
1,8:25,1,10,GNB 35,0,7,Aaron Rodgers pass incomplete short middle intended for Robert Tonyan (defended by Danielle Hunter),1.270,0.720
1,8:20,2,10,GNB 35,0,7,Aaron Jones right tackle for 3 yards (tackle by Dalvin Tomlinson and Harrison Phillips),0.720,0.430
1,7:40,3,7,GNB 38,0,7,Aaron Rodgers pass incomplete deep left intended for Romeo Doubs,0.430,-0.850
1,7:35,4,7,GNB 38,0,7,"Pat O'Donnell punts 47 yards, fair catch by Jalen Reagor at MIN-15",-0.850,0.220
1,7:28,1,10,MIN 15,0,7,Dalvin Cook right tackle for no gain (tackle by Preston Smith),-0.220,-0.710
1,7:02,2,10,MIN 15,0,7,Kirk Cousins pass complete short left to K.J. Osborn for 3 yards (tackle by Quay Walker),-0.710,-1.000
1,6:18,3,7,MIN 18,0,7,Kirk Cousins sacked by Rashan Gary for -8 yards,-1.000,-2.490
1,5:38,4,15,MIN 10,0,7,"Ryan Wright punts 56 yards, returned by Amari Rodgers for 12 yards (tackle by Josh Metellus)",-2.490,-1.990
1,5:27,1,10,GNB 46,0,7,AJ Dillon right guard for 4 yards (tackle by Jordan Hicks and Jonathan Bullard),1.990,1.990
1,4:51,2,6,MIN 50,0,7,AJ Dillon right guard for 2 yards (tackle by Patrick Peterson and Jordan Hicks),1.990,1.550
1,4:03,,,,,,Timeout #1 by Green Bay Packers,,
1,4:03,3,4,MIN 48,0,7,Aaron Rodgers pass complete short left to Randall Cobb for 6 yards (tackle by Jordan Hicks),1.550,2.790
1,3:26,1,10,MIN 42,0,7,AJ Dillon right end for 2 yards (tackle by Patrick Peterson),2.790,2.510
1,2:49,2,8,MIN 40,0,7,Aaron Rodgers pass incomplete short left intended for AJ Dillon,2.510,1.820
1,2:44,3,8,MIN 40,0,7,Aaron Rodgers sacked by Za'Darius Smith for -8 yards,1.820,0.070
1,1:59,4,16,MIN 48,0,7,Pat O'Donnell punts 33 yards out of bounds,0.070,0.220
1,1:52,1,10,MIN 15,0,7,Alexander Mattison left end for 6 yards (tackle by Quay Walker),-0.220,0.210
1,1:15,2,4,MIN 21,0,7,Kirk Cousins pass complete short right to C.J. Ham for 6 yards (tackle by Eric Stokes and Devonte Wyatt),0.210,0.740
1,0:30,1,10,MIN 27,0,7,Alexander Mattison up the middle for 3 yards (tackle by Rashan Gary and Dean Lowry),0.740,0.600
Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,MIN 30,0,7,Alexander Mattison left tackle for 5 yards (tackle by Kenny Clark),0.600,0.560
2,14:22,3,2,MIN 35,0,7,Kirk Cousins pass incomplete short left intended for Adam Thielen,0.560,-1.040
2,14:17,4,2,MIN 35,0,7,"Ryan Wright punts 45 yards, fair catch by Amari Rodgers at GB-20",-1.040,-0.280
2,14:11,1,10,GNB 20,0,7,Aaron Rodgers pass complete short right to Robert Tonyan for 23 yards (tackle by Camryn Bynum),0.280,1.800
2,13:39,1,10,GNB 43,0,7,AJ Dillon left tackle for 3 yards (tackle by Danielle Hunter and Jordan Hicks),1.800,1.660
2,12:57,2,7,GNB 46,0,7,Aaron Rodgers pass complete short right to Aaron Jones for 22 yards (tackle by Camryn Bynum),1.660,3.450
2,12:06,1,10,MIN 32,0,7,Aaron Rodgers pass complete short right to AJ Dillon for 12 yards (tackle by Jordan Hicks),3.450,4.240
2,11:22,1,10,MIN 20,0,7,Christian Watson left end for 7 yards (tackle by Camryn Bynum),4.240,4.830
2,10:47,2,3,MIN 13,0,7,Aaron Rodgers pass complete short right to Sammy Watkins for 4 yards (tackle by Jordan Hicks),4.830,5.140
2,10:10,1,9,MIN 9,0,7,Aaron Jones left guard for 2 yards (tackle by Harrison Phillips and James Lynch),5.140,4.760
2,9:24,,,,,,Timeout #2 by Green Bay Packers,,
2,9:24,2,7,MIN 7,0,7,Aaron Rodgers pass complete short left to Aaron Jones for no gain (tackle by Harrison Smith),4.760,3.810
2,8:40,3,7,MIN 7,0,7,Aaron Rodgers pass complete to AJ Dillon for 6 yards (tackle by Cameron Dantzler and Harrison Smith),3.810,3.550
2,8:03,,,,,,Timeout #1 by Minnesota Vikings,,
2,8:03,4,1,MIN 1,0,7,AJ Dillon up the middle for no gain (tackle by Za'Darius Smith and Harrison Phillips),3.550,0.380
2,7:58,1,10,MIN 1,0,7,Dalvin Cook right guard for 4 yards (tackle by De'Vondre Campbell and Quay Walker),-0.380,-0.490
2,7:14,2,6,MIN 5,0,7,Dalvin Cook left guard for 6 yards (tackle by Rasul Douglas),-0.490,-0.370
2,6:31,1,10,MIN 11,0,7,Dalvin Cook right tackle for 12 yards (tackle by Quay Walker),-0.370,0.480
2,5:55,1,10,MIN 23,0,7,Kirk Cousins pass complete to Justin Jefferson for 64 yards (tackle by Darnell Savage),0.480,4.710
2,5:28,1,10,GNB 13,0,7,Kirk Cousins pass complete short left to K.J. Osborn for 7 yards (tackle by Quay Walker),4.710,5.340
2,4:47,2,3,GNB 6,0,7,Dalvin Cook right tackle for 1 yard (tackle by De'Vondre Campbell and Tedarrell Slaton),5.340,4.780
2,4:03,3,2,GNB 5,0,7,Kirk Cousins pass incomplete short right intended for Justin Jefferson (defended by Adrian Amos),4.780,3.030
2,3:57,4,2,GNB 5,0,7,"Penalty on MIN: Delay of Game, 5 yards (accepted) (no play)",3.030,2.760
2,3:57,4,7,GNB 10,0,10,Greg Joseph 28 yard field goal good,2.760,3.000
2,3:54,,,MIN 35,0,10,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,3:54,1,10,GNB 25,0,10,Aaron Rodgers pass incomplete short right,0.610,0.060
2,3:48,2,10,GNB 25,0,10,Aaron Rodgers pass complete short right to Tyler Davis for 3 yards (tackle by Jordan Hicks),0.060,-0.230
2,3:15,3,7,GNB 28,0,10,Aaron Rodgers pass incomplete short left intended for Aaron Jones,-0.230,-1.500
2,3:10,4,7,GNB 28,0,10,"Pat O'Donnell punts 53 yards, returned by Jalen Reagor for 7 yards (tackle by Tipa Galeai)",-1.500,-0.670
2,2:58,1,10,MIN 26,0,10,Dalvin Cook left guard for 9 yards (tackle by De'Vondre Campbell),0.670,1.350
2,2:37,2,1,MIN 35,0,10,Kirk Cousins pass incomplete short right,1.350,0.630
2,2:33,3,1,MIN 35,0,10,Dalvin Cook left tackle for 2 yards (tackle by Dean Lowry and Rashan Gary),0.630,1.400
2,2:00,1,10,MIN 37,0,10,Dalvin Cook left tackle for 9 yards (tackle by Jaire Alexander),1.400,2.070
2,1:22,2,1,MIN 46,0,10,Kirk Cousins pass complete short right to Dalvin Cook for 7 yards (tackle by Adrian Amos),2.070,2.460
2,0:50,1,10,GNB 47,0,10,Kirk Cousins pass complete short left to Justin Jefferson for 11 yards (tackle by Rasul Douglas),2.460,3.180
2,0:45,1,10,GNB 36,0,16,"Kirk Cousins pass complete deep right to Justin Jefferson for 36 yards, touchdown",3.180,7.000
2,0:35,,,GNB 15,0,17,Greg Joseph kicks extra point good,0.000,0.000
2,0:35,,,MIN 35,0,17,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
2,0:35,1,10,GNB 25,0,17,Aaron Rodgers pass intended for Randall Cobb is intercepted by Harrison Smith at MIN-30 and returned for no gain (tackle by Randall Cobb),0.610,-0.940
2,0:27,1,10,MIN 30,0,17,Kirk Cousins pass complete short left to Dalvin Cook for 1 yard (tackle by De'Vondre Campbell),0.940,0.530
2,0:21,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:21,2,9,MIN 31,0,17,"Kirk Cousins pass complete short middle to Irv Smith for 3 yards (tackle by De'Vondre Campbell) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Kirk Cousins pass incomplete short middle intended for Irv Smith",0.530,-0.160
2,0:18,3,9,MIN 31,0,17,Kirk Cousins pass incomplete short left intended for Dalvin Cook,-0.160,-1.310
2,0:13,4,9,MIN 31,0,17,"Ryan Wright punts 53 yards, fair catch by Amari Rodgers at GB-16. Penalty on Krys Barnes: Running Into the Kicker, 5 yards (declined)",-1.310,0.140
2,0:06,1,10,GNB 16,0,17,Aaron Rodgers kneels for -1 yards,-0.140,-0.780
Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,0,17,"Greg Joseph kicks off 61 yards, returned by Amari Rodgers for 14 yards (tackle by Josh Metellus and Myles Dorn)",0.000,0.040
3,14:56,1,10,GNB 18,0,17,Aaron Rodgers pass complete short right to Romeo Doubs for 2 yards (tackle by Patrick Peterson),0.040,-0.130
