Quarter,Time,Tm,Detail,TAM,NOR
1.0,1:39,Saints,Boo Williams 31 yard pass from Aaron Brooks (John Carney kick),0,7
2.0,1:25,Buccaneers,Ken Dilger 14 yard pass from Brad Johnson (Martin Gramatica kick),7,7
,0:12,Buccaneers,Warren Sapp 1 yard pass from Brad Johnson (Martin Gramatica kick),14,7
