Unnamed: 0,TAM,NOR
First Downs,16,16
Rush-Yds-TDs,29-107-0,24-90-0
Cmp-Att-Yd-TD-INT,20-34-213-2-1,20-30-238-1-0
Sacked-Yards,1-6,7-36
Net Pass Yards,207,202
Total Yards,314,292
Fumbles-Lost,0-0,4-3
Turnovers,1,3
Penalties-Yards,9-85,4-44
Third Down Conv.,7-15,5-14
Fourth Down Conv.,0-1,0-1
Time of Possession,30:49,29:11
