Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 56 yards, returned by Ray-Ray McCloud for 15 yards (tackle by Ashton Dulin and E.J. Speed)",0.000,0.540
1,14:55,1,10,PIT 24,0,0,Ben Roethlisberger pass incomplete short middle intended for Diontae Johnson,0.540,0.000
1,14:52,2,10,PIT 24,0,0,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster (defended by Rock Ya-Sin),0.000,-0.690
1,14:47,3,10,PIT 24,0,0,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson,-0.690,-1.770
1,14:44,4,10,PIT 24,0,0,"Jordan Berry punts 61 yards, returned by Nyheim Hines for 15 yards (tackle by Benny Snell)",-1.770,-0.940
1,14:33,1,10,IND 30,0,0,Jonathan Taylor left tackle for 6 yards (tackle by Avery Williamson and Tyson Alualu),0.940,1.200
1,13:54,2,4,IND 36,0,0,Philip Rivers sacked by T.J. Watt for -4 yards,1.200,-0.030
1,13:06,3,8,IND 32,0,0,Philip Rivers pass complete short middle to Michael Pittman for 26 yards (tackle by Terrell Edmunds),-0.030,2.790
1,12:32,1,10,PIT 42,0,0,Jonathan Taylor left end for 11 yards (tackle by Minkah Fitzpatrick and Alex Highsmith),2.790,3.510
1,11:52,1,10,PIT 31,0,0,Philip Rivers pass complete short left to Zach Pascal for 16 yards (tackle by Minkah Fitzpatrick),3.510,4.580
1,11:23,1,10,PIT 15,0,0,Nyheim Hines left guard for 11 yards (tackle by Minkah Fitzpatrick and Avery Williamson),4.580,6.280
1,10:35,1,4,PIT 4,0,0,Jonathan Taylor right tackle for -2 yards (tackle by Tyson Alualu),6.280,4.950
1,9:55,2,6,PIT 6,0,0,Philip Rivers pass incomplete short right intended for Jack Doyle,4.950,4.040
1,9:51,3,6,PIT 6,6,0,"Jonathan Taylor up the middle for 6 yards, touchdown",4.040,7.000
1,9:48,,,PIT 15,7,0,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,9:48,,,IND 35,7,0,"Rigoberto Sanchez kicks off 59 yards, returned by Ray-Ray McCloud for 20 yards (tackle by E.J. Speed)",0.000,0.670
1,9:43,1,10,PIT 26,7,0,Benny Snell right tackle for -1 yards (tackle by Grover Stewart),0.670,-0.010
1,9:02,2,11,PIT 25,7,0,Ben Roethlisberger pass complete short right to Diontae Johnson for 7 yards (tackle by Rock Ya-Sin),-0.010,0.230
1,8:26,3,4,PIT 32,7,0,Ben Roethlisberger pass complete short middle to Diontae Johnson for 9 yards (tackle by Darius Leonard),0.230,1.660
1,7:46,1,10,PIT 41,7,0,Ben Roethlisberger pass complete short right to Diontae Johnson for 7 yards,1.660,2.070
1,7:17,2,3,PIT 48,7,0,James Conner left tackle for 2 yards (tackle by Julian Blackmon and Darius Leonard),2.070,1.620
1,6:27,3,1,PIT 50,7,0,Benny Snell left guard for -2 yards (tackle by Justin Houston and Denico Autry),1.620,-0.190
1,5:42,4,3,PIT 48,7,0,"Jordan Berry punts 43 yards out of bounds. Penalty on Zaire Franklin: Offensive Holding, 4 yards",-0.190,0.380
1,5:33,1,10,IND 5,7,0,Jonathan Taylor right guard for 2 yards (tackle by Cameron Heyward),-0.380,-0.630
1,4:51,2,8,IND 7,7,0,Jonathan Taylor up the middle for 7 yards (tackle by Minkah Fitzpatrick),-0.630,-0.370
1,4:03,3,1,IND 14,7,0,Jacoby Brissett up the middle for 1 yard (tackle by Carlos Davis),-0.370,-0.220
1,3:22,1,10,IND 15,7,0,Philip Rivers pass complete short middle to Trey Burton for 5 yards (tackle by Vince Williams),-0.220,0.080
1,2:40,2,5,IND 20,7,0,Nyheim Hines left guard for 2 yards (tackle by Mike Hilton),0.080,-0.510
1,1:56,3,3,IND 22,7,0,Philip Rivers pass incomplete deep right intended for T.Y. Hilton (defended by Mike Hilton),-0.510,-1.900
1,1:50,4,3,IND 22,7,0,Rigoberto Sanchez punts 37 yards out of bounds,-1.900,-1.660
1,1:44,1,10,PIT 41,7,0,Diontae Johnson right end for 2 yards (tackle by T.J. Carrie),1.660,1.390
1,1:12,2,8,PIT 43,7,0,Ben Roethlisberger sacked by Khari Willis for -9 yards,1.390,-0.490
1,0:32,3,17,PIT 34,7,0,Ben Roethlisberger pass complete short middle to Eric Ebron for 11 yards (tackle by Bobby Okereke),-0.490,-0.390
Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,PIT 45,7,0,"Jordan Berry punts 49 yards, returned by Nyheim Hines for 26 yards (tackle by Kameron Canaday and James Pierre)",-0.390,-1.070
2,14:46,1,10,IND 32,7,0,"Philip Rivers sacked by T.J. Watt for -9 yards. Philip Rivers fumbles (forced by T.J. Watt), recovered by Mike Hilton at IND-17 and returned for 14 yards (tackle by Jonathan Taylor)",1.070,-6.510
2,14:37,1,3,IND 3,7,0,Benny Snell right guard for 1 yard (tackle by Denico Autry),6.510,5.720
2,13:55,2,2,IND 2,7,0,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson (defended by Xavier Rhodes),5.720,4.950
2,13:51,3,2,IND 2,7,0,"Penalty on Kemoko Turay: Defensive Offside, 1 yard (no play)",4.950,5.170
2,13:50,3,1,IND 1,7,6,"James Conner up the middle for 1 yard, touchdown",5.170,7.000
2,13:47,,,IND 15,7,7,Matthew Wright kicks extra point good,0.000,0.000
2,13:47,,,PIT 35,7,7,"Matthew Wright kicks off 57 yards, returned by Ashton Dulin for 17 yards (tackle by Henry Mondeaux). Penalty on E.J. Speed: Offensive Holding, 10 yards",0.000,-0.220
2,13:43,1,10,IND 15,7,7,Jonathan Taylor right tackle for 1 yard (tackle by Alex Highsmith),-0.220,-0.580
2,12:56,2,9,IND 16,7,7,Philip Rivers pass complete deep right to Jack Doyle for 17 yards (tackle by Avery Williamson),-0.580,1.140
2,12:15,1,10,IND 33,7,7,Philip Rivers pass complete deep left to T.Y. Hilton for 25 yards (tackle by Steven Nelson),1.140,2.790
2,11:39,1,10,PIT 42,7,7,Philip Rivers pass incomplete deep middle intended for Michael Pittman,2.790,2.240
2,11:33,2,10,PIT 42,7,7,Philip Rivers pass complete short left to T.Y. Hilton for 14 yards (tackle by Avery Williamson),2.240,3.710
2,10:57,1,10,PIT 28,7,7,Jonathan Taylor up the middle for 4 yards (tackle by Alex Highsmith and Cameron Heyward),3.710,3.710
2,10:13,2,6,PIT 24,7,7,Jonathan Taylor up the middle for 3 yards (tackle by Vince Williams and Terrell Edmunds),3.710,3.400
2,9:31,3,3,PIT 21,7,7,Jonathan Taylor left tackle for 5 yards (tackle by Minkah Fitzpatrick),3.400,4.510
2,8:50,1,10,PIT 16,7,7,Philip Rivers pass complete short left to Jack Doyle for 8 yards (tackle by Alex Highsmith),4.510,5.350
2,8:06,2,2,PIT 8,7,7,Nyheim Hines left guard for 3 yards (tackle by Vince Williams and Cameron Heyward),5.350,6.060
2,7:20,1,5,PIT 5,7,7,Jonathan Taylor up the middle for 4 yards (tackle by Avery Williamson and Alex Highsmith),6.060,5.910
2,6:40,2,1,PIT 1,13,7,"Jonathan Taylor right guard for 1 yard, touchdown",5.910,7.000
2,6:35,,,PIT 15,14,7,Rodrigo Blankenship kicks extra point good,0.000,0.000
2,6:35,,,IND 35,14,7,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,6:35,1,10,PIT 25,14,7,Ben Roethlisberger pass incomplete short left intended for Eric Ebron (defended by Kenny Moore),0.610,0.060
2,6:30,2,10,PIT 25,14,7,Benny Snell right guard for 1 yard (tackle by Denico Autry and Anthony Walker),0.060,-0.490
2,5:48,3,9,PIT 26,14,7,Ben Roethlisberger pass complete short middle to Diontae Johnson for -1 yards (tackle by Darius Leonard),-0.490,-1.700
2,5:02,4,10,PIT 25,14,7,"Jordan Berry punts 50 yards, returned by Nyheim Hines for 22 yards (tackle by Alex Highsmith). Penalty on Justin Layne: Illegal Block Above the Waist, 10 yards",-1.700,-2.720
2,4:50,1,10,PIT 43,14,7,Jonathan Taylor up the middle for 1 yard (tackle by Avery Williamson),2.720,2.310
2,4:08,2,9,PIT 42,20,7,"Philip Rivers pass complete deep middle to Zach Pascal for 42 yards, touchdown",2.310,7.000
2,4:02,,,PIT 15,21,7,Rodrigo Blankenship kicks extra point good,0.000,0.000
2,4:02,,,IND 35,21,7,"Rigoberto Sanchez kicks off 65 yards, returned by Ray-Ray McCloud for 19 yards (tackle by George Odum). Penalty on Vance McDonald: Illegal Block Above the Waist (Declined) . Penalty on Jordan Dangerfield: Offensive Holding, 10 yards",0.000,-0.380
2,3:56,1,10,PIT 9,21,7,Ben Roethlisberger pass complete short right to Diontae Johnson for 5 yards (tackle by Darius Leonard),-0.380,-0.390
2,3:27,2,5,PIT 14,21,7,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 5 yards (tackle by Kenny Moore),-0.390,0.150
2,2:59,1,10,PIT 19,21,7,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 8 yards (tackle by Kenny Moore),0.150,0.750
2,2:33,2,2,PIT 27,21,7,Ben Roethlisberger pass complete short middle to James Conner for 10 yards (tackle by Bobby Okereke),0.750,1.400
2,2:04,1,10,PIT 37,21,7,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster (defended by DeForest Buckner),1.400,0.860
2,2:01,2,10,PIT 37,21,7,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster,0.860,0.170
2,1:58,3,10,PIT 37,21,7,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,0.170,-0.910
2,1:54,4,10,PIT 37,21,7,"Jordan Berry punts 44 yards, fair catch by Nyheim Hines at IND-19",-0.910,-0.150
2,1:48,1,10,IND 19,21,7,Nyheim Hines up the middle for 5 yards (tackle by Terrell Edmunds),0.150,0.340
2,1:23,2,5,IND 24,21,7,"Philip Rivers pass complete short left to Nyheim Hines for 68 yards (tackle by Terrell Edmunds). Penalty on Mark Glowinski: Illegal Block Above the Waist, 10 yards (no play)",0.340,-1.110
2,1:10,2,15,IND 14,21,7,"Penalty on IND: Delay of Game, 5 yards (no play)",-1.110,-1.510
2,1:10,2,20,IND 9,21,7,Nyheim Hines up the middle for 2 yards (tackle by Mike Hilton),-1.510,-2.360
2,0:26,3,18,IND 11,21,7,Nyheim Hines right guard for 4 yards (tackle by Stephon Tuitt and Mike Hilton),-2.360,-2.440
2,0:22,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,0:22,4,14,IND 15,21,7,Rigoberto Sanchez punts 42 yards out of bounds,-2.440,-1.800
2,0:14,1,10,PIT 43,21,7,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,1.800,1.250
2,0:09,2,10,PIT 43,21,7,Ben Roethlisberger pass complete deep middle to JuJu Smith-Schuster for 17 yards (tackle by Khari Willis),1.250,2.920
2,0:02,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:02,1,10,IND 40,21,7,"Ben Roethlisberger pass complete deep left to JuJu Smith-Schuster for 20 yards. JuJu Smith-Schuster fumbles, recovered by Diontae Johnson at IND-20 and returned for 4 yards (tackle by Xavier Rhodes and Khari Willis)",2.920,1.600
Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,21,7,"Matthew Wright kicks off 61 yards, returned by Tremon Smith for 21 yards (tackle by Cassius Marsh)",0.000,0.610
3,14:56,1,10,IND 25,21,7,Jonathan Taylor left tackle for 4 yards (tackle by T.J. Watt and Avery Williamson),0.610,0.600
3,14:14,2,6,IND 29,21,7,Philip Rivers pass complete short right to Mo Alie-Cox for 20 yards (tackle by Avery Williamson),0.600,2.190
3,13:35,1,10,IND 49,21,7,Ashton Dulin right end for 8 yards (tackle by Joe Haden),2.190,2.730
3,13:02,2,2,PIT 43,21,7,Jonathan Taylor up the middle for 3 yards (tackle by Alex Highsmith and Carlos Davis),2.730,2.920
3,12:14,1,10,PIT 40,21,7,Philip Rivers pass complete short left to Michael Pittman for 8 yards (tackle by Vince Williams),2.920,3.450
3,11:33,2,2,PIT 32,21,7,Jonathan Taylor left guard for 18 yards (tackle by Steven Nelson and Terrell Edmunds),3.450,4.650
3,10:54,1,10,PIT 14,21,7,Philip Rivers pass incomplete short right intended for Zach Pascal,4.650,4.000
3,10:52,2,10,PIT 14,21,7,Nyheim Hines up the middle for 7 yards (tackle by Avery Williamson and Mike Hilton),4.000,4.500
3,10:17,3,3,PIT 7,21,7,Philip Rivers sacked by Stephon Tuitt for -8 yards,4.500,2.440
3,9:36,4,11,PIT 15,21,7,"Penalty on Tyson Alualu: Encroachment, 5 yards (no play)",2.440,2.790
3,9:25,4,6,PIT 10,24,7,Rodrigo Blankenship 28 yard field goal good,2.790,3.000
3,9:23,,,IND 35,24,7,"Rigoberto Sanchez kicks off 57 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Tavon Wilson). Penalty on Avery Williamson: Offensive Holding, 10 yards",0.000,0.280
3,9:17,1,10,PIT 20,24,7,Ben Roethlisberger pass complete short right to Chase Claypool for 8 yards (tackle by T.J. Carrie),0.280,0.810
3,8:53,2,2,PIT 28,24,7,Benny Snell right tackle for 2 yards (tackle by DeForest Buckner and Darius Leonard),0.810,0.940
3,8:22,1,10,PIT 30,24,7,Ben Roethlisberger pass complete short right to Eric Ebron for 11 yards (tackle by Khari Willis),0.940,1.660
3,7:47,1,10,PIT 41,24,7,Ben Roethlisberger pass complete short right to Chase Claypool for 11 yards (tackle by T.J. Carrie and Khari Willis),1.660,2.390
3,7:09,1,10,IND 48,24,7,Ben Roethlisberger pass complete deep right to Chase Claypool for 34 yards (tackle by T.J. Carrie),2.390,4.650
3,6:30,1,10,IND 14,24,7,Ben Roethlisberger pass complete short middle to Eric Ebron for 10 yards (tackle by Anthony Walker),4.650,6.280
3,5:54,1,4,IND 4,24,7,"Ben Roethlisberger pass incomplete short left intended for James Washington. Penalty on Xavier Rhodes: Defensive Pass Interference, 3 yards (no play)",6.280,6.970
3,5:50,1,1,IND 1,24,7,Benny Snell right guard for -1 yards (tackle by DeForest Buckner and T.J. Carrie),6.970,5.720
3,5:11,2,2,IND 2,24,7,Ben Roethlisberger pass incomplete short middle intended for Eric Ebron (defended by Khari Willis),5.720,4.950
3,5:07,3,2,IND 2,24,7,Ben Roethlisberger pass incomplete short left intended for Chase Claypool,4.950,3.250
3,5:04,4,2,IND 2,24,7,Ben Roethlisberger pass incomplete short right intended for James Washington (defended by T.J. Carrie),3.250,0.380
3,5:01,1,10,IND 2,24,7,Jonathan Taylor up the middle for -1 yards (tackle by Avery Williamson),-0.380,-0.850
3,4:15,,,,,,Timeout #1 by Indianapolis Colts,,
3,4:15,2,11,IND 1,24,7,Philip Rivers pass incomplete deep left intended for T.Y. Hilton,-0.850,-1.540
3,4:11,3,11,IND 1,24,7,Philip Rivers pass complete short left to Zach Pascal for 6 yards (tackle by Minkah Fitzpatrick and Alex Highsmith),-1.540,-2.490
3,3:34,4,5,IND 7,24,7,"Rigoberto Sanchez punts 40 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Jordan Wilkins and Khari Willis)",-2.490,-2.980
3,3:23,1,10,IND 39,24,13,"Ben Roethlisberger pass complete deep right to Diontae Johnson for 39 yards, touchdown",2.980,7.000
3,3:16,,,IND 15,24,14,Matthew Wright kicks extra point good,0.000,0.000
3,3:16,,,PIT 35,24,14,"Matthew Wright kicks off 65 yards, returned by Ashton Dulin for 28 yards (tackle by Cassius Marsh)",0.000,0.810
3,3:08,1,10,IND 28,24,14,Philip Rivers sacked by Avery Williamson for -8 yards,0.810,-0.820
3,2:26,2,18,IND 20,24,14,Philip Rivers pass incomplete short left intended for Zach Pascal,-0.820,-1.480
3,2:22,3,18,IND 20,24,14,Philip Rivers pass complete short right to Trey Burton for 11 yards (tackle by Cameron Sutton),-1.480,-1.310
3,1:51,4,7,IND 31,24,14,"Rigoberto Sanchez punts 51 yards, returned by Diontae Johnson for 8 yards (tackle by Ashton Dulin)",-1.310,-0.670
3,1:43,1,10,PIT 26,24,14,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster,0.670,0.130
3,1:39,2,10,PIT 26,24,14,"Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson. Penalty on Kenny Moore: Defensive Pass Interference, 24 yards (no play)",0.130,2.260
3,1:35,1,10,PIT 50,24,14,Ben Roethlisberger pass complete short left to James Washington for 13 yards (tackle by Xavier Rhodes),2.260,3.120
3,1:03,1,10,IND 37,24,14,Ben Roethlisberger pass complete short middle to James Conner for 10 yards (tackle by Kenny Moore and Darius Leonard),3.120,3.780
3,0:33,1,10,IND 27,24,14,Ben Roethlisberger pass complete short right to Chase Claypool for 1 yard (tackle by Anthony Walker and T.J. Carrie),3.780,3.370
Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,IND 26,24,14,"Ben Roethlisberger pass incomplete deep middle intended for Diontae Johnson. Penalty on T.J. Carrie: Defensive Pass Interference, 21 yards (no play)",3.370,6.060
4,14:57,1,5,IND 5,24,20,"Ben Roethlisberger pass complete short left to Eric Ebron for 5 yards, touchdown",6.060,7.000
4,14:52,,,IND 15,24,21,Matthew Wright kicks extra point good,0.000,0.000
4,14:52,,,PIT 35,24,21,"Matthew Wright kicks off 56 yards, returned by Tremon Smith for 18 yards (tackle by Justin Layne and Derek Watt)",0.000,0.740
4,14:48,1,10,IND 27,24,21,Philip Rivers pass incomplete short middle intended for Michael Pittman (defended by Stephon Tuitt),0.740,0.200
4,14:43,2,10,IND 27,24,21,Philip Rivers pass complete short right to Jack Doyle for 18 yards (tackle by Vince Williams and Joe Haden),0.200,1.930
4,14:12,1,10,IND 45,24,21,Jonathan Taylor left guard for 1 yard (tackle by Tyson Alualu and Cameron Heyward),1.930,1.520
4,13:35,2,9,IND 46,24,21,Philip Rivers pass complete short left to Michael Pittman for 4 yards (tackle by Steven Nelson),1.520,1.360
4,12:57,3,5,IND 50,24,21,Philip Rivers sacked by Cameron Heyward for -3 yards,1.360,-0.260
4,12:17,4,8,IND 47,24,21,"Rigoberto Sanchez punts 42 yards, returned by Ray-Ray McCloud for 5 yards (tackle by Jordan Wilkins and T.J. Carrie)",-0.260,0.140
4,12:06,1,10,PIT 16,24,21,Ben Roethlisberger pass complete short left to Diontae Johnson for 7 yards (tackle by Bobby Okereke),-0.140,0.420
4,11:37,2,3,PIT 23,24,21,James Conner up the middle for 4 yards (tackle by Grover Stewart),0.420,0.740
4,11:02,1,10,PIT 27,24,21,Ben Roethlisberger pass complete short left to Eric Ebron for 10 yards (tackle by Xavier Rhodes),0.740,1.400
4,10:26,1,10,PIT 37,24,21,Ben Roethlisberger pass complete short right to James Washington for 7 yards (tackle by Rock Ya-Sin),1.400,1.800
4,9:45,2,3,PIT 44,24,21,James Conner up the middle for 12 yards (tackle by Julian Blackmon and Darius Leonard),1.800,2.650
4,9:09,1,10,IND 44,24,21,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,2.650,2.110
4,9:04,2,10,IND 44,24,21,"Penalty on Eric Ebron: False Start, 5 yards (no play)",2.110,1.440
4,9:04,2,15,IND 49,24,21,Ben Roethlisberger pass complete short middle to James Conner for 10 yards (tackle by Tavon Wilson),1.440,2.080
4,8:19,3,5,IND 39,24,21,Ben Roethlisberger pass complete short left to James Conner for 9 yards (tackle by Darius Leonard),2.080,3.580
4,7:52,1,10,IND 30,24,21,Ben Roethlisberger pass incomplete short right intended for Chase Claypool,3.580,3.030
4,7:48,2,10,IND 30,24,21,"Ben Roethlisberger pass incomplete deep right intended for Chase Claypool. Penalty on Xavier Rhodes: Illegal Contact, 5 yards (no play)",3.030,3.910
4,7:43,1,10,IND 25,24,27,"Ben Roethlisberger pass complete deep left to JuJu Smith-Schuster for 25 yards, touchdown",3.910,7.000
4,7:38,,,IND 15,24,28,Matthew Wright kicks extra point good,0.000,0.000
4,7:38,,,PIT 35,24,28,"Matthew Wright kicks off 54 yards, returned by Tremon Smith for 19 yards (tackle by Justin Layne)",0.000,0.940
4,7:34,1,10,IND 30,24,28,Philip Rivers pass complete short middle to Jack Doyle for 7 yards (tackle by Avery Williamson),0.940,1.340
4,6:55,2,3,IND 37,24,28,Nyheim Hines right guard for 10 yards (tackle by Minkah Fitzpatrick and Avery Williamson),1.340,2.060
4,6:12,1,10,IND 47,24,28,Philip Rivers pass deep middle intended for Michael Pittman is intercepted by Mike Hilton at PIT-12 and returned for -3 yards,2.060,0.380
4,6:05,1,10,PIT 9,24,28,Ben Roethlisberger pass complete short middle to Vance McDonald for 5 yards (tackle by Tavon Wilson),-0.380,-0.390
4,5:23,2,5,PIT 14,24,28,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 8 yards (tackle by Rock Ya-Sin and Darius Leonard),-0.390,0.410
4,4:42,1,10,PIT 22,24,28,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 6 yards (tackle by Kenny Moore),0.410,0.680
4,4:02,2,4,PIT 28,24,28,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 3 yards (tackle by Xavier Rhodes),0.680,0.370
4,3:17,3,1,PIT 31,24,28,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 4 yards (tackle by Kenny Moore),0.370,1.270
4,2:41,1,10,PIT 35,24,28,James Conner right end for 2 yards (tackle by Rock Ya-Sin and Darius Leonard),1.270,0.990
4,2:35,,,,,,Timeout #2 by Indianapolis Colts,,
4,2:35,2,8,PIT 37,24,28,Ben Roethlisberger pass complete short right to James Conner for 6 yards (tackle by Tyquan Lewis),0.990,1.090
