Quarter,Time,Tm,Detail,IND,PIT
1.0,9:48,Colts,Jonathan Taylor 6 yard rush (Rodrigo Blankenship kick),7,0
2.0,13:47,Steelers,James Conner 1 yard rush (Matthew Wright kick),7,7
,6:35,Colts,Jonathan Taylor 1 yard rush (Rodrigo Blankenship kick),14,7
,4:02,Colts,Zach Pascal 42 yard pass from Philip Rivers (Rodrigo Blankenship kick),21,7
3.0,9:23,Colts,Rodrigo Blankenship 28 yard field goal,24,7
,3:16,Steelers,Diontae Johnson 39 yard pass from Ben Roethlisberger (Matthew Wright kick),24,14
4.0,14:52,Steelers,Eric Ebron 5 yard pass from Ben Roethlisberger (Matthew Wright kick),24,21
,7:38,Steelers,JuJu Smith-Schuster 25 yard pass from Ben Roethlisberger (Matthew Wright kick),24,28
