Quarter,Time,Tm,Detail,MIN,GNB
1,9:09,Packers,Dave Rayner 38 yard field goal,0,3
2,0:00,Packers,Dave Rayner 44 yard field goal,0,6
3,5:10,Vikings,Fred Smoot 47 yard interception return (Ryan Longwell kick),7,6
4,1:34,Packers,Dave Rayner 44 yard field goal,7,9
