Unnamed: 0,MIN,GNB
First Downs,3,19
Rush-Yds-TDs,22-77-0,24-46-0
Cmp-Att-Yd-TD-INT,10-20-50-0-1,26-51-285-0-2
Sacked-Yards,3-23,1-12
Net Pass Yards,27,273
Total Yards,104,319
Fumbles-Lost,2-0,2-1
Turnovers,1,3
Penalties-Yards,10-68,4-35
Third Down Conv.,2-14,7-19
Fourth Down Conv.,0-1,0-0
Time of Possession,25:21,34:39
