Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
2,9:38,4,1,SFO 1,0,0,Antonio Gibson right guard for no gain (tackle by Fred Warner),3.550,0.380
2,9:32,1,10,SFO 1,0,0,Christian McCaffrey up the middle for 3 yards (tackle by Efe Obada),-0.380,-0.560
2,8:52,2,7,SFO 4,0,0,Christian McCaffrey up the middle for 9 yards (tackle by Jamin Davis and David Mayo),-0.560,-0.320
2,8:09,1,10,SFO 13,0,0,Tyrion Davis-Price right guard for 1 yard (tackle by Daron Payne and Chase Young),-0.320,-0.680
2,7:30,2,9,SFO 14,0,0,Brock Purdy pass incomplete short right intended for George Kittle (defended by Chase Young),-0.680,-1.300
2,7:25,3,9,SFO 14,0,0,Brock Purdy pass complete short left to Jauan Jennings for 15 yards (tackle by Danny Johnson),-1.300,0.870
2,6:43,1,10,SFO 29,0,0,Brock Purdy pass incomplete short middle intended for George Kittle (defended by John Ridgeway),0.870,0.330
2,6:37,2,10,SFO 29,0,6,"Ray-Ray McCloud right end for 71 yards, touchdown",0.330,7.000
2,6:26,,,WAS 15,0,7,Robbie Gould kicks extra point good,0.000,0.000
2,6:26,,,SFO 35,0,7,"Robbie Gould kicks off 62 yards, out of bounds",0.000,1.600
2,6:26,1,10,WAS 40,0,7,Jonathan Williams left tackle for 2 yards (tackle by Fred Warner and Dre Greenlaw),1.600,1.320
2,5:45,2,8,WAS 42,0,7,Taylor Heinicke pass complete short right to Antonio Gibson for 9 yards (tackle by Deommodore Lenoir),1.320,2.320
2,5:06,1,10,SFO 49,0,7,"Taylor Heinicke pass complete deep left to Jahan Dotson for 44 yards (tackle by Deommodore Lenoir). Penalty on Charvarius Ward: Defensive Holding, 5 yards (offset) . Penalty on Wes Schweitzer: Offensive Holding, 10 yards (offset) (no play)",2.320,2.320
2,4:36,1,10,SFO 49,0,7,Brian Robinson up the middle for no gain (tackle by Talanoa Hufanga and Azeez Al-Shaair),2.320,1.780
2,3:56,2,10,SFO 49,0,7,Brian Robinson up the middle for -1 yards (tackle by Charvarius Ward and Charles Omenihu),1.780,0.960
2,3:17,3,11,SFO 50,0,7,Taylor Heinicke pass incomplete short right intended for Jahan Dotson,0.960,-0.060
2,3:10,4,11,SFO 50,0,7,"Tress Way punts 36 yards, fair catch by Ray-Ray McCloud at SF-14",-0.060,0.280
2,3:03,1,10,SFO 14,0,7,Brock Purdy pass deep middle intended for Jauan Jennings is intercepted by Darrick Forrest at SF-31 and returned for no gain (tackle by Jauan Jennings),-0.280,-3.510
2,2:57,1,10,SFO 31,0,7,Brian Robinson right guard for 5 yards (tackle by Fred Warner),3.510,3.640
2,2:21,2,5,SFO 26,0,7,Brian Robinson right end for 4 yards (tackle by Fred Warner and Tashaun Gipson),3.640,3.470
2,2:00,3,1,SFO 22,0,7,"Penalty on Trai Turner: False Start, 4 yards (accepted) (no play)",3.470,2.940
2,2:00,3,5,SFO 26,0,7,Taylor Heinicke pass complete to Jahan Dotson for 9 yards (tackle by Talanoa Hufanga),2.940,4.440
2,1:16,1,10,SFO 17,0,7,Taylor Heinicke sacked by Nick Bosa for -9 yards,4.440,2.680
2,0:47,2,19,SFO 26,0,7,Antonio Gibson right guard for 5 yards (tackle by Samson Ebukam),2.680,2.680
