Unnamed: 0,BUF,ARI
First Downs,13,28
Rush-Yds-TDs,17-84-1,34-123-3
Cmp-Att-Yd-TD-INT,18-24-238-1-1,33-42-250-2-0
Sacked-Yards,5-35,0-0
Net Pass Yards,203,250
Total Yards,287,373
Fumbles-Lost,3-3,0-0
Turnovers,4,0
Penalties-Yards,6-36,4-20
Third Down Conv.,5-9,9-15
Fourth Down Conv.,0-1,1-2
Time of Possession,23:44,36:16
