Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 62 yards, returned by Leodis McKelvin for 17 yards (tackle by Calais Campbell)",0.000,0.610
1,14:56,1,10,BUF 25,0,0,Trent Edwards pass complete short left to Robert Royal for 3 yards (tackle by Gerald Hayes),0.610,0.470
1,14:15,2,7,BUF 28,0,0,Trent Edwards pass complete short right to Fred Jackson for 2 yards (tackle by Gerald Hayes),0.470,0.040
1,13:30,3,5,BUF 30,0,0,Trent Edwards pass complete short middle to James Hardy for 13 yards (tackle by Chike Okeafor),0.040,1.800
1,13:07,1,10,BUF 43,0,0,Marshawn Lynch up the middle for 2 yards (tackle by Travis LaBoy),1.800,1.520
1,12:28,2,8,BUF 45,0,0,"J.P. Losman for no gain. J.P. Losman fumbles, recovered by Antonio Smith at BUF-38 (tackle by Melvin Fowler)",1.520,-3.050
1,12:23,1,10,BUF 38,0,0,Kurt Warner pass complete short right to Edgerrin James for 12 yards (tackle by Kawika Mitchell),3.050,3.840
1,11:45,1,10,BUF 26,0,0,Kurt Warner pass incomplete short middle intended for Ben Patrick,3.840,3.300
1,11:35,2,10,BUF 26,0,0,Edgerrin James right tackle for 13 yards (tackle by Donte Whitner). Penalty on Kyle Williams: Defensive Offside (Declined),3.300,4.710
1,11:15,1,10,BUF 13,0,0,Edgerrin James left tackle for 1 yard (tackle by Kawika Mitchell),4.710,4.220
1,10:42,2,9,BUF 12,0,0,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards (tackle by Jabari Greer),4.220,6.740
1,9:57,1,2,BUF 2,0,6,"Kurt Warner pass complete short right to Larry Fitzgerald for 2 yards, touchdown",6.740,7.000
1,,,,BUF 2,0,7,"Neil Rackers kicks extra point good. Penalty on Ashton Youboty: Defensive Offside, 5 yards",0.000,0.000
1,,,,ARI 35,0,7,"Neil Rackers kicks off 71 yards, returned by Leodis McKelvin for 26 yards (tackle by Neil Rackers)",0.000,0.280
1,9:48,1,10,BUF 20,0,7,J.P. Losman pass incomplete short left intended for Josh Reed,0.280,-0.270
1,9:43,2,10,BUF 20,0,7,J.P. Losman pass complete short right to Marshawn Lynch for 3 yards (tackle by Eric Green),-0.270,-0.560
1,8:57,3,7,BUF 23,0,7,J.P. Losman pass complete short middle to James Hardy for 17 yards (tackle by Antrel Rolle),-0.560,1.600
1,8:14,1,10,BUF 40,0,7,Marshawn Lynch right tackle for 7 yards (tackle by Travis LaBoy and Aaron Francisco),1.600,2.000
1,8:14,2,3,BUF 47,0,7,"Penalty on J.P. Losman: Delay of Game, 5 yards (no play)",2.000,1.320
1,7:26,2,8,BUF 42,0,7,Marshawn Lynch up the middle for 5 yards (tackle by Travis LaBoy),1.320,1.290
1,6:41,3,3,BUF 47,0,7,J.P. Losman sacked by Travis LaBoy for -2 yards,1.290,-0.390
1,6:04,4,5,BUF 45,0,7,"Brian Moorman punts 55 yards, touchback",-0.390,-0.280
1,5:55,1,10,ARI 20,0,7,Edgerrin James left tackle for 2 yards (tackle by Donte Whitner and Kyle Williams),0.280,0.000
1,5:31,2,8,ARI 22,0,7,Kurt Warner pass complete short middle to Leonard Pope for 4 yards (tackle by Donte Whitner),0.000,-0.160
1,4:58,3,4,ARI 26,0,7,Kurt Warner pass complete short right to Early Doucet for 9 yards (tackle by Leodis McKelvin),-0.160,1.270
1,4:31,1,10,ARI 35,0,7,Edgerrin James left tackle for no gain (tackle by Paul Posluszny and Kawika Mitchell),1.270,0.720
1,3:51,2,10,ARI 35,0,7,Kurt Warner pass complete short left to Steve Breaston for 11 yards (tackle by Jabari Greer),0.720,1.990
1,3:12,1,10,ARI 46,0,7,Kurt Warner pass complete short right to Steve Breaston for 6 yards (tackle by Jabari Greer),1.990,2.260
1,2:46,2,4,BUF 48,0,7,Kurt Warner pass incomplete deep left intended for Early Doucet,2.260,1.550
1,2:39,3,4,BUF 48,0,7,Kurt Warner pass complete short left to Early Doucet for 8 yards (tackle by Jabari Greer),1.550,2.920
1,2:04,1,10,BUF 40,0,7,Edgerrin James left tackle for no gain (tackle by Kyle Williams),2.920,2.370
1,1:27,2,10,BUF 40,0,7,Tim Hightower right tackle for 3 yards (tackle by Marcus Stroud and Kyle Williams),2.370,2.080
1,0:43,3,7,BUF 37,0,7,Kurt Warner pass complete short left to Steve Breaston for 11 yards (tackle by Kawika Mitchell),2.080,3.840
1,0:06,1,10,BUF 26,0,7,J.J. Arrington left tackle for no gain (tackle by Aaron Schobel),3.840,3.300
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,BUF 26,0,7,Kurt Warner pass complete short left to Larry Fitzgerald for 9 yards (tackle by Aaron Schobel),3.300,3.950
2,14:21,3,1,BUF 17,0,13,"Tim Hightower left end for 17 yards, touchdown",3.950,7.000
2,,,,BUF 2,0,14,Neil Rackers kicks extra point good,0.000,0.000
2,,,,ARI 30,0,14,"Neil Rackers kicks off 70 yards, returned by Leodis McKelvin for 17 yards (tackle by Ali Highsmith)",0.000,-0.060
2,14:08,1,10,BUF 17,0,14,Marshawn Lynch left tackle for no gain (tackle by Calais Campbell),-0.060,-0.580
2,13:26,2,10,BUF 17,0,14,"Penalty on Brad Butler: False Start, 5 yards (no play)",-0.580,-1.150
2,13:03,2,15,BUF 12,0,14,Marshawn Lynch left tackle for 1 yard (tackle by Travis LaBoy),-1.150,-1.860
2,12:21,3,14,BUF 13,6,14,"J.P. Losman pass complete deep left to Lee Evans for 87 yards, touchdown",-1.860,7.000
2,,,,ARI 2,7,14,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,7,14,"Rian Lindell kicks off 73 yards, returned by J.J. Arrington for 25 yards (tackle by John Wendling)",0.000,0.410
2,12:04,1,10,ARI 22,7,14,Kurt Warner pass complete short left to Larry Fitzgerald for 11 yards (tackle by Paul Posluszny),0.410,1.140
2,11:41,1,10,ARI 33,7,14,Kurt Warner pass incomplete short right intended for Jerheme Urban (defended by Ashton Youboty),1.140,0.590
2,11:36,2,10,ARI 33,7,14,Kurt Warner pass complete short middle to Edgerrin James for 9 yards (tackle by Chris Kelsay),0.590,1.090
2,10:59,3,1,ARI 42,7,14,Tim Hightower left tackle for 6 yards (tackle by Ko Simpson),1.090,2.130
2,10:18,1,10,ARI 48,7,14,Kurt Warner pass complete short left to Early Doucet for 6 yards (tackle by Donte Whitner),2.130,2.390
2,9:48,2,4,BUF 46,7,14,"Edgerrin James right tackle for 4 yards (tackle by Keith Ellison). Penalty on Copeland Bryan: Defensive Offside, 5 yards (no play)",2.390,2.850
2,9:20,1,10,BUF 41,7,14,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald (defended by Jabari Greer),2.850,2.310
2,9:07,2,10,BUF 41,7,14,Edgerrin James up the middle for 4 yards (tackle by Paul Posluszny and Aaron Schobel),2.310,2.150
2,8:42,3,6,BUF 37,7,14,Kurt Warner pass complete short left to Tim Hightower for 7 yards (tackle by Copeland Bryan),2.150,3.580
2,7:57,1,10,BUF 30,7,14,Edgerrin James up the middle for 15 yards (tackle by Leodis McKelvin),3.580,4.580
2,7:19,1,10,BUF 15,7,14,Kurt Warner pass complete short left to Ben Patrick for 10 yards (tackle by Donte Whitner),4.580,6.060
2,6:40,1,5,BUF 5,7,14,Kurt Warner pass complete short left to Steve Breaston for 4 yards (tackle by Jabari Greer),6.060,5.910
2,5:55,2,1,BUF 1,7,20,"Edgerrin James up the middle for 1 yard, touchdown",5.910,7.000
2,,,,BUF 2,7,21,Neil Rackers kicks extra point good,0.000,0.000
2,,,,ARI 30,7,21,"Neil Rackers kicks off 64 yards, returned by Leodis McKelvin for 31 yards (tackle by Oliver Celestin)",0.000,1.400
2,5:43,1,10,BUF 37,7,21,J.P. Losman pass complete short right to Marshawn Lynch for 1 yard (tackle by Roderick Hood),1.400,0.990
2,5:07,2,9,BUF 38,7,21,Marshawn Lynch up the middle for 3 yards (tackle by Kenny Iwebema and Karlos Dansby),0.990,0.700
2,4:22,3,6,BUF 41,7,21,J.P. Losman pass complete short left to Josh Reed for 19 yards (tackle by Eric Green),0.700,2.920
2,3:43,1,10,ARI 40,7,21,Fred Jackson left tackle for 11 yards (tackle by Karlos Dansby and Aaron Francisco),2.920,3.640
2,3:02,1,10,ARI 29,7,21,Lee Evans right end for 22 yards (tackle by Aaron Francisco),3.640,5.600
2,2:25,1,7,ARI 7,7,21,Marshawn Lynch left tackle for 4 yards (tackle by Antrel Rolle),5.600,5.530
2,2:00,2,3,ARI 3,7,21,Marshawn Lynch up the middle for 1 yard (tackle by Darnell Dockett and Travis LaBoy),5.530,4.950
2,1:49,,,,7,21,Timeout #1 by Arizona Cardinals,0.000,4.950
2,1:49,3,2,ARI 2,13,21,"J.P. Losman up the middle for 2 yards, touchdown",4.950,7.000
2,,,,ARI 2,14,21,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,14,21,"Rian Lindell kicks off 43 yards, fair catch by Calais Campbell",0.000,0.740
2,1:46,1,10,ARI 27,14,21,Kurt Warner pass complete short left to Early Doucet for 6 yards (tackle by Ashton Youboty),0.740,1.010
2,1:21,2,4,ARI 33,14,21,Kurt Warner pass complete short middle to Larry Fitzgerald for 6 yards (tackle by Keith Ellison),1.010,1.530
2,1:15,,,,14,21,Timeout #2 by Arizona Cardinals,0.000,1.530
2,1:15,1,10,ARI 39,14,21,Kurt Warner pass complete short right to J.J. Arrington for 4 yards (tackle by Reggie Corner),1.530,1.530
2,0:52,2,6,ARI 43,14,21,Kurt Warner left end for 11 yards (tackle by Jabari Greer),1.530,2.520
2,0:31,1,10,BUF 46,14,21,Kurt Warner spiked the ball,2.520,1.980
2,0:31,2,10,BUF 46,14,21,Kurt Warner pass complete short right to Larry Fitzgerald for 12 yards (tackle by Leodis McKelvin),1.980,3.310
2,0:24,1,10,BUF 34,14,21,Kurt Warner pass complete short left to Jerheme Urban for no gain,3.310,2.770
2,0:15,2,10,BUF 34,14,21,J.J. Arrington up the middle for 5 yards (tackle by Spencer Johnson),2.770,2.740
2,0:05,,,,14,21,Timeout #3 by Arizona Cardinals,0.000,2.740
2,0:05,3,5,BUF 29,14,24,Neil Rackers 47 yard field goal good,2.740,3.000
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,14,24,"Rian Lindell kicks off 70 yards, returned by J.J. Arrington for 22 yards (tackle by Ryan Denney)",0.000,0.410
3,14:56,1,10,ARI 22,14,24,Edgerrin James left tackle for -1 yards (tackle by Chris Kelsay),0.410,-0.270
3,14:19,2,11,ARI 21,14,24,Kurt Warner pass complete short right to Early Doucet for 5 yards (tackle by Paul Posluszny),-0.270,-0.290
3,13:34,3,6,ARI 26,14,24,Kurt Warner pass complete short right to Ben Patrick for 1 yard (tackle by Kawika Mitchell),-0.290,-1.570
