Unnamed: 0,IND,DEN
First Downs,26,15
Rush-Yds-TDs,39-128-2,22-113-2
Cmp-Att-Yd-TD-INT,27-44-229-0-1,15-24-185-1-2
Sacked-Yards,2-13,2-13
Net Pass Yards,216,172
Total Yards,344,285
Fumbles-Lost,5-2,1-0
Turnovers,3,2
Penalties-Yards,4-31,9-58
Third Down Conv.,15-21,5-9
Fourth Down Conv.,1-1,0-1
Time of Possession,43:45,21:53
