Quarter,Time,Tm,Detail,DEN,CAR
1.0,10:58,Broncos,P.J. Pope 7 yard pass from Jay Cutler (Matt Prater kick),7,0
,8:21,Panthers,Steve Smith Sr. 15 yard pass from Jake Delhomme (John Kasay kick),7,7
,3:37,Broncos,Matt Prater 43 yard field goal,10,7
,0:10,Panthers,John Kasay 39 yard field goal,10,10
2.0,6:29,Panthers,Jonathan Stewart 2 yard rush (John Kasay kick),10,17
,0:00,Panthers,John Kasay 44 yard field goal,10,20
3.0,12:49,Panthers,DeAngelo Williams 56 yard rush (John Kasay kick),10,27
4.0,11:22,Panthers,John Kasay 42 yard field goal,10,30
