Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"Rhys Lloyd kicks off 70 yards, returned by Eddie Royal for 39 yards (tackle by Rhys Lloyd)",0.000,1.530
1,14:51,1,10,DEN 39,0,0,Tatum Bell right end for 5 yards (tackle by Chris Gamble),1.530,1.660
1,14:13,2,5,DEN 44,0,0,Jay Cutler pass incomplete,1.660,0.960
,,,,,,,"DEN challenged the fumble ruling, and the original play was overturned.",,
1,14:12,3,5,DEN 44,0,0,Jay Cutler pass complete short right to Brandon Stokley for 9 yards (tackle by Richard Marshall),0.960,2.460
1,13:52,1,10,CAR 47,0,0,Jay Cutler pass complete short left to Eddie Royal for 11 yards (tackle by Ken Lucas),2.460,3.180
1,13:15,1,10,CAR 36,0,0,Jay Cutler pass complete short left to Daniel Graham for 9 yards (tackle by Tyler Brayton),3.180,3.850
1,12:35,2,1,CAR 27,0,0,Jay Cutler pass complete short right to Daniel Graham for 16 yards (tackle by Chris Gamble),3.850,4.840
1,11:51,1,10,CAR 11,0,0,Selvin Young up the middle for 4 yards (tackle by Charles Godfrey),4.840,4.890
1,11:13,2,6,CAR 7,0,0,Jay Cutler pass incomplete short middle intended for Brandon Marshall,4.890,3.980
1,11:03,3,6,CAR 7,6,0,"Jay Cutler pass complete short left to P.J. Pope for 7 yards, touchdown",3.980,7.000
1,,,,CAR 2,7,0,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Matt Prater kicks off 64 yards, returned by Mark Jones for 20 yards (tackle by Louis Green)",0.000,0.670
1,10:52,1,10,CAR 26,7,0,Jake Delhomme pass complete short right to Muhsin Muhammad for 7 yards (tackle by Josh Barrett),0.670,1.070
1,10:11,2,3,CAR 33,7,0,DeAngelo Williams left tackle for 1 yard (tackle by Nate Webster),1.070,0.500
1,9:27,3,2,CAR 34,7,0,Jake Delhomme pass complete short left to Steve Smith for 24 yards (tackle by Dre' Bly),0.500,2.790
1,9:01,1,10,DEN 42,7,0,Jake Delhomme pass complete deep left to Steve Smith for 27 yards (tackle by Josh Bell),2.790,4.580
1,8:32,1,10,DEN 15,7,0,Jake Delhomme pass incomplete short left intended for Muhsin Muhammad,4.580,3.950
1,8:28,2,10,DEN 15,7,6,"Jake Delhomme pass complete short right to Steve Smith for 15 yards, touchdown",3.950,7.000
1,,,,DEN 2,7,7,John Kasay kicks extra point good,0.000,0.000
1,,,,CAR 30,7,7,"Rhys Lloyd kicks off 70 yards, touchback",0.000,0.280
1,8:21,1,10,DEN 20,7,7,Jay Cutler pass incomplete short right intended for Tony Scheffler. Penalty on Chris Kuper: Ineligible Downfield Pass (Declined),0.280,-0.270
1,8:17,2,10,DEN 20,7,7,P.J. Pope right tackle for 3 yards (tackle by Damione Lewis),-0.270,-0.560
1,7:34,3,7,DEN 23,7,7,Jay Cutler pass complete short middle to Brandon Marshall for 19 yards (tackle by Chris Harris),-0.560,1.730
1,7:05,1,10,DEN 42,7,7,Selvin Young right end for 2 yards (tackle by Charles Johnson and Chris Gamble),1.730,1.460
1,6:31,2,8,DEN 44,7,7,Jay Cutler pass complete short right to Brandon Marshall for 12 yards (tackle by Chris Gamble),1.460,2.650
1,5:51,1,10,CAR 44,7,7,Jay Cutler pass complete short left to Eddie Royal for 13 yards (tackle by Jon Beason),2.650,3.510
1,5:18,1,10,CAR 31,7,7,Tatum Bell right tackle for 5 yards (tackle by Charles Johnson),3.510,3.640
1,4:42,2,5,CAR 26,7,7,Selvin Young up the middle for 4 yards (tackle by Jon Beason),3.640,3.470
1,4:02,3,1,CAR 22,7,7,Jay Cutler pass complete short left to Eddie Royal for -3 yards (tackle by Richard Marshall). Penalty on Eddie Royal: Illegal Formation (Declined),3.470,1.880
1,3:42,4,4,CAR 25,10,7,Matt Prater 43 yard field goal good,1.880,3.000
1,,,,DEN 30,10,7,"Matt Prater kicks off 69 yards, returned by Mark Jones for 24 yards (tackle by Jack Williams)",0.000,0.610
1,3:29,1,10,CAR 25,10,7,Jake Delhomme pass complete short left to Muhsin Muhammad for 27 yards (tackle by Josh Bell),0.610,2.390
1,2:52,1,10,DEN 48,10,7,DeAngelo Williams left guard for 2 yards (tackle by Josh Bell),2.390,2.120
1,2:15,2,8,DEN 46,10,7,Jake Delhomme pass incomplete short middle intended for Steve Smith (defended by Josh Bell),2.120,1.420
1,2:09,3,8,DEN 46,10,7,Jake Delhomme pass incomplete short right intended for Muhsin Muhammad,1.420,0.200
1,2:03,4,8,DEN 46,10,7,"Jason Baker punts 30 yards, fair catch by Eddie Royal",0.200,0.140
1,1:55,1,10,DEN 16,10,7,Jay Cutler pass incomplete short right intended for Eddie Royal is intercepted by Chris Gamble at DEN-31 and returned for 4 yards (tackle by Eddie Royal),-0.140,-3.780
1,1:44,1,10,DEN 27,10,7,Jonathan Stewart right end for 2 yards (tackle by Josh Bell),3.780,3.500
1,1:04,2,8,DEN 25,10,7,DeAngelo Williams left end for 4 yards (tackle by Marcus Thomas),3.500,3.340
1,0:20,3,4,DEN 21,10,7,Jake Delhomme pass incomplete short middle intended for DeAngelo Williams (defended by Nic Clemons),3.340,2.130
1,0:15,4,4,DEN 21,10,10,John Kasay 39 yard field goal good,2.130,3.000
1,,,,CAR 30,10,10,"Rhys Lloyd kicks off 57 yards, returned by Chad Mustard for 17 yards (tackle by Nick Goings)",0.000,0.940
1,0:04,1,10,DEN 30,10,10,--,0.940,0.260
Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,DEN 29,10,10,Tatum Bell left end for 2 yards (tackle by Ken Lucas),0.260,-0.160
2,14:16,3,9,DEN 31,10,10,Jay Cutler pass complete short right to Brandon Stokley for 11 yards (tackle by Richard Marshall),-0.160,1.730
2,13:39,1,10,DEN 42,10,10,"Jay Cutler pass incomplete short right intended for Darrell Jackson (defended by Charles Godfrey). Penalty on Ben Hamilton: Offensive Holding, 10 yards (no play)",1.730,1.070
2,13:31,1,20,DEN 32,10,10,Jay Cutler up the middle for 4 yards (tackle by Jon Beason),1.070,0.380
2,12:50,2,16,DEN 36,10,10,Jay Cutler pass incomplete deep middle intended for Brandon Marshall,0.380,-0.290
2,12:43,3,16,DEN 36,10,10,Selvin Young left tackle for no gain (tackle by Richard Marshall),-0.290,-0.980
2,12:12,4,16,DEN 36,10,10,"Brett Kern punts 37 yards, fair catch by Mark Jones",-0.980,-0.740
2,12:05,1,10,CAR 27,10,10,Jake Delhomme pass complete short left to DeAngelo Williams for 1 yard (tackle by Nate Webster),0.740,0.330
2,11:24,2,9,CAR 28,10,10,DeAngelo Williams up the middle for 3 yards (tackle by John Engelberger),0.330,0.040
2,10:48,3,6,CAR 31,10,10,Jake Delhomme pass complete deep middle to Steve Smith for 38 yards (tackle by Josh Bell),0.040,3.510
2,10:06,1,10,DEN 31,10,10,DeAngelo Williams right tackle for 6 yards (tackle by Jamie Winborn),3.510,3.780
2,9:22,2,4,DEN 25,10,10,DeAngelo Williams up the middle for 5 yards (tackle by John Engelberger),3.780,4.240
