Quarter,Time,Tm,Detail,TEN,JAX
1.0,12:34,Titans,Kenny Britt 23 yard pass from Vince Young (Rob Bironas kick),7,0
2.0,8:22,Titans,Bo Scaife 2 yard pass from Kerry Collins (Rob Bironas kick),14,0
,2:09,Titans,Rob Bironas 26 yard field goal,17,0
3.0,11:25,Titans,Rob Bironas 33 yard field goal,20,0
,7:05,Jaguars,Josh Scobee 33 yard field goal,20,3
4.0,14:12,Titans,Rob Bironas 36 yard field goal,23,3
,1:40,Titans,Chris Johnson 35 yard rush (Rob Bironas kick),30,3
