Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PIT 20,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 13 yards (tackle by Lardarius Webb),0.280,1.140
1,14:23,1,10,PIT 33,0,0,"Penalty on Marcus Gilbert: False Start, 5 yards (no play)",1.140,0.810
1,14:04,1,15,PIT 28,0,0,Le'Veon Bell right guard for 6 yards (tackle by Arthur Jones and Arthur Brown),0.810,0.730
1,13:27,2,9,PIT 34,0,0,Le'Veon Bell up the middle for 8 yards (tackle by Chris Canty),0.730,1.090
1,12:42,3,1,PIT 42,0,0,Ben Roethlisberger pass incomplete deep middle intended for Heath Miller,1.090,-0.590
1,12:32,4,1,PIT 42,0,0,"Zoltan Mesko punts 36 yards, returned by Tandon Doss for 12 yards (tackle by Jason Worilds)",-0.590,-1.200
1,12:25,1,10,BAL 34,0,0,Joe Flacco pass incomplete short right intended for Jacoby Jones (defended by LaMarr Woodley),1.200,0.660
1,12:20,2,10,BAL 34,0,0,Ray Rice up the middle for 1 yard (tackle by Shamarko Thomas and Lawrence Timmons),0.660,0.100
1,11:47,3,9,BAL 35,0,0,Joe Flacco pass incomplete deep left intended for Torrey Smith,0.100,-1.040
1,11:39,4,9,BAL 35,0,0,"Sam Koch punts 43 yards, returned by Antonio Brown for 18 yards (tackle by Jameel McClain)",-1.040,-1.600
1,11:29,1,10,PIT 40,0,0,Le'Veon Bell up the middle for 11 yards (tackle by Haloti Ngata and Daryl Smith),1.600,2.320
1,10:45,1,10,BAL 49,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Lardarius Webb),2.320,2.460
1,10:05,2,5,BAL 44,0,0,Antonio Brown right tackle for 3 yards (tackle by Jameel McClain),2.460,2.150
1,9:26,3,2,BAL 41,0,0,Le'Veon Bell left guard for 6 yards (tackle by Jimmy Smith and Jameel McClain),2.150,3.250
