Unnamed: 0,BAL,PIT
First Downs,19,17
Rush-Yds-TDs,26-82-0,29-141-0
Cmp-Att-Yd-TD-INT,24-34-215-1-0,17-23-160-1-0
Sacked-Yards,1-10,3-15
Net Pass Yards,205,145
Total Yards,287,286
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,9-67,7-50
Third Down Conv.,7-14,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,28:59,31:01
