Unnamed: 0,DAL,TAM
First Downs,9,14
Rush-Yds-TDs,22-60-0,35-128-0
Cmp-Att-Yd-TD-INT,15-25-140-0-2,13-26-151-1-0
Sacked-Yards,4-22,2-18
Net Pass Yards,118,133
Total Yards,178,261
Fumbles-Lost,3-1,2-0
Turnovers,3,0
Penalties-Yards,1-5,3-15
Third Down Conv.,3-12,5-16
Fourth Down Conv.,0-1,0-0
Time of Possession,25:16,34:44
