Quarter,Time,Tm,Detail,KAN,CLE
1,9:46,Browns,Braylon Edwards 23 yard pass from Charlie Frye (Phil Dawson kick),0,7
2,14:19,Chiefs,Eddie Kennison 22 yard pass from Trent Green (Lawrence Tynes kick),7,7
,6:02,Chiefs,Tony Gonzalez 9 yard pass from Trent Green (Lawrence Tynes kick),14,7
,0:19,Browns,Reuben Droughns 1 yard rush (Phil Dawson kick),14,14
3,10:08,Chiefs,Kris Wilson 6 yard pass from Trent Green (Lawrence Tynes kick),21,14
4,12:19,Chiefs,Tony Gonzalez 23 yard pass from Trent Green (Lawrence Tynes kick),28,14
,8:55,Browns,Steve Heiden 6 yard pass from Derek Anderson (Phil Dawson kick),28,21
,0:35,Browns,Steve Heiden 3 yard pass from Derek Anderson (Phil Dawson kick),28,28
OT,7:25,Browns,Phil Dawson 33 yard field goal,28,31
