Unnamed: 0,KAN,CLE
First Downs,24,26
Rush-Yds-TDs,32-124-0,29-150-1
Cmp-Att-Yd-TD-INT,24-32-297-4-1,23-34-293-3-1
Sacked-Yards,2-4,1-5
Net Pass Yards,293,288
Total Yards,417,438
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,3-29,3-15
Third Down Conv.,9-13,7-11
Fourth Down Conv.,1-1,1-1
Time of Possession,32:41,34:54
