Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 63 yards, returned by Josh Cribbs for 30 yards (tackle by Sammy Knight)",0.000,1.400
1,14:54,1,10,CLE 37,0,0,Reuben Droughns left guard for 4 yards (tackle by Sammy Knight),1.400,1.400
1,14:21,2,6,CLE 41,0,0,Charlie Frye pass complete short middle to Reuben Droughns for 9 yards (tackle by Kawika Mitchell),1.400,2.260
1,13:39,1,10,,0,0,Jason Wright left guard for 1 yard (tackle by Jimmy Wilkerson and Ron Edwards),2.260,1.850
1,12:57,2,9,KAN 49,0,0,Charlie Frye pass complete deep middle to Joe Jurevicius for 16 yards (tackle by Patrick Surtain),1.850,3.380
1,12:16,1,10,KAN 33,0,0,Charlie Frye pass complete short left to Joe Jurevicius for 14 yards (tackle by Greg Wesley and Keyaron Fox),3.380,4.310
1,11:28,1,10,KAN 19,0,0,"Penalty on Charlie Frye: Delay of Game, 5 yards (no play)",4.310,3.970
1,11:12,1,15,KAN 24,0,0,Reuben Droughns right guard for 3 yards (tackle by Kawika Mitchell),3.970,3.490
1,10:36,2,12,KAN 21,0,0,Jason Wright right tackle for -2 yards (tackle by Jimmy Wilkerson),3.490,2.540
1,9:53,3,14,KAN 23,0,6,"Charlie Frye pass complete to Braylon Edwards for 23 yards, touchdown",2.540,7.000
1,,,,KAN 2,0,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,0,7,"Phil Dawson kicks off 61 yards, returned by Dante Hall for 19 yards (tackle by Lawrence Vickers)",0.000,0.810
1,9:39,1,10,KAN 28,0,7,Larry Johnson left tackle for -1 yards (tackle by Andra Davis and Sean Jones),0.810,0.130
1,9:00,2,11,KAN 27,0,7,Larry Johnson left tackle for 2 yards (tackle by Andra Davis and D'Qwell Jackson),0.130,-0.300
1,8:22,3,9,KAN 29,0,7,Trent Green sacked by Kamerion Wimbley for -4 yards,-0.300,-1.700
1,8:00,4,13,KAN 25,0,7,"Dustin Colquitt punts 50 yards, returned by Dennis Northcutt for 3 yards (tackle by Dee Brown)",-1.700,-0.810
1,7:40,1,10,CLE 28,0,7,Reuben Droughns left guard for 1 yard (tackle by Jared Allen and Tamba Hali),0.810,0.400
1,7:01,2,9,CLE 29,0,7,Charlie Frye pass complete short right to Steve Heiden for 6 yards (tackle by Sammy Knight and Kendrell Bell),0.400,0.500
1,6:22,3,3,CLE 35,0,7,Charlie Frye pass complete short middle to Joe Jurevicius for 12 yards (tackle by Ty Law),0.500,2.060
1,5:32,1,10,CLE 47,0,7,Jason Wright for 4 yards (tackle by Kawika Mitchell),2.060,2.060
1,4:53,2,6,KAN 49,0,7,"Penalty on Kelly Butler: False Start, 5 yards (no play)",2.060,1.380
1,4:39,2,11,CLE 46,0,7,Reuben Droughns for 3 yards (tackle by Sammy Knight and Keyaron Fox),1.380,1.090
1,3:59,3,8,CLE 49,0,7,Charlie Frye pass incomplete intended for Dennis Northcutt (defended by Greg Wesley),1.090,-0.130
1,3:50,4,8,CLE 49,0,7,"Dave Zastudil punts 36 yards, fair catch by Dante Hall",-0.130,0.220
1,3:42,1,10,KAN 15,0,7,Trent Green pass incomplete short left intended for Tony Gonzalez (defended by Sean Jones),-0.220,-0.710
1,3:36,2,10,KAN 15,0,7,Larry Johnson left tackle for no gain (tackle by Andra Davis),-0.710,-1.370
1,2:58,3,10,KAN 15,0,7,Trent Green pass complete short middle to Eddie Kennison for 15 yards (tackle by Andra Davis),-1.370,0.940
1,2:22,1,10,KAN 30,0,7,Larry Johnson right guard for 7 yards (tackle by Leigh Bodden and Sean Jones),0.940,1.340
1,1:46,2,3,KAN 37,0,7,Larry Johnson right guard for 2 yards (tackle by Nick Eason and D'Qwell Jackson),1.340,0.890
1,1:14,3,1,KAN 39,0,7,Larry Johnson left tackle for 4 yards (tackle by Leon Williams and Willie McGinest),0.890,1.800
1,0:35,1,10,KAN 43,0,7,Larry Johnson right end for 24 yards (tackle by Brian Russell),1.800,3.380
1,0:05,1,10,CLE 33,0,7,Michael Bennett right guard for 6 yards (tackle by Nick Eason and Andra Davis),3.380,3.650
Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,CLE 27,0,7,Trent Green pass complete to Michael Bennett for 5 yards (tackle by D'Qwell Jackson),3.650,4.110
2,14:26,1,10,CLE 22,6,7,"Trent Green pass complete to Eddie Kennison for 22 yards, touchdown",4.110,7.000
2,,,,CLE 2,7,7,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,KAN 30,7,7,"Lawrence Tynes kicks off 52 yards, returned by Josh Cribbs for 15 yards (tackle by Dee Brown)",0.000,1.140
2,14:14,1,10,CLE 33,7,7,Derek Anderson pass complete short left to Braylon Edwards for 10 yards (tackle by Sammy Knight),1.140,1.800
2,13:37,1,10,CLE 43,7,7,Derek Anderson pass complete short right to Darnell Dinkins for 11 yards (tackle by Sammy Knight),1.800,2.520
2,13:03,1,10,KAN 46,7,7,Reuben Droughns left tackle for 5 yards (tackle by Kawika Mitchell),2.520,2.650
2,12:23,2,5,KAN 41,7,7,Derek Anderson pass incomplete intended for Braylon Edwards,2.650,1.950
2,12:19,3,5,KAN 41,7,7,Derek Anderson pass incomplete intended for Jason Wright,1.950,0.530
2,12:13,4,5,KAN 41,7,7,"Dave Zastudil punts 41 yards, touchback",0.530,-0.280
2,12:05,1,10,KAN 20,7,7,Trent Green pass complete short right to Samie Parker for 10 yards (tackle by Brodney Pool),0.280,0.940
2,11:25,1,10,KAN 30,7,7,Trent Green pass incomplete deep middle intended for Eddie Kennison,0.940,0.390
2,11:20,2,10,KAN 30,7,7,Trent Green pass complete short right to Tony Gonzalez for 8 yards (tackle by D'Qwell Jackson),0.390,0.760
2,10:43,3,2,KAN 38,7,7,Larry Johnson left tackle for 5 yards (tackle by Alvin McKinley and Leon Williams),0.760,1.800
2,10:08,1,10,KAN 43,7,7,Larry Johnson right tackle for -3 yards (tackle by Willie McGinest),1.800,0.850
2,9:29,2,13,KAN 40,7,7,Trent Green pass complete to Michael Bennett for 12 yards (tackle by Willie McGinest and D'Qwell Jackson),0.850,1.750
2,8:46,3,1,CLE 48,7,7,Trent Green pass complete short middle to Tony Gonzalez for 16 yards (tackle by Daven Holly),1.750,3.450
2,8:04,1,10,CLE 32,7,7,Trent Green pass complete short right to Tony Gonzalez for 14 yards (tackle by Sean Jones),3.450,4.370
2,7:29,1,10,CLE 18,7,7,Larry Johnson left guard for 4 yards (tackle by Andra Davis and Sean Jones),4.370,4.430
2,6:50,2,6,CLE 14,7,7,Larry Johnson left tackle for 5 yards (tackle by Sean Jones and D'Qwell Jackson),4.430,4.740
2,6:07,3,1,CLE 9,13,7,"Trent Green pass complete to Tony Gonzalez for 9 yards, touchdown. Penalty on Brodney Pool: Illegal Contact (Declined)",4.740,7.000
2,,,,CLE 2,14,7,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,KAN 30,14,7,"Lawrence Tynes kicks off 52 yards, returned by Josh Cribbs for 20 yards (tackle by Boomer Grigsby)",0.000,1.470
2,5:53,1,10,CLE 38,14,7,Reuben Droughns left tackle for 6 yards (tackle by Kawika Mitchell),1.470,1.730
2,5:13,2,4,CLE 44,14,7,Charlie Frye pass complete short right to Steve Heiden for 9 yards (tackle by Keyaron Fox),1.730,2.460
2,4:44,1,10,KAN 47,14,7,Jason Wright left guard for 8 yards (tackle by Keyaron Fox and Tamba Hali),2.460,2.990
2,4:04,2,2,KAN 39,14,7,Charlie Frye pass complete short right to Joe Jurevicius for 11 yards,2.990,3.710
2,3:31,1,10,KAN 28,14,7,Jason Wright right guard for 3 yards (tackle by Tamba Hali and Jimmy Wilkerson),3.710,3.570
2,2:46,2,7,KAN 25,14,7,Charlie Frye pass complete short left to Steve Heiden for 3 yards (tackle by Sammy Knight),3.570,3.270
2,2:05,3,4,KAN 22,14,7,Charlie Frye pass complete to Braylon Edwards for 3 yards (tackle by Patrick Surtain),3.270,2.340
2,1:57,4,1,KAN 19,14,7,Charlie Frye middle for 2 yards (tackle by Jimmy Wilkerson),2.340,4.440
2,1:27,1,10,KAN 17,14,7,Charlie Frye pass incomplete short middle intended for Reuben Droughns,4.440,3.850
2,1:22,2,10,KAN 17,14,7,Reuben Droughns left guard for no gain (tackle by Jared Allen and Ron Edwards),3.850,3.070
2,0:39,3,10,KAN 17,14,7,Charlie Frye pass complete short right to Jason Wright for 16 yards (tackle by Patrick Surtain and Jarrad Page),3.070,6.970
2,0:23,1,1,KAN 1,14,13,"Reuben Droughns middle for 1 yard, touchdown",6.970,7.000
2,,,,KAN 2,14,14,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,14,14,"Phil Dawson kicks off 54 yards, returned by Dante Hall for 3 yards (tackle by David McMillan)",0.000,0.150
2,0:19,1,10,KAN 19,14,14,Trent Green kneels for no gain,0.150,-0.390
Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,14,14,"Phil Dawson kicks off 64 yards, returned by Dante Hall for 17 yards (tackle by Matt Stewart)",0.000,0.480
3,14:53,1,10,KAN 23,14,14,Trent Green pass complete to Eddie Kennison for 39 yards (tackle by Leigh Bodden),0.480,3.050
3,14:19,1,10,CLE 38,14,14,Larry Johnson right guard for -1 yards (tackle by Daven Holly and Alvin McKinley),3.050,2.370
3,13:46,2,11,CLE 39,14,14,Larry Johnson right tackle for -2 yards (tackle by Willie McGinest),2.370,1.420
3,13:10,3,13,CLE 41,14,14,Trent Green pass complete short right to Michael Bennett for 9 yards (tackle by Daven Holly and Kamerion Wimbley),1.420,1.270
3,12:25,4,4,CLE 32,14,14,Trent Green pass complete short right to Tony Gonzalez for 12 yards (tackle by Brodney Pool and Andra Davis),1.270,4.240
3,11:45,1,10,CLE 20,14,14,Larry Johnson left guard for 7 yards (tackle by D'Qwell Jackson and Andra Davis),4.240,4.830
3,11:05,2,3,CLE 13,14,14,Larry Johnson right tackle for 7 yards (tackle by Brian Russell and Willie McGinest),4.830,5.830
3,10:20,1,6,CLE 6,14,14,Trent Green pass incomplete intended for Tony Gonzalez,5.830,4.950
3,10:16,2,6,CLE 6,20,14,"Trent Green pass complete to Kris Wilson for 6 yards, touchdown",4.950,7.000
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
3,,,,CLE 2,21,14,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,KAN 30,21,14,"Lawrence Tynes kicks off 48 yards, returned by Darnell Dinkins for 20 yards (tackle by Derrick Ross). Darnell Dinkins fumbles (forced by Derrick Ross), recovered by Bernard Pollard at CLE-42 (tackle by Daven Holly)",0.000,-2.790
3,10:00,1,10,CLE 42,21,14,Trent Green pass complete short right to Eddie Kennison for 16 yards (tackle by Brian Russell and D'Qwell Jackson),2.790,3.840
3,9:25,1,10,CLE 26,21,14,Larry Johnson left guard for 3 yards (tackle by Ted Washington),3.840,3.700
3,8:51,2,7,CLE 23,21,14,Trent Green pass incomplete intended for Kris Wilson is intercepted by Daven Holly at CLE-0,3.700,-0.280
3,8:43,1,10,CLE 20,21,14,Reuben Droughns right tackle for 8 yards (tackle by Jimmy Wilkerson),0.280,0.810
3,8:05,2,2,CLE 28,21,14,Reuben Droughns left guard for 3 yards (tackle by Jared Allen and Keyaron Fox),0.810,1.000
3,7:23,1,10,CLE 31,21,14,Derek Anderson pass complete short right to Joe Jurevicius for 12 yards (tackle by Ty Law),1.000,1.800
3,6:41,1,10,CLE 43,21,14,Reuben Droughns right tackle for 19 yards (tackle by Jared Allen),1.800,3.050
3,6:00,1,10,KAN 38,21,14,Derek Anderson pass incomplete short right intended for Braylon Edwards,3.050,2.510
3,5:56,2,10,KAN 38,21,14,Jason Wright right guard for no gain (tackle by Ty Law and Patrick Surtain),2.510,1.820
3,5:11,3,10,KAN 38,21,14,Derek Anderson pass incomplete intended for Joe Jurevicius (defended by Keyaron Fox),1.820,0.720
3,5:08,4,10,KAN 38,21,14,Dave Zastudil punts 37 yards,0.720,0.380
3,5:00,1,10,KAN 1,21,14,Larry Johnson left guard for 2 yards (tackle by D'Qwell Jackson and Brian Russell),-0.380,-0.630
3,4:25,2,8,KAN 3,21,14,Larry Johnson right tackle for 2 yards (tackle by Andra Davis and D'Qwell Jackson),-0.630,-0.950
3,3:43,3,6,KAN 5,21,14,Larry Johnson left tackle for 16 yards (tackle by Brian Russell),-0.950,0.340
3,3:16,1,10,KAN 21,21,14,Michael Bennett left tackle for 5 yards (tackle by Ted Washington and D'Qwell Jackson),0.340,0.480
3,2:40,2,5,KAN 26,21,14,Trent Green pass complete short right to Tony Gonzalez for 9 yards (tackle by Sean Jones),0.480,1.270
3,2:03,1,10,KAN 35,21,14,Michael Bennett left tackle for 3 yards (tackle by Brian Russell),1.270,1.130
3,1:24,2,7,KAN 38,21,14,Trent Green pass complete short right to Larry Johnson for 18 yards (tackle by Sean Jones),1.130,2.650
3,0:38,1,10,CLE 44,21,14,Trent Green pass complete short middle to Michael Bennett for 7 yards (tackle by Andra Davis),2.650,3.060
Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,CLE 37,21,14,Larry Johnson right tackle for -1 yards (tackle by Willie McGinest),3.060,2.210
4,14:19,3,4,CLE 38,21,14,Trent Green pass complete short middle to Tony Gonzalez for 8 yards (tackle by Andra Davis),2.210,3.580
4,13:44,1,10,CLE 30,21,14,"Larry Johnson left tackle for 9 yards (tackle by Brian Russell). Penalty on Tony Gonzalez: Offensive Holding, 10 yards",3.580,3.510
4,13:26,1,11,CLE 31,21,14,"Larry Johnson left guard for 1 yard (tackle by Willie McGinest and Alvin McKinley). Penalty on Alvin McKinley: Unnecessary Roughness (Offsetting), Penalty on Larry Johnson: Unnecessary Roughness (Offsetting)",3.510,3.030
4,13:04,2,10,CLE 30,21,14,Trent Green pass complete short right to Eddie Kennison for 7 yards (tackle by D'Qwell Jackson and Brian Russell),3.030,3.270
4,12:27,3,3,CLE 23,27,14,"Trent Green pass complete to Tony Gonzalez for 23 yards, touchdown",3.270,7.000
4,,,,CLE 2,28,14,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,KAN 30,28,14,"Lawrence Tynes kicks off 73 yards, returned by Josh Cribbs for 22 yards (tackle by Derrick Ross)",0.000,0.150
4,12:12,1,10,CLE 19,28,14,Derek Anderson pass incomplete deep left intended for Kellen Winslow (defended by Jarrad Page),0.150,-0.390
4,12:04,2,10,CLE 19,28,14,Reuben Droughns left guard for 5 yards (tackle by Kawika Mitchell and Ryan Sims),-0.390,-0.420
4,11:22,3,5,CLE 24,28,14,Derek Anderson pass complete short left to Joe Jurevicius for 10 yards (tackle by Lenny Walls),-0.420,1.200
4,10:44,1,10,CLE 34,28,14,Derek Anderson pass complete short left to Reuben Droughns for 6 yards (tackle by Kendrell Bell),1.200,1.470
4,10:03,2,4,CLE 40,28,14,Derek Anderson pass incomplete intended for Lawrence Vickers (defended by Jared Allen),1.470,0.760
4,9:57,3,4,CLE 40,28,14,Derek Anderson pass complete to Jason Wright for 54 yards (tackle by Keyaron Fox),0.760,5.830
4,9:07,1,6,KAN 6,28,14,Derek Anderson pass incomplete intended for Joe Jurevicius,5.830,4.950
4,9:01,,,,28,14,Timeout #2 by Cleveland Browns,0.000,4.950
4,9:01,2,6,KAN 6,28,20,"Derek Anderson pass complete to Steve Heiden for 6 yards, touchdown",4.950,7.000
4,,,,KAN 2,28,21,"Phil Dawson kicks extra point good. Penalty on Bernard Pollard: Defensive Offside, 5 yards",0.000,0.000
4,,,,CLE 35,28,21,"Phil Dawson kicks off 46 yards, returned by Dante Hall for 9 yards (tackle by Chaun Thompson). Penalty on Dante Hall: Taunting, 14 yards",0.000,-0.280
4,8:49,1,10,KAN 14,28,21,Larry Johnson right tackle for 2 yards (tackle by Ted Washington),-0.280,-0.510
4,8:07,2,8,KAN 16,28,21,Larry Johnson right end for 5 yards (tackle by Brodney Pool and Andra Davis),-0.510,-0.560
4,7:25,3,3,KAN 21,28,21,Trent Green pass complete to Eddie Kennison for 5 yards (tackle by Leigh Bodden),-0.560,0.670
4,6:58,1,10,KAN 26,28,21,Larry Johnson right tackle for -1 yards (tackle by Ted Washington),0.670,-0.010
4,6:14,2,11,KAN 25,28,21,Larry Johnson right tackle for 4 yards (tackle by Willie McGinest),-0.010,-0.160
4,5:33,3,7,KAN 29,28,21,Trent Green pass incomplete intended for Samie Parker,-0.160,-1.440
4,5:27,4,7,KAN 29,28,21,"Dustin Colquitt punts 43 yards, returned by Dennis Northcutt for 2 yards (tackle by Boomer Grigsby)",-1.440,-0.940
4,5:17,1,10,CLE 30,28,21,Josh Cribbs for 9 yards (tackle by Keyaron Fox and Kawika Mitchell),0.940,1.610
4,4:42,2,1,CLE 39,28,21,Jason Wright left tackle for no gain (tackle by Sammy Knight and Jared Allen),1.610,0.890
4,4:13,3,1,CLE 39,28,21,Jason Wright left guard for 14 yards (tackle by Greg Wesley),0.890,2.460
4,3:35,1,10,KAN 47,28,21,Derek Anderson pass incomplete short left intended for Kellen Winslow,2.460,1.910
4,3:31,2,10,KAN 47,28,21,Derek Anderson left tackle for 11 yards (tackle by Patrick Surtain),1.910,3.180
4,2:44,1,10,KAN 36,28,21,Derek Anderson pass complete short right to Reuben Droughns for 16 yards (tackle by Keyaron Fox and Greg Wesley),3.180,4.240
4,2:00,1,10,KAN 20,28,21,Derek Anderson pass complete to Reuben Droughns for 9 yards (tackle by Sammy Knight and Jared Allen),4.240,5.260
4,1:19,2,1,KAN 11,28,21,Reuben Droughns for 8 yards (tackle by Greg Wesley),5.260,6.510
4,0:40,1,3,KAN 3,28,27,"Derek Anderson pass complete to Steve Heiden for 3 yards, touchdown",6.510,7.000
4,,,,KAN 2,28,28,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,28,28,Phil Dawson kicks off 43 yards,0.000,0.740
4,0:30,1,10,KAN 27,28,28,Trent Green pass complete to Eddie Kennison for 13 yards (tackle by Leigh Bodden),0.740,1.600
4,0:25,1,10,KAN 40,28,28,Trent Green pass incomplete intended for Dante Hall (defended by Sean Jones),1.600,1.050
4,0:20,2,10,KAN 40,28,28,"Trent Green sacked by Simon Fraser for -5 yards. Trent Green fumbles (forced by Simon Fraser), recovered by Willie McGinest at KAN-42",1.050,-2.790
4,0:15,1,10,KAN 42,28,28,Derek Anderson pass incomplete intended for Braylon Edwards is intercepted by Kawika Mitchell at KAN-31 and returned for 23 yards,2.790,-2.520
4,0:05,1,10,CLE 46,28,28,Trent Green pass complete to Tony Gonzalez for 6 yards,2.520,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the overtime kickoff.",,
OT,,,,CLE 30,28,28,"Phil Dawson kicks off 71 yards, returned by Dante Hall for 21 yards (tackle by David McMillan)",0.000,0.280
OT,14:52,1,10,KAN 20,28,28,Trent Green pass complete to Larry Johnson for 8 yards (tackle by Kamerion Wimbley),0.280,0.810
OT,14:44,2,2,KAN 28,28,28,Larry Johnson left guard for 4 yards (tackle by Willie McGinest),0.810,1.070
OT,14:10,1,10,KAN 32,28,28,"Trent Green pass incomplete deep right intended for Eddie Kennison. Penalty on Willie McGinest: Illegal Contact, 5 yards (no play)",1.070,1.400
OT,14:04,1,10,KAN 37,28,28,Larry Johnson right guard for 4 yards (tackle by D'Qwell Jackson and Nick Eason),1.400,1.400
OT,13:24,2,6,KAN 41,28,28,Trent Green pass incomplete short left intended for Kris Wilson,1.400,0.700
OT,13:19,3,6,KAN 41,28,28,Trent Green pass incomplete deep right intended for Eddie Kennison,0.700,-0.650
OT,13:13,4,6,KAN 41,28,28,Dustin Colquitt punts 42 yards,-0.650,-0.410
OT,13:03,1,10,CLE 22,28,28,Derek Anderson pass complete deep right to Kellen Winslow for 26 yards (tackle by Kawika Mitchell and Keyaron Fox),0.410,2.130
OT,12:21,1,10,CLE 48,28,28,Jason Wright left guard for no gain (tackle by Sammy Knight and Jared Allen),2.130,1.580
OT,11:39,2,10,CLE 48,28,28,Derek Anderson pass complete to Reuben Droughns for 8 yards (tackle by Keyaron Fox and Kawika Mitchell),1.580,1.950
OT,10:55,3,2,KAN 44,28,28,Reuben Droughns middle for 4 yards (tackle by Kawika Mitchell),1.950,2.920
OT,10:16,1,10,KAN 40,28,28,Derek Anderson sacked by Keyaron Fox for -5 yards,2.920,1.700
OT,9:41,2,15,KAN 45,28,28,Derek Anderson right end for 33 yards (tackle by Kawika Mitchell),1.700,4.780
OT,8:50,,,,28,28,Timeout #1 by Cleveland Browns,0.000,4.780
OT,8:50,1,10,KAN 12,28,28,Jason Wright left guard for -2 yards (tackle by Kendrell Bell),4.780,3.790
OT,8:12,2,12,KAN 14,28,28,Jason Wright left guard for -1 yards (tackle by Keyaron Fox),3.790,3.000
OT,8:12,3,13,KAN 15,28,31,Phil Dawson 33 yard field goal good,3.000,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
