Unnamed: 0,TEN,TAM
First Downs,14,19
Rush-Yds-TDs,16-42-0,29-77-0
Cmp-Att-Yd-TD-INT,19-39-199-0-1,18-29-278-2-1
Sacked-Yards,4-32,3-15
Net Pass Yards,167,263
Total Yards,209,340
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,5-35,7-50
Third Down Conv.,6-15,7-15
Fourth Down Conv.,0-2,0-0
Time of Possession,28:20,31:40
