Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
2,11:12,1,10,TEN 24,3,0,Derrick Henry up the middle for 8 yards (tackle by Devin White and Antoine Winfield),0.540,1.080
2,10:28,2,2,TEN 32,3,0,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)",1.080,0.400
2,10:01,2,7,TEN 27,3,0,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)",0.400,-0.270
2,9:39,2,12,TEN 22,3,0,Will Levis pass incomplete short middle intended for Tyjae Spears (defended by Devin White),-0.270,-0.960
2,9:35,3,12,TEN 22,3,0,Will Levis pass complete short right to Chigoziem Okonkwo for 8 yards (tackle by Anthony Nelson and Zyon McCollum),-0.960,-1.370
2,8:51,4,4,TEN 30,3,0,"Ryan Stonehouse punts 55 yards, returned by Deven Thompkins for no gain",-1.370,0.220
2,8:48,1,10,TAM 15,3,0,Rachaad White right tackle for 2 yards (tackle by Eric Garror and Azeez Al-Shaair),-0.220,-0.440
2,8:25,2,8,TAM 17,3,0,Baker Mayfield pass complete short middle to Mike Evans for 15 yards (tackle by Elijah Molden),-0.440,1.070
2,7:46,1,10,TAM 32,3,0,Rachaad White right tackle for 5 yards (tackle by Roger McCreary and Teair Tart),1.070,1.200
2,7:09,2,5,TAM 37,3,0,Baker Mayfield pass complete short left to Cade Otton for 4 yards (tackle by Azeez Al-Shaair and Eric Garror),1.200,1.030
2,6:25,3,1,TAM 41,3,0,Baker Mayfield pass complete short right to Mike Evans for 16 yards (tackle by Amani Hooker),1.030,2.720
2,5:49,1,10,TEN 43,3,6,"Baker Mayfield pass complete short left to Rachaad White for 43 yards, touchdown",2.720,7.000
2,5:39,,,TEN 15,3,7,Chase McLaughlin kicks extra point good,0.000,0.000
2,5:39,,,TAM 35,3,7,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
2,5:39,1,10,TEN 25,3,7,Will Levis pass incomplete short left intended for Nick Westbrook-Ikhine,0.610,0.060
2,5:34,2,10,TEN 25,3,7,Derrick Henry right tackle for 4 yards (tackle by Ryan Neal),0.060,-0.100
2,4:51,3,6,TEN 29,3,7,Will Levis pass incomplete short right intended for Chigoziem Okonkwo,-0.100,-1.440
2,4:50,4,6,TEN 29,3,7,"Ryan Stonehouse punts 55 yards, returned by Deven Thompkins for 15 yards (tackle by Luke Gifford)",-1.440,-1.000
2,4:38,1,10,TAM 31,3,7,Baker Mayfield sacked by Denico Autry for -1 yards,1.000,0.320
2,4:10,2,11,TAM 30,3,7,Baker Mayfield pass complete short middle to Chris Godwin for 14 yards (tackle by Elijah Molden),0.320,1.860
2,3:26,1,10,TAM 44,3,7,Deven Thompkins left end for 6 yards (tackle by Harold Landry),1.860,2.130
2,2:43,2,4,TEN 50,3,7,Chase Edmonds up the middle for 3 yards (tackle by Kyle Peko),2.130,1.820
2,2:08,3,1,TEN 47,3,7,Baker Mayfield up the middle for 1 yard (tackle by Harold Landry),1.820,2.520
2,2:00,1,10,TEN 46,3,7,Rachaad White up the middle for 3 yards (tackle by Eric Garror),2.520,2.380
2,1:23,2,7,TEN 43,3,7,"Baker Mayfield scrambles up the middle for 2 yards. Baker Mayfield fumbles, recovered by Tristan Wirfs at TEN-41 Replay Assistant challenged the fumble ruling, and the play was upheld.",2.380,1.950
2,0:46,3,5,TEN 41,3,7,Baker Mayfield pass incomplete short right intended for Mike Evans,1.950,0.530
2,0:42,4,5,TEN 41,3,7,"Jake Camarda punts 34 yards, fair catch by Eric Garror at TEN-7",0.530,0.380
2,0:36,1,10,TEN 7,3,7,Tyjae Spears right tackle for 2 yards (tackle by Calijah Kancey),-0.380,-0.630
Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,3,7,"Nick Folk kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,TAM 25,3,7,Baker Mayfield pass complete short right to Rachaad White for 4 yards (tackle by Roger McCreary and Harold Landry),0.610,0.600
3,14:28,2,6,TAM 29,3,7,Rachaad White right tackle for 3 yards (tackle by Azeez Al-Shaair and Roger McCreary),0.600,0.300
3,13:54,3,3,TAM 32,3,7,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Elijah Molden),0.300,1.470
3,13:09,1,10,TAM 38,3,7,Rachaad White for 11 yards (tackle by Elijah Molden and Amani Hooker),1.470,2.190
3,12:28,1,10,TAM 49,3,7,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Jeffery Simmons),2.190,1.650
3,12:21,2,10,TAM 49,3,7,"Baker Mayfield pass complete to Trey Palmer for 32 yards TEN challenged the pass completion ruling, and the original play was overturned. Baker Mayfield pass incomplete deep right intended for Trey Palmer",1.650,0.960
3,12:17,3,10,TAM 49,3,7,Baker Mayfield pass complete deep right to Mike Evans for 43 yards (tackle by Roger McCreary),0.960,5.370
3,11:30,1,8,TEN 8,3,7,Rachaad White right guard for 1 yard (tackle by Elijah Molden and Harold Landry),5.370,4.760
3,10:57,2,7,TEN 7,3,7,Baker Mayfield pass incomplete short middle intended for Mike Evans,4.760,3.810
3,10:48,3,7,TEN 7,3,7,Baker Mayfield pass incomplete short left intended for Rachaad White,3.810,2.970
3,10:45,4,7,TEN 7,3,10,Chase McLaughlin 25 yard field goal good,2.970,3.000
3,10:42,,,TAM 35,3,10,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,10:42,1,10,TEN 25,3,10,Will Levis pass incomplete deep right intended for Nick Westbrook-Ikhine,0.610,0.060
3,10:36,2,10,TEN 25,3,10,Derrick Henry up the middle for 6 yards (tackle by Joe Tryon-Shoyinka),0.060,0.170
3,9:52,3,4,TEN 31,3,10,Will Levis pass complete short right to Tyjae Spears for 15 yards (tackle by Antoine Winfield),0.170,1.990
3,9:13,1,10,TEN 46,3,10,Will Levis pass complete short left to Derrick Henry for -4 yards (tackle by Lavonte David),1.990,0.910
3,8:27,2,14,TEN 42,3,10,"Will Levis pass incomplete intended for Chigoziem Okonkwo. Penalty on Joe Tryon-Shoyinka: Defensive Offside, 5 yards (accepted) (no play)",0.910,1.590
3,8:23,2,9,TEN 47,3,10,Tyjae Spears up the middle for -2 yards (tackle by Calijah Kancey and Jamel Dean),1.590,0.630
3,7:44,3,11,TEN 45,3,10,Will Levis pass incomplete short middle intended for Chris Moore (defended by Lavonte David),0.630,-0.390
3,7:39,4,11,TEN 45,3,10,"Ryan Stonehouse punts 55 yards, touchback.",-0.390,-0.280
3,7:31,1,10,TAM 20,3,10,Rachaad White up the middle for 3 yards (tackle by Harold Landry and Kyle Peko),0.280,0.140
3,6:50,2,7,TAM 23,3,10,Rachaad White up the middle for 2 yards (tackle by Harold Landry and Azeez Al-Shaair),0.140,-0.300
3,6:13,3,5,TAM 25,3,10,Baker Mayfield pass complete short middle to Mike Evans for 27 yards (tackle by Elijah Molden),-0.300,2.390
3,5:32,1,10,TEN 48,3,10,Rachaad White up the middle for 2 yards (tackle by Jeffery Simmons),2.390,2.120
3,4:59,2,8,TEN 46,3,10,Baker Mayfield pass complete deep right to Chris Godwin for 17 yards (tackle by Roger McCreary),2.120,3.640
3,4:16,1,10,TEN 29,3,10,Baker Mayfield pass complete short right to Trey Palmer for 6 yards,3.640,3.910
3,3:34,2,4,TEN 23,3,10,Chase Edmonds right guard for 1 yard (tackle by Elijah Molden),3.910,3.340
3,2:53,3,3,TEN 22,3,16,"Baker Mayfield pass complete deep middle to Mike Evans for 22 yards, touchdown",3.340,7.000
3,2:46,,,TEN 15,3,17,Chase McLaughlin kicks extra point good,0.000,0.000
3,2:46,,,TAM 35,3,17,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,2:46,1,10,TEN 25,3,17,Will Levis pass complete short left to DeAndre Hopkins for 7 yards,0.610,1.010
3,2:11,2,3,TEN 32,3,17,"Penalty on William Gholston: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",1.010,2.060
3,1:43,1,10,TEN 47,3,17,"Will Levis pass incomplete intended for Derrick Henry. Penalty on Jamel Dean: Defensive Holding, 5 yards (accepted) (no play)",2.060,2.390
3,1:43,1,10,TAM 48,3,17,Derrick Henry up the middle for 8 yards (tackle by Anthony Nelson),2.390,2.930
3,1:18,2,2,TAM 40,3,17,Will Levis pass incomplete deep left intended for DeAndre Hopkins,2.930,2.210
3,0:58,3,2,TAM 40,3,17,Will Levis pass complete short left to Tyjae Spears for 13 yards (tackle by Antoine Winfield),2.210,3.780
3,0:15,1,10,TAM 27,3,17,Derrick Henry up the middle for 1 yard (tackle by Zyon McCollum and Ryan Neal),3.780,3.370
Quarter,Time,Down,ToGo,Location,TEN,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,TAM 26,3,17,Will Levis pass complete short right to DeAndre Hopkins for 5 yards,3.370,3.340
4,14:30,3,4,TAM 21,3,17,Will Levis pass complete short left to Chigoziem Okonkwo for 15 yards (tackle by Jamel Dean),3.340,5.830
4,13:49,1,6,TAM 6,3,17,Will Levis pass incomplete short middle intended for Chigoziem Okonkwo,5.830,4.950
4,13:46,2,6,TAM 6,3,17,Derrick Henry up the middle for -3 yards (tackle by Calijah Kancey),4.950,3.360
4,13:03,3,9,TAM 9,3,17,Will Levis pass incomplete short right intended for Kyle Philips,3.360,2.830
4,12:57,4,9,TAM 9,6,17,Nick Folk 27 yard field goal good,2.830,3.000
4,12:54,,,TEN 35,6,17,"Nick Folk kicks off 65 yards, touchback.",0.000,0.610
4,12:54,1,10,TAM 25,6,17,Baker Mayfield pass complete short right to Trey Palmer for 15 yards (tackle by Amani Hooker),0.610,1.600
4,12:09,1,10,TAM 40,6,17,Baker Mayfield pass incomplete deep middle intended for Mike Evans,1.600,1.050
4,12:07,2,10,TAM 40,6,17,"Chase Edmonds for no gain. Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted) (no play)",1.050,-0.300
4,11:47,2,20,TAM 30,6,17,"Baker Mayfield pass incomplete intended for Chase Edmonds. Penalty on Elijah Molden: Defensive Holding, 5 yards (accepted) (no play)",-0.300,1.270
4,11:47,1,10,TAM 35,6,17,"Baker Mayfield pass incomplete intended for Mike Evans. Penalty on Roger McCreary: Illegal Contact, 5 yards (accepted) (no play)",1.270,1.600
4,11:43,1,10,TAM 40,6,17,Rachaad White up the middle for 2 yards (tackle by Kyle Peko and Harold Landry),1.600,1.320
4,11:03,2,8,TAM 42,6,17,Rachaad White for 2 yards (tackle by Elijah Molden and Jeffery Simmons),1.320,0.890
4,10:23,3,6,TAM 44,6,17,Baker Mayfield scrambles for 9 yards (tackle by Harold Landry),0.890,2.460
4,9:51,1,10,TEN 47,6,17,Baker Mayfield pass complete short middle to Deven Thompkins for 5 yards (tackle by Kyle Peko),2.460,2.590
4,9:06,2,5,TEN 42,6,17,"Chase Edmonds right tackle for 9 yards (tackle by Amani Hooker). Penalty on Azeez Al-Shaair: Face Mask (15 Yards), 15 yards (accepted)",2.590,4.370
4,8:31,1,10,TEN 18,6,17,Chase Edmonds left guard for -4 yards (tackle by Teair Tart),4.370,3.290
4,7:53,2,14,TEN 22,6,17,Rachaad White left end for 5 yards (tackle by Azeez Al-Shaair and Monty Rice),3.290,3.170
4,7:12,3,9,TEN 17,6,17,Baker Mayfield pass incomplete deep left intended for Cade Otton,3.170,2.310
4,7:05,4,9,TEN 17,6,20,Chase McLaughlin 35 yard field goal good,2.310,3.000
4,7:01,,,TAM 35,6,20,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
4,7:01,1,10,TEN 25,6,20,Will Levis pass incomplete deep left intended for DeAndre Hopkins,0.610,0.060
4,6:56,2,10,TEN 25,6,20,Will Levis pass complete deep right to Kyle Philips for 23 yards,0.060,2.130
4,6:36,1,10,TEN 48,6,20,Will Levis pass incomplete deep middle intended for Nick Westbrook-Ikhine,2.130,1.580
4,6:29,2,10,TEN 48,6,20,Will Levis pass deep right intended for DeAndre Hopkins is intercepted by Antoine Winfield at TB-30 and returned for 28 yards (tackle by Aaron Brewer and Dillon Radunz),1.580,-2.790
4,6:14,1,10,TEN 42,6,20,Rachaad White up the middle for 3 yards (tackle by Denico Autry),2.790,2.650
4,5:34,2,7,TEN 39,6,20,Rachaad White left guard for 1 yard (tackle by Denico Autry),2.650,2.080
4,5:30,,,,,,Timeout #1 by Tennessee Titans,,
4,5:30,3,6,TEN 38,6,20,Baker Mayfield scrambles for no gain (no play),2.080,1.420
4,5:08,3,11,TEN 43,6,20,Baker Mayfield sacked by Harold Landry for -7 yards,1.420,-0.060
4,5:03,,,,,,Timeout #2 by Tennessee Titans,,
4,5:03,4,18,TEN 50,6,20,Jake Camarda punts 18 yards out of bounds,-0.060,-1.070
4,4:56,1,10,TEN 32,6,20,Will Levis pass complete short left to Kyle Philips for 29 yards (tackle by Antoine Winfield and Christian Izien),1.070,2.980
4,4:30,1,10,TAM 39,6,20,Will Levis pass incomplete deep middle intended for Josh Whyle,2.980,2.440
4,4:28,2,10,TAM 39,6,20,Will Levis pass incomplete short right intended for Kyle Philips,2.440,1.750
4,4:26,3,10,TAM 39,6,20,Will Levis sacked by YaYa Diaby for -7 yards,1.750,0.200
4,3:40,4,17,TAM 46,6,20,Will Levis pass incomplete deep left intended for DeAndre Hopkins (defended by Jamel Dean),0.200,-1.990
4,3:32,1,10,TAM 46,6,20,Rachaad White up the middle for no gain (tackle by Monty Rice and TK McLendon),1.990,1.450
4,3:28,,,,,,Timeout #3 by Tennessee Titans,,
4,3:28,2,10,TAM 46,6,20,Rachaad White left tackle for 1 yard (tackle by Monty Rice),1.450,0.890
4,2:46,3,9,TAM 47,6,20,Rachaad White up the middle for no gain (tackle by TK McLendon and Jaleel Johnson),0.890,-0.260
4,2:00,4,9,TAM 47,6,20,"Jake Camarda punts 35 yards, returned by Eric Garror for 2 yards (tackle by Kaevon Merriweather)",-0.260,-0.280
4,1:52,1,10,TEN 20,6,20,Will Levis pass incomplete deep right intended for DeAndre Hopkins (defended by Zyon McCollum),0.280,-0.270
4,1:47,2,10,TEN 20,6,20,Will Levis pass complete short left to Tyjae Spears for 8 yards (tackle by Lavonte David and Jamel Dean),-0.270,0.100
4,1:21,3,2,TEN 28,6,20,Will Levis pass complete short right to Josh Whyle for 6 yards (tackle by Lavonte David),0.100,1.200
4,1:05,1,10,TEN 34,6,20,Will Levis pass incomplete deep middle intended for Josh Whyle,1.200,0.660
4,0:59,2,10,TEN 34,6,20,Will Levis pass incomplete deep right intended for Chris Moore,0.660,-0.030
4,0:55,3,10,TEN 34,6,20,Will Levis pass incomplete deep middle intended for Chigoziem Okonkwo (defended by Dee Delaney),-0.030,-1.110
4,0:47,4,10,TEN 34,6,20,Will Levis pass incomplete deep right intended for DeAndre Hopkins,-1.110,-3.310
4,0:42,1,10,TEN 34,6,20,Kyle Trask kneels for -1 yards,3.310,2.640
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
