Quarter,Time,Tm,Detail,TEN,TAM
1.0,8:34,Titans,Nick Folk 38 yard field goal,3,0
2.0,5:39,Buccaneers,Rachaad White 43 yard pass from Baker Mayfield (Chase McLaughlin kick),3,7
3.0,10:42,Buccaneers,Chase McLaughlin 25 yard field goal,3,10
,2:46,Buccaneers,Mike Evans 22 yard pass from Baker Mayfield (Chase McLaughlin kick),3,17
4.0,12:54,Titans,Nick Folk 27 yard field goal,6,17
,7:01,Buccaneers,Chase McLaughlin 35 yard field goal,6,20
