Unnamed: 0,SFO,DAL
First Downs,16,16
Rush-Yds-TDs,15-26-0,29-74-0
Cmp-Att-Yd-TD-INT,21-33-303-2-1,23-39-341-3-0
Sacked-Yards,4-25,1-7
Net Pass Yards,278,334
Total Yards,304,408
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,2-10,8-65
Third Down Conv.,2-10,9-18
Fourth Down Conv.,0-0,0-0
Time of Possession,25:17,34:43
