Unnamed: 0,TAM,NOR
First Downs,20,20
Rush-Yds-TDs,35-127-1,25-104-0
Cmp-Att-Yd-TD-INT,18-33-199-2-0,20-35-190-2-3
Sacked-Yards,1-10,0-0
Net Pass Yards,189,190
Total Yards,316,294
Fumbles-Lost,1-0,1-1
Turnovers,0,4
Penalties-Yards,7-62,5-34
Third Down Conv.,8-17,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,31:31,28:29
