Quarter,Time,Tm,Detail,TAM,NOR
1.0,11:30,Saints,Wil Lutz 23 yard field goal,0,3
,4:39,Saints,Wil Lutz 42 yard field goal,0,6
2.0,12:57,Buccaneers,Ryan Succop 26 yard field goal,3,6
,11:16,Buccaneers,Mike Evans 3 yard pass from Tom Brady (Ryan Succop kick),10,6
,8:08,Saints,Tre'Quan Smith 56 yard pass from Jameis Winston (Wil Lutz kick),10,13
,0:00,Buccaneers,Ryan Succop 37 yard field goal,13,13
3.0,9:43,Saints,Tre'Quan Smith 16 yard pass from Drew Brees (Wil Lutz kick),13,20
,2:22,Buccaneers,Leonard Fournette 6 yard pass from Tom Brady (Ryan Succop kick),20,20
4.0,9:52,Buccaneers,Ryan Succop 36 yard field goal,23,20
,4:57,Buccaneers,Tom Brady 1 yard rush (Ryan Succop kick),30,20
