Quarter,Time,Tm,Detail,MIN,BAL
1.0,11:01,Vikings,Travis Taylor 13 yard pass from Brad Johnson (Paul Edinger kick),7,0
,1:35,Ravens,Todd Heap 6 yard pass from Kyle Boller (Matt Stover kick),7,7
2.0,1:06,Vikings,Jermaine Wiggins 5 yard pass from Brad Johnson (Paul Edinger kick),14,7
,0:00,Ravens,Matt Stover 37 yard field goal,14,10
3.0,13:29,Vikings,Paul Edinger 36 yard field goal,17,10
,9:49,Ravens,Mark Clayton 47 yard pass from Kyle Boller (Matt Stover kick),17,17
,4:14,Vikings,Paul Edinger 40 yard field goal,20,17
4.0,14:47,Ravens,Derrick Mason 39 yard pass from Kyle Boller (Matt Stover kick),20,24
,1:55,Ravens,Matt Stover 38 yard field goal,20,27
,1:03,Ravens,Matt Stover 19 yard field goal,20,30
,0:15,Vikings,Paul Edinger 46 yard field goal,23,30
